"Fecha","Valor"
"31-10-2009",-0.28
"30-11-2009",-0.23
"31-12-2009",-0.28
"31-01-2010",1.29
"28-02-2010",1.73
"31-03-2010",2.91
"30-04-2010",2.81
"31-05-2010",2.7
"30-06-2010",3.22
"31-07-2010",3.61
"31-08-2010",3.65
"30-09-2010",3.95
"31-10-2010",4.5
"30-11-2010",5.31
"31-12-2010",5.39
"31-01-2011",0.82
"28-02-2011",1.58
"31-03-2011",2.52
"30-04-2011",3.17
"31-05-2011",3.68
"30-06-2011",4.23
"31-07-2011",5.22
"31-08-2011",5.85
"30-09-2011",5.78
"31-10-2011",5.74
"30-11-2011",5.97
"31-12-2011",6.2
"31-01-2012",0.09
"29-02-2012",0.59
"31-03-2012",0.92
"30-04-2012",1.3
"31-05-2012",1.43
"30-06-2012",1.55
"31-07-2012",1.91
"31-08-2012",2.37
"30-09-2012",2.87
"31-10-2012",2.9
"30-11-2012",2.89
"31-12-2012",3.45
"31-01-2013",0.49
"28-02-2013",1.31
"31-03-2013",1.79
"30-04-2013",1.97
"31-05-2013",2.24
"30-06-2013",2.88
"31-07-2013",3.19
"31-08-2013",3.33
"30-09-2013",3.63
"31-10-2013",3.6
"30-11-2013",4.07
"31-12-2013",4.39
"31-01-2014",0.25
"28-02-2014",0.45
"31-03-2014",0.68
"30-04-2014",0.87
"31-05-2014",1.1
"30-06-2014",1.64
"31-07-2014",2.22
"31-08-2014",2.65
"30-09-2014",2.7
"31-10-2014",2.86
"30-11-2014",3.06
"31-12-2014",2.95
"31-01-2015",-0.36
"28-02-2015",-0.04
"31-03-2015",0.17
"30-04-2015",0.51
"31-05-2015",0.71
"30-06-2015",1.08
"31-07-2015",1.6
"31-08-2015",1.67
"30-09-2015",1.63
"31-10-2015",2.14
"30-11-2015",2.63
"31-12-2015",3.07
"31-01-2016",0.91
"29-02-2016",1.13
"31-03-2016",1.33
"30-04-2016",1.5
"31-05-2016",1.97
"30-06-2016",2.42
"31-07-2016",3.13
"31-08-2016",3.32
"30-09-2016",3.11
"31-10-2016",3.82
"30-11-2016",4.22
"31-12-2016",4.23
"31-01-2017",0.52
"28-02-2017",0.86
"31-03-2017",1.1
"30-04-2017",1.36
"31-05-2017",1.68
"30-06-2017",2.55
"31-07-2017",4.11
"31-08-2017",3.8
"30-09-2017",3.23
"31-10-2017",3.79
"30-11-2017",4.68
"31-12-2017",5.68
"31-01-2018",-0.4
"28-02-2018",-0.6
"31-03-2018",-0.37
"30-04-2018",-0.32
"31-05-2018",0.15
"30-06-2018",0.72
"31-07-2018",1.08
"31-08-2018",1.53
"30-09-2018",2.13
"31-10-2018",2.48
"30-11-2018",2.18
"31-12-2018",2.31
"31-01-2019",1.35
"28-02-2019",1.49
"31-03-2019",1.44
"30-04-2019",2.06
"31-05-2019",2.33
"30-06-2019",3.17
"31-07-2019",3.11
"31-08-2019",2.22
"30-09-2019",1.63
"31-10-2019",2.33
"30-11-2019",2.79
"31-12-2019",3.41
"31-01-2020",-0.24
"29-02-2020",-0.64
"31-03-2020",-0.16
"30-04-2020",0.55
"31-05-2020",0.74
"30-06-2020",2.16
"31-07-2020",2.59
"31-08-2020",3
"30-09-2020",3.16
"31-10-2020",4.25
"30-11-2020",4.83
"31-12-2020",4.82
"31-01-2021",0.15
"28-02-2021",0.47
"31-03-2021",0.81
"30-04-2021",0.91
"31-05-2021",1.08
"30-06-2021",1.26
"31-07-2021",1.6
"31-08-2021",1.81
"30-09-2021",2.03
"31-10-2021",2.4
"30-11-2021",2.89
"31-12-2021",3.07
"31-01-2022",-0.04
"28-02-2022",0.39
"31-03-2022",1.89
"30-04-2022",2.43
"31-05-2022",3.77
"30-06-2022",5.67
"31-07-2022",6.81
"31-08-2022",7.55
"30-09-2022",7.93
"31-10-2022",8.99
"30-11-2022",8.98
"31-12-2022",9.24
"31-01-2023",0.38
"28-02-2023",1.02
"31-03-2023",1.4
"30-04-2023",1.57
"31-05-2023",1.21
"30-06-2023",1.51
"31-07-2023",2.22
"31-08-2023",2.86
"30-09-2023",3.44
"31-10-2023",4.74
"30-11-2023",4.06
"31-12-2023",4.18
"31-01-2024",0.03
"29-02-2024",0.17
"31-03-2024",0.48
"30-04-2024",0.77
"31-05-2024",0.8
"30-06-2024",0.96
"31-07-2024",1.83
"31-08-2024",1.77
"30-09-2024",1.38
"31-10-2024",1.72
