"Fecha","Valor"
"31-10-2009",-0.19
"30-11-2009",0.05
"31-12-2009",-0.05
"31-01-2010",1.3
"28-02-2010",0.43
"31-03-2010",1.16
"30-04-2010",-0.1
"31-05-2010",-0.1
"30-06-2010",0.5
"31-07-2010",0.38
"31-08-2010",0.04
"30-09-2010",0.29
"31-10-2010",0.53
"30-11-2010",0.77
"31-12-2010",0.08
"31-01-2011",0.82
"28-02-2011",0.75
"31-03-2011",0.92
"30-04-2011",0.63
"31-05-2011",0.49
"30-06-2011",0.53
"31-07-2011",0.95
"31-08-2011",0.6
"30-09-2011",-0.07
"31-10-2011",-0.04
"30-11-2011",0.22
"31-12-2011",0.22
"31-01-2012",0.09
"29-02-2012",0.5
"31-03-2012",0.33
"30-04-2012",0.37
"31-05-2012",0.13
"30-06-2012",0.12
"31-07-2012",0.35
"31-08-2012",0.45
"30-09-2012",0.49
"31-10-2012",0.03
"30-11-2012",-0.01
"31-12-2012",0.54
"31-01-2013",0.49
"28-02-2013",0.82
"31-03-2013",0.48
"30-04-2013",0.17
"31-05-2013",0.27
"30-06-2013",0.62
"31-07-2013",0.3
"31-08-2013",0.14
"30-09-2013",0.29
"31-10-2013",-0.03
"30-11-2013",0.45
"31-12-2013",0.31
"31-01-2014",0.25
"28-02-2014",0.2
"31-03-2014",0.23
"30-04-2014",0.19
"31-05-2014",0.22
"30-06-2014",0.53
"31-07-2014",0.57
"31-08-2014",0.42
"30-09-2014",0.05
"31-10-2014",0.15
"30-11-2014",0.19
"31-12-2014",-0.11
"31-01-2015",-0.36
"28-02-2015",0.31
"31-03-2015",0.21
"30-04-2015",0.34
"31-05-2015",0.2
"30-06-2015",0.37
"31-07-2015",0.51
"31-08-2015",0.07
"30-09-2015",-0.03
"31-10-2015",0.5
"30-11-2015",0.47
"31-12-2015",0.43
"31-01-2016",0.91
"29-02-2016",0.21
"31-03-2016",0.2
"30-04-2016",0.17
"31-05-2016",0.46
"30-06-2016",0.44
"31-07-2016",0.69
"31-08-2016",0.18
"30-09-2016",-0.21
"31-10-2016",0.69
"30-11-2016",0.39
"31-12-2016",0.01
"31-01-2017",0.52
"28-02-2017",0.34
"31-03-2017",0.24
"30-04-2017",0.26
"31-05-2017",0.31
"30-06-2017",0.86
"31-07-2017",1.51
"31-08-2017",-0.3
"30-09-2017",-0.55
"31-10-2017",0.54
"30-11-2017",0.86
"31-12-2017",0.95
"31-01-2018",-0.4
"28-02-2018",-0.2
"31-03-2018",0.23
"30-04-2018",0.04
"31-05-2018",0.47
"30-06-2018",0.57
"31-07-2018",0.36
"31-08-2018",0.44
"30-09-2018",0.6
"31-10-2018",0.34
"30-11-2018",-0.29
"31-12-2018",0.13
"31-01-2019",1.35
"28-02-2019",0.14
"31-03-2019",-0.04
"30-04-2019",0.6
"31-05-2019",0.26
"30-06-2019",0.83
"31-07-2019",-0.06
"31-08-2019",-0.86
"30-09-2019",-0.58
"31-10-2019",0.7
"30-11-2019",0.44
"31-12-2019",0.6
"31-01-2020",-0.24
"29-02-2020",-0.4
"31-03-2020",0.48
"30-04-2020",0.71
"31-05-2020",0.19
"30-06-2020",1.41
"31-07-2020",0.42
"31-08-2020",0.4
"30-09-2020",0.16
"31-10-2020",1.06
"30-11-2020",0.55
"31-12-2020",-0.01
"31-01-2021",0.15
"28-02-2021",0.32
"31-03-2021",0.33
"30-04-2021",0.11
"31-05-2021",0.16
"30-06-2021",0.19
"31-07-2021",0.33
"31-08-2021",0.21
"30-09-2021",0.21
"31-10-2021",0.36
"30-11-2021",0.49
"31-12-2021",0.17
"31-01-2022",-0.04
"28-02-2022",0.42
"31-03-2022",1.5
"30-04-2022",0.54
"31-05-2022",1.31
"30-06-2022",1.83
"31-07-2022",1.08
"31-08-2022",0.68
"30-09-2022",0.36
"31-10-2022",0.98
"30-11-2022",-0.01
"31-12-2022",0.23
"31-01-2023",0.38
"28-02-2023",0.64
"31-03-2023",0.38
"30-04-2023",0.17
"31-05-2023",-0.36
"30-06-2023",0.3
"31-07-2023",0.7
"31-08-2023",0.63
"30-09-2023",0.56
"31-10-2023",1.27
"30-11-2023",-0.66
"31-12-2023",0.11
"31-01-2024",0.03
"29-02-2024",0.14
"31-03-2024",0.31
"30-04-2024",0.3
"31-05-2024",0.03
"30-06-2024",0.16
"31-07-2024",0.86
"31-08-2024",-0.06
"30-09-2024",-0.38
"31-10-2024",0.33
