"Fecha","Valor"
"31-10-2009",2.34
"30-11-2009",2.06
"31-12-2009",1.86
"31-01-2010",1.43
"28-02-2010",1.96
"31-03-2010",2.61
"30-04-2010",2.9
"31-05-2010",3.02
"30-06-2010",3.19
"31-07-2010",3.33
"31-08-2010",3.42
"30-09-2010",3.46
"31-10-2010",3.57
"30-11-2010",3.72
"31-12-2010",3.86
"31-01-2011",4.9
"28-02-2011",5.07
"31-03-2011",5.04
"30-04-2011",5.22
"31-05-2011",5.46
"30-06-2011",5.62
"31-07-2011",5.83
"31-08-2011",6.05
"30-09-2011",6.19
"31-10-2011",6.23
"30-11-2011",6.22
"31-12-2011",6.22
"31-01-2012",5.44
"29-02-2012",5.3
"31-03-2012",5.05
"30-04-2012",4.85
"31-05-2012",4.66
"30-06-2012",4.46
"31-07-2012",4.22
"31-08-2012",4.03
"30-09-2012",3.95
"31-10-2012",3.89
"30-11-2012",3.81
"31-12-2012",3.78
"31-01-2013",3.86
"28-02-2013",4.02
"31-03-2013",4.13
"30-04-2013",4.13
"31-05-2013",4.16
"30-06-2013",4.26
"31-07-2013",4.33
"31-08-2013",4.34
"30-09-2013",4.33
"31-10-2013",4.31
"30-11-2013",4.34
"31-12-2013",4.34
"31-01-2014",4.14
"28-02-2014",3.82
"31-03-2014",3.62
"30-04-2014",3.54
"31-05-2014",3.47
"30-06-2014",3.42
"31-07-2014",3.41
"31-08-2014",3.46
"30-09-2014",3.45
"31-10-2014",3.47
"30-11-2014",3.46
"31-12-2014",3.42
"31-01-2015",2.32
"28-02-2015",2.38
"31-03-2015",2.4
"30-04-2015",2.44
"31-05-2015",2.46
"30-06-2015",2.45
"31-07-2015",2.43
"31-08-2015",2.37
"30-09-2015",2.32
"31-10-2015",2.31
"30-11-2015",2.33
"31-12-2015",2.39
"31-01-2016",4.38
"29-02-2016",4.32
"31-03-2016",4.3
"30-04-2016",4.25
"31-05-2016",4.27
"30-06-2016",4.3
"31-07-2016",4.34
"31-08-2016",4.39
"30-09-2016",4.41
"31-10-2016",4.45
"30-11-2016",4.47
"31-12-2016",4.45
"31-01-2017",3.83
"28-02-2017",3.89
"31-03-2017",3.93
"30-04-2017",3.97
"31-05-2017",3.96
"30-06-2017",4.03
"31-07-2017",4.2
"31-08-2017",4.27
"30-09-2017",4.28
"31-10-2017",4.27
"30-11-2017",4.31
"31-12-2017",4.42
"31-01-2018",4.71
"28-02-2018",4.43
"31-03-2018",4.33
"30-04-2018",4.23
"31-05-2018",4.2
"30-06-2018",4.13
"31-07-2018",3.91
"31-08-2018",3.84
"30-09-2018",3.92
"31-10-2018",3.96
"30-11-2018",3.89
"31-12-2018",3.75
"31-01-2019",4.1
"28-02-2019",4.28
"31-03-2019",4.24
"30-04-2019",4.37
"31-05-2019",4.41
"30-06-2019",4.47
"31-07-2019",4.46
"31-08-2019",4.27
"30-09-2019",3.99
"31-10-2019",3.81
"30-11-2019",3.73
"31-12-2019",3.7
"31-01-2020",1.78
"29-02-2020",1.51
"31-03-2020",1.6
"30-04-2020",1.67
"31-05-2020",1.69
"30-06-2020",1.81
"31-07-2020",1.97
"31-08-2020",2.24
"30-09-2020",2.54
"31-10-2020",2.83
"30-11-2020",3.07
"31-12-2020",3.21
"31-01-2021",5.24
"28-02-2021",5.62
"31-03-2021",5.69
"30-04-2021",5.57
"31-05-2021",5.49
"30-06-2021",5.22
"31-07-2021",5.02
"31-08-2021",4.84
"30-09-2021",4.71
"31-10-2021",4.53
"30-11-2021",4.37
"31-12-2021",4.26
"31-01-2022",2.87
"28-02-2022",2.92
"31-03-2022",3.34
"30-04-2022",3.66
"31-05-2022",4.09
"30-06-2022",4.67
"31-07-2022",5.2
"31-08-2022",5.67
"30-09-2022",6.04
"31-10-2022",6.41
"30-11-2022",6.67
"31-12-2022",6.89
"31-01-2023",9.69
"28-02-2023",9.81
"31-03-2023",9.44
"30-04-2023",9.15
"31-05-2023",8.62
"30-06-2023",7.98
"31-07-2023",7.47
"31-08-2023",7.08
"30-09-2023",6.81
"31-10-2023",6.62
"30-11-2023",6.4
"31-12-2023",6.21
"31-01-2024",3.82
"29-02-2024",3.56
"31-03-2024",3.45
"30-04-2024",3.42
"31-05-2024",3.49
"30-06-2024",3.51
"31-07-2024",3.55
"31-08-2024",3.49
"30-09-2024",3.33
"31-10-2024",3.11
