"Fecha","Valor"
"31-10-2009",-0.65
"30-11-2009",-0.61
"31-12-2009",-0.28
"31-01-2010",1.43
"28-02-2010",2.48
"31-03-2010",3.93
"30-04-2010",3.75
"31-05-2010",3.51
"30-06-2010",4.07
"31-07-2010",4.12
"31-08-2010",4.1
"30-09-2010",3.76
"31-10-2010",4.51
"30-11-2010",5.25
"31-12-2010",5.39
"31-01-2011",4.9
"28-02-2011",5.24
"31-03-2011",4.99
"30-04-2011",5.76
"31-05-2011",6.39
"30-06-2011",6.42
"31-07-2011",7.04
"31-08-2011",7.63
"30-09-2011",7.25
"31-10-2011",6.65
"30-11-2011",6.05
"31-12-2011",6.2
"31-01-2012",5.44
"29-02-2012",5.17
"31-03-2012",4.55
"30-04-2012",4.27
"31-05-2012",3.9
"30-06-2012",3.47
"31-07-2012",2.86
"31-08-2012",2.71
"30-09-2012",3.28
"31-10-2012",3.35
"30-11-2012",3.11
"31-12-2012",3.45
"31-01-2013",3.86
"28-02-2013",4.18
"31-03-2013",4.34
"30-04-2013",4.13
"31-05-2013",4.27
"30-06-2013",4.79
"31-07-2013",4.74
"31-08-2013",4.42
"30-09-2013",4.21
"31-10-2013",4.15
"30-11-2013",4.63
"31-12-2013",4.39
"31-01-2014",4.14
"28-02-2014",3.5
"31-03-2014",3.25
"30-04-2014",3.27
"31-05-2014",3.22
"30-06-2014",3.13
"31-07-2014",3.41
"31-08-2014",3.7
"30-09-2014",3.45
"31-10-2014",3.64
"30-11-2014",3.38
"31-12-2014",2.95
"31-01-2015",2.32
"28-02-2015",2.44
"31-03-2015",2.43
"30-04-2015",2.58
"31-05-2015",2.55
"30-06-2015",2.39
"31-07-2015",2.32
"31-08-2015",1.96
"30-09-2015",1.88
"31-10-2015",2.23
"30-11-2015",2.51
"31-12-2015",3.07
"31-01-2016",4.38
"29-02-2016",4.27
"31-03-2016",4.26
"30-04-2016",4.09
"31-05-2016",4.36
"30-06-2016",4.43
"31-07-2016",4.62
"31-08-2016",4.74
"30-09-2016",4.56
"31-10-2016",4.76
"30-11-2016",4.67
"31-12-2016",4.23
"31-01-2017",3.83
"28-02-2017",3.96
"31-03-2017",4
"30-04-2017",4.09
"31-05-2017",3.93
"30-06-2017",4.36
"31-07-2017",5.22
"31-08-2017",4.72
"30-09-2017",4.36
"31-10-2017",4.2
"30-11-2017",4.69
"31-12-2017",5.68
"31-01-2018",4.71
"28-02-2018",4.15
"31-03-2018",4.14
"30-04-2018",3.92
"31-05-2018",4.09
"30-06-2018",3.79
"31-07-2018",2.61
"31-08-2018",3.36
"30-09-2018",4.55
"31-10-2018",4.34
"30-11-2018",3.15
"31-12-2018",2.31
"31-01-2019",4.1
"28-02-2019",4.46
"31-03-2019",4.17
"30-04-2019",4.75
"31-05-2019",4.54
"30-06-2019",4.8
"31-07-2019",4.37
"31-08-2019",3.01
"30-09-2019",1.8
"31-10-2019",2.17
"30-11-2019",2.92
"31-12-2019",3.41
"31-01-2020",1.78
"29-02-2020",1.24
"31-03-2020",1.77
"30-04-2020",1.88
"31-05-2020",1.8
"30-06-2020",2.39
"31-07-2020",2.88
"31-08-2020",4.19
"30-09-2020",4.97
"31-10-2020",5.34
"30-11-2020",5.46
"31-12-2020",4.82
"31-01-2021",5.24
"28-02-2021",6
"31-03-2021",5.84
"30-04-2021",5.2
"31-05-2021",5.17
"30-06-2021",3.91
"31-07-2021",3.82
"31-08-2021",3.62
"30-09-2021",3.67
"31-10-2021",2.96
"30-11-2021",2.89
"31-12-2021",3.07
"31-01-2022",2.87
"28-02-2022",2.98
"31-03-2022",4.17
"30-04-2022",4.62
"31-05-2022",5.82
"30-06-2022",7.55
"31-07-2022",8.36
"31-08-2022",8.87
"30-09-2022",9.03
"31-10-2022",9.7
"30-11-2022",9.17
"31-12-2022",9.24
"31-01-2023",9.69
"28-02-2023",9.92
"31-03-2023",8.71
"30-04-2023",8.32
"31-05-2023",6.54
"30-06-2023",4.93
"31-07-2023",4.53
"31-08-2023",4.47
"30-09-2023",4.69
"31-10-2023",4.98
"30-11-2023",4.3
"31-12-2023",4.18
"31-01-2024",3.82
"29-02-2024",3.3
"31-03-2024",3.24
"30-04-2024",3.36
"31-05-2024",3.76
"30-06-2024",3.62
"31-07-2024",3.78
"31-08-2024",3.07
"30-09-2024",2.11
"31-10-2024",1.16
