"Fecha","Valor"
"31-08-2009",834805.2
"30-09-2009",671091.5
"31-10-2009",827162.7
"30-11-2009",882014.2
"31-12-2009",1020737.1
"31-01-2010",744479.75
"28-02-2010",779460.15
"31-03-2010",867897.06
"30-04-2010",992503.06
"31-05-2010",941445.81
"30-06-2010",943479.46
"31-07-2010",906153.87
"31-08-2010",1011767.08
"30-09-2010",926271.94
"31-10-2010",984572.38
"30-11-2010",1037387.66
"31-12-2010",1034471.29
"31-01-2011",939817.91
"28-02-2011",979342.8
"31-03-2011",1157626.11
"30-04-2011",1145706.11
"31-05-2011",1183807.54
"30-06-2011",1208410.31
"31-07-2011",1117181.4
"31-08-2011",1231781.6
"30-09-2011",1127610.75
"31-10-2011",1118881.58
"30-11-2011",1151226.62
"31-12-2011",1088886.96
"31-01-2012",1059930.4
"29-02-2012",1076001.95
"31-03-2012",1254967.71
"30-04-2012",1044554.66
"31-05-2012",1343541.74
"30-06-2012",1150144.75
"31-07-2012",1149209.19
"31-08-2012",1170552.74
"30-09-2012",1043446.34
"31-10-2012",1217160.55
"30-11-2012",1145231.96
"31-12-2012",1113109.52
"31-01-2013",1189481
"28-02-2013",1094837.58
"31-03-2013",1098462.08
"30-04-2013",1256393.91
"31-05-2013",1178829
"30-06-2013",1083931.45
"31-07-2013",1200812.22
"31-08-2013",1132482.37
"30-09-2013",1120037.09
"31-10-2013",1222554.85
"30-11-2013",1139851.57
"31-12-2013",1076625.85
"31-01-2014",1215866.35
"28-02-2014",981976.88
"31-03-2014",1167035
"30-04-2014",1159447.05
"31-05-2014",1260292.68
"30-06-2014",1142253.36
"31-07-2014",1220132.48
"31-08-2014",1145070.7
"30-09-2014",1185349.64
"31-10-2014",1152018.91
"30-11-2014",1150608.29
"31-12-2014",1382613.53
"31-01-2015",1145170.02
"28-02-2015",1028520.24
"31-03-2015",1144847.62
"30-04-2015",1293335.16
"31-05-2015",1195362.82
"30-06-2015",1125972.03
"31-07-2015",1363186.37
"31-08-2015",1121032.05
"30-09-2015",1290019.49
"31-10-2015",1169834.03
"30-11-2015",1144626.47
"31-12-2015",1063609.78
"31-01-2016",1059800.23
"29-02-2016",1024335.6
"31-03-2016",1093623.32
"30-04-2016",1157224.73
"31-05-2016",1185200.43
"30-06-2016",1154981.09
"31-07-2016",1112566.64
"31-08-2016",1209506.15
"30-09-2016",1211845.7
"31-10-2016",1174468.35
"30-11-2016",1219722.08
"31-12-2016",1318968.39
"31-01-2017",1158739.77
"28-02-2017",1159043.82
"31-03-2017",1338005.32
"30-04-2017",1105361.81
"31-05-2017",1251128.24
"30-06-2017",1248107.58
"31-07-2017",1235363.25
"31-08-2017",1337629.12
"30-09-2017",1245591.11
"31-10-2017",1404508.2
"30-11-2017",1302723.09
"31-12-2017",1414604.79
"31-01-2018",1330679.65
"28-02-2018",1145620.29
"31-03-2018",1232317.37
"30-04-2018",1381896.83
"31-05-2018",1497807.87
"30-06-2018",1317189.48
"31-07-2018",1400360.22
"31-08-2018",1420739.78
"30-09-2018",1331131.25
"31-10-2018",1587787.35
"30-11-2018",1409827.12
"31-12-2018",1326072.94
"31-01-2019",1395214.95
"28-02-2019",1212443.03
"31-03-2019",1364213.63
"30-04-2019",1350820.73
"31-05-2019",1467082.81
"30-06-2019",1284442.98
"31-07-2019",1444954.87
"31-08-2019",1450899.33
"30-09-2019",1348361.5
"31-10-2019",1577831.77
"30-11-2019",1513283.22
"31-12-2019",1300718.91
"31-01-2020",1468859.62
"29-02-2020",1287178.94
"31-03-2020",1221366.75
"30-04-2020",1133953.65
"31-05-2020",1092650.03
"30-06-2020",1104959.69
"31-07-2020",1237267.08
"31-08-2020",1205951.39
"30-09-2020",1301425.48
"31-10-2020",1413095.08
"30-11-2020",1447689.26
"31-12-2020",1518388.7
"31-01-2021",1448549.74
"28-02-2021",1513901.22
"31-03-2021",1814816.94
"30-04-2021",1736227.78
"31-05-2021",1797204.24
"30-06-2021",1759848.29
"31-07-2021",1927756.53
"31-08-2021",1913675.43
"30-09-2021",1925443.59
"31-10-2021",2029869.27
"30-11-2021",2223622.2
"31-12-2021",2063895.17
"31-01-2022",2078691.03
"28-02-2022",1993000.22
"31-03-2022",2358289.83
"30-04-2022",2192454.03
"31-05-2022",2290929.74
"30-06-2022",2357998.86
"31-07-2022",2260402.32
"31-08-2022",2382181.65
"30-09-2022",2234077.84
"31-10-2022",2241716.73
"30-11-2022",2222423.99
"31-12-2022",2036900.22
"31-01-2023",2110271.41
"28-02-2023",1882727.23
"31-03-2023",2210416.37
"30-04-2023",1921146.49
"31-05-2023",2294361.69
"30-06-2023",2250450.27
"31-07-2023",2186235.29
"31-08-2023",2340151.29
"30-09-2023",2133357.46
"31-10-2023",2111337.54
"30-11-2023",2376826.13
"31-12-2023",2086669.53
"31-01-2024",2313803.94
"29-02-2024",2223891.05
"31-03-2024",2099943.6
"30-04-2024",2456998.64
"31-05-2024",2421624.88
"30-06-2024",2123148.68
"31-07-2024",2389139.12
"31-08-2024",2356034.2
