"Fecha","Valor"
"31-08-2009",144762.97
"30-09-2009",125508.16
"31-10-2009",190753.43
"30-11-2009",137437.85
"31-12-2009",144797.65
"31-01-2010",135235.2
"28-02-2010",147342.47
"31-03-2010",182221.05
"30-04-2010",149465.06
"31-05-2010",133055
"30-06-2010",206663.81
"31-07-2010",200448.25
"31-08-2010",214744.74
"30-09-2010",171512.25
"31-10-2010",120845.07
"30-11-2010",131170.44
"31-12-2010",194620.33
"31-01-2011",163720.55
"28-02-2011",148089.2
"31-03-2011",163771.03
"30-04-2011",139410.14
"31-05-2011",185026.3
"30-06-2011",198844.38
"31-07-2011",155530.31
"31-08-2011",229086.81
"30-09-2011",241465.4
"31-10-2011",202044.76
"30-11-2011",175797.27
"31-12-2011",180416.31
"31-01-2012",179470.57
"29-02-2012",159943.59
"31-03-2012",165525.15
"30-04-2012",153636.31
"31-05-2012",150005.89
"30-06-2012",157544
"31-07-2012",137264.01
"31-08-2012",116133.98
"30-09-2012",227202.84
"31-10-2012",256543.95
"30-11-2012",225388.71
"31-12-2012",239519.97
"31-01-2013",188555.33
"28-02-2013",146130.19
"31-03-2013",163523.23
"30-04-2013",164033.18
"31-05-2013",226647.43
"30-06-2013",195432.4
"31-07-2013",180497.18
"31-08-2013",148843.73
"30-09-2013",126292.41
"31-10-2013",139479.96
"30-11-2013",105186.24
"31-12-2013",147722.27
"31-01-2014",179864.53
"28-02-2014",863395.85
"31-03-2014",144299.35
"30-04-2014",121028.47
"31-05-2014",128040.11
"30-06-2014",127656.34
"31-07-2014",168080.06
"31-08-2014",134764.66
"30-09-2014",219116.64
"31-10-2014",156052.29
"30-11-2014",147929.62
"31-12-2014",188928.66
"31-01-2015",150923.24
"28-02-2015",132576.82
"31-03-2015",182954.09
"30-04-2015",105068.49
"31-05-2015",110238.26
"30-06-2015",147866.53
"31-07-2015",121931.43
"31-08-2015",131817.11
"30-09-2015",220279.93
"31-10-2015",181071.29
"30-11-2015",112174.37
"31-12-2015",197909.07
"31-01-2016",180296.97
"29-02-2016",140914.99
"31-03-2016",164512.3
"30-04-2016",151700.14
"31-05-2016",131628.89
"30-06-2016",150314.4
"31-07-2016",131942.83
"31-08-2016",152125.62
"30-09-2016",140660.27
"31-10-2016",140245.71
"30-11-2016",142339.81
"31-12-2016",147552.92
"31-01-2017",161859.5
"28-02-2017",124580.83
"31-03-2017",145096.46
"30-04-2017",103214.04
"31-05-2017",180479.52
"30-06-2017",111078.85
"31-07-2017",118271.46
"31-08-2017",126664.62
"30-09-2017",108216.23
"31-10-2017",92751.65
"30-11-2017",97080.3
"31-12-2017",90844.12
"31-01-2018",139317.49
"28-02-2018",119947.02
"31-03-2018",120356.06
"30-04-2018",107860.3
"31-05-2018",110527.3
"30-06-2018",93024.03
"31-07-2018",102202.71
"31-08-2018",102087.47
"30-09-2018",106032.64
"31-10-2018",105746.17
"30-11-2018",113073.27
"31-12-2018",195935.41
"31-01-2019",113516.89
"28-02-2019",103182.47
"31-03-2019",113932.77
"30-04-2019",112678.37
"31-05-2019",108289.17
"30-06-2019",102599.5
"31-07-2019",130315.49
"31-08-2019",129553.87
"30-09-2019",128997.18
"31-10-2019",129413.96
"30-11-2019",122894.48
"31-12-2019",137649.71
"31-01-2020",112074.99
"29-02-2020",104557.17
"31-03-2020",124049.28
"30-04-2020",94288.76
"31-05-2020",89284.61
"30-06-2020",87277.22
"31-07-2020",98455.16
"31-08-2020",81717.01
"30-09-2020",96201.18
"31-10-2020",91865.35
"30-11-2020",108300.33
"31-12-2020",121639
"31-01-2021",116208.56
"28-02-2021",110889.64
"31-03-2021",111398.16
"30-04-2021",110756.37
"31-05-2021",107741.13
"30-06-2021",106007.73
"31-07-2021",130540.39
"31-08-2021",111891.09
"30-09-2021",123415.65
"31-10-2021",132432.55
"30-11-2021",144877.41
"31-12-2021",160773.92
"31-01-2022",108113.47
"28-02-2022",1012287.03
"31-03-2022",116874.17
"30-04-2022",107889.48
"31-05-2022",127799.76
"30-06-2022",136088.15
"31-07-2022",138253.93
"31-08-2022",130051.18
"30-09-2022",129979.02
"31-10-2022",118061.42
"30-11-2022",138165.61
"31-12-2022",145148.62
"31-01-2023",147550.28
"28-02-2023",154745.03
"31-03-2023",165645.06
"30-04-2023",148911.98
"31-05-2023",170091.05
"30-06-2023",161745.79
"31-07-2023",151940.03
"31-08-2023",154861.6
"30-09-2023",150475.92
"31-10-2023",151554.9
"30-11-2023",137733.82
"31-12-2023",153054.31
"31-01-2024",142309.01
"29-02-2024",133385.71
"31-03-2024",128704.47
"30-04-2024",154167.94
"31-05-2024",153726.2
"30-06-2024",143931.15
"31-07-2024",164947.97
"31-08-2024",165712.88
