"Fecha","Valor"
"31-08-2009",733324.38
"30-09-2009",1028196.44
"31-10-2009",650587.86
"30-11-2009",564449.87
"31-12-2009",923795.02
"31-01-2010",779394.35
"28-02-2010",872601.07
"31-03-2010",981467.96
"30-04-2010",748804.49
"31-05-2010",681732.15
"30-06-2010",869689.94
"31-07-2010",769520.68
"31-08-2010",535561.75
"30-09-2010",789121.49
"31-10-2010",719931.65
"30-11-2010",614502.27
"31-12-2010",1081299.01
"31-01-2011",873608.14
"28-02-2011",982792.1
"31-03-2011",837643.09
"30-04-2011",645133.29
"31-05-2011",1734788.62
"30-06-2011",923754.92
"31-07-2011",934143.14
"31-08-2011",947996.58
"30-09-2011",969604.89
"31-10-2011",669006
"30-11-2011",1157253.62
"31-12-2011",1148625.41
"31-01-2012",851820.03
"29-02-2012",1795387.66
"31-03-2012",962063.13
"30-04-2012",829180.96
"31-05-2012",714426.49
"30-06-2012",900570.3
"31-07-2012",867152.22
"31-08-2012",1013182.08
"30-09-2012",765642.06
"31-10-2012",1090400.75
"30-11-2012",1253494.22
"31-12-2012",1605759.02
"31-01-2013",963133.78
"28-02-2013",953130.5
"31-03-2013",850901.75
"30-04-2013",882780.91
"31-05-2013",969800.95
"30-06-2013",876407.06
"31-07-2013",1183008.17
"31-08-2013",1116494.72
"30-09-2013",1005606.6
"31-10-2013",1006536.23
"30-11-2013",1080946.5
"31-12-2013",1287213.64
"31-01-2014",1185082.89
"28-02-2014",896970.82
"31-03-2014",782896.5
"30-04-2014",1052345.38
"31-05-2014",1117491.57
"30-06-2014",931006.62
"31-07-2014",1211942.97
"31-08-2014",823111.32
"30-09-2014",777603.56
"31-10-2014",1781870.44
"30-11-2014",906602.45
"31-12-2014",1207686.74
"31-01-2015",1329878.87
"28-02-2015",950906.42
"31-03-2015",1133822.26
"30-04-2015",752145.04
"31-05-2015",1307309.82
"30-06-2015",1687802.4
"31-07-2015",1607744.75
"31-08-2015",1191450.61
"30-09-2015",1309973.01
"31-10-2015",1103740.05
"30-11-2015",1399638.38
"31-12-2015",1554907.14
"31-01-2016",1449404.06
"29-02-2016",1237790.95
"31-03-2016",1324035.39
"30-04-2016",1180906.18
"31-05-2016",1471754.42
"30-06-2016",1401431.58
"31-07-2016",1125211.03
"31-08-2016",1051022.87
"30-09-2016",1062939.66
"31-10-2016",949465.21
"30-11-2016",1520283.44
"31-12-2016",1877684.76
"31-01-2017",1425389.74
"28-02-2017",1458080.5
"31-03-2017",1834569.28
"30-04-2017",1040945.73
"31-05-2017",1676622.93
"30-06-2017",1287944.45
"31-07-2017",1243775.35
"31-08-2017",1169363.39
"30-09-2017",1202216.51
"31-10-2017",809614.32
"30-11-2017",1267542.21
"31-12-2017",1393114.81
"31-01-2018",1805503.16
"28-02-2018",1064916.79
"31-03-2018",1164909.56
"30-04-2018",1038149.89
"31-05-2018",1522348.97
"30-06-2018",1307415.31
"31-07-2018",1036721.38
"31-08-2018",1070081.03
"30-09-2018",1248194.79
"31-10-2018",1191712.31
"30-11-2018",1129094.33
"31-12-2018",1625727.02
"31-01-2019",1421441.4
"28-02-2019",1201258.61
"31-03-2019",1513966.64
"30-04-2019",1623442.55
"31-05-2019",2577546.34
"30-06-2019",2020386.74
"31-07-2019",1740332.27
"31-08-2019",1527159.96
"30-09-2019",1289505.21
"31-10-2019",1223586.86
"30-11-2019",1246350.42
"31-12-2019",2238287.09
"31-01-2020",1741311.14
"29-02-2020",1352033.82
"31-03-2020",1719044.32
"30-04-2020",1335217.01
"31-05-2020",1250347.24
"30-06-2020",1242279.06
"31-07-2020",1365487.7
"31-08-2020",1167092.8
"30-09-2020",1750692.83
"31-10-2020",1613506.74
"30-11-2020",1304110.94
"31-12-2020",2210750.73
"31-01-2021",1479060.82
"28-02-2021",1559577.17
"31-03-2021",1715419.89
"30-04-2021",2110014.26
"31-05-2021",1363340.49
"30-06-2021",1820407.71
"31-07-2021",1603617.01
"31-08-2021",1130366.32
"30-09-2021",1391227.26
"31-10-2021",2037768.35
"30-11-2021",1646994.34
"31-12-2021",2065727.86
"31-01-2022",1387971.11
"28-02-2022",1619466.15
"31-03-2022",2189177.67
"30-04-2022",1813736.45
"31-05-2022",2159975.18
"30-06-2022",2680093
"31-07-2022",1670646.9
"31-08-2022",1934332.89
"30-09-2022",2065378.55
"31-10-2022",2275284.92
"30-11-2022",1727848.69
"31-12-2022",2741325.95
"31-01-2023",1892211.96
"28-02-2023",2154965.19
"31-03-2023",2500836.75
"30-04-2023",2057056.59
"31-05-2023",2468415.18
"30-06-2023",2763845.69
"31-07-2023",2361540.83
"31-08-2023",2502175.23
"30-09-2023",2519503.3
"31-10-2023",2101703.36
"30-11-2023",2233083.4
"31-12-2023",2960481.34
"31-01-2024",2470245.34
"29-02-2024",2469412.36
"31-03-2024",2173427.88
"30-04-2024",2737380.89
"31-05-2024",2416959.29
"30-06-2024",3030123.48
"31-07-2024",2729071.86
"31-08-2024",2448030.94
