"Fecha","Valor"
"31-08-2009",1305.1
"30-09-2009",2732.3
"31-10-2009",2435.8
"30-11-2009",1666.5
"31-12-2009",3370
"31-01-2010",2362.76
"28-02-2010",1733.51
"31-03-2010",2810.68
"30-04-2010",2845.1
"31-05-2010",1553.48
"30-06-2010",2516.15
"31-07-2010",1385.73
"31-08-2010",1313.44
"30-09-2010",1115.25
"31-10-2010",751.32
"30-11-2010",1469.41
"31-12-2010",1702.17
"31-01-2011",2372.89
"28-02-2011",1160.65
"31-03-2011",2624.18
"30-04-2011",1413.58
"31-05-2011",857.56
"30-06-2011",1127.49
"31-07-2011",940.65
"31-08-2011",779.4
"30-09-2011",1061.7
"31-10-2011",1113.23
"30-11-2011",1696.9
"31-12-2011",1189.19
"31-01-2012",900.52
"29-02-2012",978.51
"31-03-2012",990.96
"30-04-2012",847.04
"31-05-2012",661.77
"30-06-2012",615.75
"31-07-2012",445.34
"31-08-2012",977.83
"30-09-2012",630.87
"31-10-2012",642.01
"30-11-2012",813.77
"31-12-2012",558.77
"31-01-2013",569.28
"28-02-2013",1110.1
"31-03-2013",406.85
"30-04-2013",1401.75
"31-05-2013",2191.29
"30-06-2013",2952.21
"31-07-2013",1043.52
"31-08-2013",2632.2
"30-09-2013",2170.83
"31-10-2013",1973.07
"30-11-2013",2098.45
"31-12-2013",2028.12
"31-01-2014",1180.05
"28-02-2014",1414.05
"31-03-2014",2571.79
"30-04-2014",1383.33
"31-05-2014",757.02
"30-06-2014",2505.49
"31-07-2014",1567.19
"31-08-2014",1771.23
"30-09-2014",1307.39
"31-10-2014",1722.5
"30-11-2014",2046.22
"31-12-2014",871.31
"31-01-2015",983.46
"28-02-2015",1262.12
"31-03-2015",3436.15
"30-04-2015",2197.14
"31-05-2015",1332.8
"30-06-2015",996.02
"31-07-2015",2972.3
"31-08-2015",3056.24
"30-09-2015",1554.67
"31-10-2015",1830.39
"30-11-2015",2508.08
"31-12-2015",1905.17
"31-01-2016",1388.69
"29-02-2016",1947.47
"31-03-2016",3714.23
"30-04-2016",1137.75
"31-05-2016",3151.23
"30-06-2016",2849.22
"31-07-2016",1834.26
"31-08-2016",1893.99
"30-09-2016",1497.85
"31-10-2016",1908.01
"30-11-2016",2004.34
"31-12-2016",1632.82
"31-01-2017",1429.28
"28-02-2017",1782.56
"31-03-2017",905
"30-04-2017",1513.78
"31-05-2017",2428.51
"30-06-2017",1862.63
"31-07-2017",1825.46
"31-08-2017",1737.8
"30-09-2017",1646.08
"31-10-2017",2426.28
"30-11-2017",2905.27
"31-12-2017",2565.49
"31-01-2018",359.47
"28-02-2018",2869.48
"31-03-2018",2565.5
"30-04-2018",1071.59
"31-05-2018",1158.22
"30-06-2018",2133.8
"31-07-2018",758.64
"31-08-2018",1569.26
"30-09-2018",1442.81
"31-10-2018",2580.48
"30-11-2018",1574.17
"31-12-2018",2395.44
"31-01-2019",258.55
"28-02-2019",2865.99
"31-03-2019",2264.55
"30-04-2019",1506.38
"31-05-2019",2513.74
"30-06-2019",1973.99
"31-07-2019",2094.25
"31-08-2019",2648.82
"30-09-2019",2175.61
"31-10-2019",2521.71
"30-11-2019",3281.59
"31-12-2019",2943.19
"31-01-2020",328.4
"29-02-2020",4126.85
"31-03-2020",2162.16
"30-04-2020",2096.13
"31-05-2020",3930.98
"30-06-2020",2558.58
"31-07-2020",1658.23
"31-08-2020",2409.63
"30-09-2020",4361.51
"31-10-2020",3602.64
"30-11-2020",4549.42
"31-12-2020",4074.38
"31-01-2021",265.31
"28-02-2021",4242.51
"31-03-2021",3060.27
"30-04-2021",1715.45
"31-05-2021",1563.28
"30-06-2021",2282.27
"31-07-2021",3495.55
"31-08-2021",1066.45
"30-09-2021",3159.22
"31-10-2021",1792.14
"30-11-2021",2665.21
"31-12-2021",3123.92
"31-01-2022",117.92
"28-02-2022",3905.24
"31-03-2022",2206.3
"30-04-2022",2100.19
"31-05-2022",2114.74
"30-06-2022",2855.06
"31-07-2022",2712.97
"31-08-2022",3151.32
"30-09-2022",4729.59
"31-10-2022",4089.95
"30-11-2022",3199.02
"31-12-2022",50128.96
"31-01-2023",2579.6
"28-02-2023",6118.16
"31-03-2023",5065.12
"30-04-2023",5647.58
"31-05-2023",4231.72
"30-06-2023",5404.81
"31-07-2023",2611.93
"31-08-2023",6906.66
"30-09-2023",3491.92
"31-10-2023",6631.32
"30-11-2023",4708.35
"31-12-2023",3333.18
"31-01-2024",2453.78
"29-02-2024",3138.09
"31-03-2024",3094.38
"30-04-2024",7014.46
"31-05-2024",3548.93
"30-06-2024",5181.51
"31-07-2024",4034.02
"31-08-2024",3475.92
