"Fecha","Valor"
"31-08-2009",2489.7
"30-09-2009",4994.4
"31-10-2009",5913.1
"30-11-2009",3609.8
"31-12-2009",6663.3
"31-01-2010",2531.09
"28-02-2010",4752.72
"31-03-2010",5598.94
"30-04-2010",11301.67
"31-05-2010",5051.27
"30-06-2010",6449.26
"31-07-2010",8030.92
"31-08-2010",5707.29
"30-09-2010",8675.08
"31-10-2010",6961.38
"30-11-2010",5068.63
"31-12-2010",10015.35
"31-01-2011",4750.61
"28-02-2011",4715.18
"31-03-2011",8586.33
"30-04-2011",6560.37
"31-05-2011",7342.78
"30-06-2011",9101.8
"31-07-2011",6008.08
"31-08-2011",5081.46
"30-09-2011",8266.53
"31-10-2011",8302.11
"30-11-2011",7410.16
"31-12-2011",6697.4
"31-01-2012",5570.14
"29-02-2012",7798.9
"31-03-2012",6741.87
"30-04-2012",3877.75
"31-05-2012",4985.2
"30-06-2012",5226.57
"31-07-2012",4789.43
"31-08-2012",4502.83
"30-09-2012",4462.54
"31-10-2012",5001.69
"30-11-2012",4470.16
"31-12-2012",12270.92
"31-01-2013",6094.13
"28-02-2013",5585.81
"31-03-2013",8346.61
"30-04-2013",7593.76
"31-05-2013",6363.73
"30-06-2013",6599.61
"31-07-2013",5405.92
"31-08-2013",6036.81
"30-09-2013",7137.77
"31-10-2013",7692.93
"30-11-2013",13998.89
"31-12-2013",10590.11
"31-01-2014",3319.08
"28-02-2014",3697.19
"31-03-2014",3636.24
"30-04-2014",4831.19
"31-05-2014",4581.46
"30-06-2014",5705.55
"31-07-2014",5083.95
"31-08-2014",7492.29
"30-09-2014",4631.35
"31-10-2014",7110.2
"30-11-2014",9302.49
"31-12-2014",2704.06
"31-01-2015",5462.87
"28-02-2015",6684.29
"31-03-2015",7228.85
"30-04-2015",4277.88
"31-05-2015",5137.24
"30-06-2015",3619.8
"31-07-2015",4442.28
"31-08-2015",5917.61
"30-09-2015",8706.35
"31-10-2015",6387.94
"30-11-2015",10119.75
"31-12-2015",5161.71
"31-01-2016",9244.69
"29-02-2016",11689.74
"31-03-2016",9452.15
"30-04-2016",9255.08
"31-05-2016",11139.13
"30-06-2016",9993.91
"31-07-2016",7588.92
"31-08-2016",8457.1
"30-09-2016",8148.75
"31-10-2016",11277.33
"30-11-2016",8406.76
"31-12-2016",13895.74
"31-01-2017",13002.67
"28-02-2017",19328.29
"31-03-2017",12713.56
"30-04-2017",8253.18
"31-05-2017",10584.98
"30-06-2017",17505.44
"31-07-2017",10631.85
"31-08-2017",9440.25
"30-09-2017",11201.41
"31-10-2017",8667.07
"30-11-2017",12432.74
"31-12-2017",9839.19
"31-01-2018",12890.93
"28-02-2018",14661.99
"31-03-2018",11008.59
"30-04-2018",13685.55
"31-05-2018",16850.82
"30-06-2018",13315.92
"31-07-2018",15710.51
"31-08-2018",19939.02
"30-09-2018",17864.64
"31-10-2018",22555.5
"30-11-2018",18286.3
"31-12-2018",17614.21
"31-01-2019",15449.26
"28-02-2019",15585.99
"31-03-2019",21484.87
"30-04-2019",20466.74
"31-05-2019",28436.15
"30-06-2019",20270.65
"31-07-2019",23136.27
"31-08-2019",20293.47
"30-09-2019",25887.06
"31-10-2019",32148.1
"30-11-2019",27125.36
"31-12-2019",23423.32
"31-01-2020",23568.76
"29-02-2020",25816.76
"31-03-2020",20135.33
"30-04-2020",19798.07
"31-05-2020",14128.9
"30-06-2020",11340.27
"31-07-2020",14884.71
"31-08-2020",14387.15
"30-09-2020",14001.03
"31-10-2020",16307.95
"30-11-2020",21622.34
"31-12-2020",25258.84
"31-01-2021",21840.51
"28-02-2021",23187.73
"31-03-2021",35144.54
"30-04-2021",29237.51
"31-05-2021",25328.4
"30-06-2021",29049.39
"31-07-2021",35192.37
"31-08-2021",36556.74
"30-09-2021",41549.17
"31-10-2021",41073.34
"30-11-2021",44877.33
"31-12-2021",44143.6
"31-01-2022",43278.44
"28-02-2022",38963.4
"31-03-2022",49803.09
"30-04-2022",37792.64
"31-05-2022",40808.31
"30-06-2022",50248.08
"31-07-2022",49493.11
"31-08-2022",51011.45
"30-09-2022",71383.12
"31-10-2022",53297.25
"30-11-2022",58199.97
"31-12-2022",53087.97
"31-01-2023",57544.16
"28-02-2023",43771.23
"31-03-2023",59614.87
"30-04-2023",40997.79
"31-05-2023",55522.64
"30-06-2023",55995.55
"31-07-2023",66400.26
"31-08-2023",63995.55
"30-09-2023",50451.01
"31-10-2023",47177.22
"30-11-2023",49729.05
"31-12-2023",66754.45
"31-01-2024",52570.74
"29-02-2024",49339.42
"31-03-2024",49791.7
"30-04-2024",53588.81
"31-05-2024",54200.36
"30-06-2024",48613.68
"31-07-2024",55942.69
"31-08-2024",63579.04
