"Fecha","Valor"
"31-08-2009",3661.2
"30-09-2009",6550.7
"31-10-2009",4631.4
"30-11-2009",14304.6
"31-12-2009",10494.2
"31-01-2010",14411.31
"28-02-2010",5364.09
"31-03-2010",8996.84
"30-04-2010",7995.07
"31-05-2010",11536.51
"30-06-2010",10271.61
"31-07-2010",7101.66
"31-08-2010",6139.38
"30-09-2010",7109.63
"31-10-2010",5623.8
"30-11-2010",8612.5
"31-12-2010",5287.46
"31-01-2011",4593.65
"28-02-2011",6899.7
"31-03-2011",9584.69
"30-04-2011",7084.8
"31-05-2011",21809.83
"30-06-2011",19503.45
"31-07-2011",6205.95
"31-08-2011",5991.52
"30-09-2011",6873.89
"31-10-2011",6546.2
"30-11-2011",6507.5
"31-12-2011",7371.65
"31-01-2012",5754.3
"29-02-2012",6884.48
"31-03-2012",9807.45
"30-04-2012",6233.95
"31-05-2012",9231.31
"30-06-2012",8518.74
"31-07-2012",7294.44
"31-08-2012",10006.07
"30-09-2012",6722.51
"31-10-2012",7386.75
"30-11-2012",10641.92
"31-12-2012",10487.92
"31-01-2013",4510.88
"28-02-2013",5571.68
"31-03-2013",8341.21
"30-04-2013",8036.79
"31-05-2013",9832.31
"30-06-2013",7411.02
"31-07-2013",12107.31
"31-08-2013",4685.37
"30-09-2013",6652.65
"31-10-2013",5239.54
"30-11-2013",8580.52
"31-12-2013",15399.01
"31-01-2014",4421.11
"28-02-2014",4033.34
"31-03-2014",10006.75
"30-04-2014",7783.86
"31-05-2014",7409.45
"30-06-2014",7976.94
"31-07-2014",7771.12
"31-08-2014",4262.62
"30-09-2014",4726.3
"31-10-2014",4606.27
"30-11-2014",5091.36
"31-12-2014",6227.67
"31-01-2015",5642.98
"28-02-2015",4644.33
"31-03-2015",6998.67
"30-04-2015",5365.86
"31-05-2015",12686.92
"30-06-2015",9565.26
"31-07-2015",7809.48
"31-08-2015",6420.76
"30-09-2015",4149.5
"31-10-2015",6309.11
"30-11-2015",3813.62
"31-12-2015",7000.47
"31-01-2016",5475.54
"29-02-2016",5502.01
"31-03-2016",6833.77
"30-04-2016",8917.61
"31-05-2016",8990.49
"30-06-2016",8962.31
"31-07-2016",6379.33
"31-08-2016",8027.25
"30-09-2016",5515.21
"31-10-2016",6577.25
"30-11-2016",5860.26
"31-12-2016",5819.01
"31-01-2017",5905.29
"28-02-2017",6357.28
"31-03-2017",8388.35
"30-04-2017",7702.75
"31-05-2017",6440.9
"30-06-2017",5768.79
"31-07-2017",13632.98
"31-08-2017",16135.54
"30-09-2017",4505.56
"31-10-2017",9330.49
"30-11-2017",6276.86
"31-12-2017",10647.62
"31-01-2018",7388.49
"28-02-2018",4590.02
"31-03-2018",6603.43
"30-04-2018",4565.26
"31-05-2018",12111.78
"30-06-2018",5133.97
"31-07-2018",13129.55
"31-08-2018",9674.92
"30-09-2018",5988.65
"31-10-2018",7058.17
"30-11-2018",9120.97
"31-12-2018",7365.74
"31-01-2019",6056.43
"28-02-2019",6288.04
"31-03-2019",5478.13
"30-04-2019",6501.03
"31-05-2019",8003.53
"30-06-2019",8963.32
"31-07-2019",8165.66
"31-08-2019",10097.44
"30-09-2019",9579.77
"31-10-2019",10385.76
"30-11-2019",6107.92
"31-12-2019",6842
"31-01-2020",9352.64
"29-02-2020",8225.37
"31-03-2020",4876.31
"30-04-2020",3115.22
"31-05-2020",3301.9
"30-06-2020",11974.91
"31-07-2020",7078.17
"31-08-2020",3824.53
"30-09-2020",7038.7
"31-10-2020",4670.53
"30-11-2020",8102.94
"31-12-2020",10323.47
"31-01-2021",2119.56
"28-02-2021",5113.36
"31-03-2021",2975.62
"30-04-2021",3368.13
"31-05-2021",2037.52
"30-06-2021",3065.92
"31-07-2021",3035.85
"31-08-2021",2731.35
"30-09-2021",3083.72
"31-10-2021",3117.04
"30-11-2021",3524.59
"31-12-2021",5402.24
"31-01-2022",2499.45
"28-02-2022",2567.9
"31-03-2022",4862.35
"30-04-2022",3673.66
"31-05-2022",4020.36
"30-06-2022",4670.2
"31-07-2022",6118.19
"31-08-2022",6198.29
"30-09-2022",7729.62
"31-10-2022",6718.66
"30-11-2022",5169.13
"31-12-2022",6218.69
"31-01-2023",3915.85
"28-02-2023",3746.22
"31-03-2023",5940.21
"30-04-2023",4747.96
"31-05-2023",5962.68
"30-06-2023",5394.52
"31-07-2023",5212.98
"31-08-2023",7227.37
"30-09-2023",5316.96
"31-10-2023",5465.22
"30-11-2023",5934.47
"31-12-2023",6050.77
"31-01-2024",5597.73
"29-02-2024",5731.38
"31-03-2024",5988.02
"30-04-2024",7511.78
"31-05-2024",6135.48
"30-06-2024",6045.81
"31-07-2024",6496.21
"31-08-2024",6319.74
