"Fecha","Valor"
"31-08-2009",63758.9
"30-09-2009",61524.1
"31-10-2009",73209
"30-11-2009",76106.4
"31-12-2009",87817.7
"31-01-2010",69237.45
"28-02-2010",62932.77
"31-03-2010",78218.68
"30-04-2010",57782.83
"31-05-2010",62845.28
"30-06-2010",35912.87
"31-07-2010",49995.87
"31-08-2010",48276.75
"30-09-2010",35647.47
"31-10-2010",48998.46
"30-11-2010",66025.42
"31-12-2010",81833.67
"31-01-2011",76501.15
"28-02-2011",61459.19
"31-03-2011",63373.49
"30-04-2011",58551.46
"31-05-2011",76491.92
"30-06-2011",47159.86
"31-07-2011",36497.52
"31-08-2011",40649.22
"30-09-2011",39389.55
"31-10-2011",34258.67
"30-11-2011",57420.61
"31-12-2011",77759.53
"31-01-2012",81096.05
"29-02-2012",63574.82
"31-03-2012",66974.08
"30-04-2012",94924.5
"31-05-2012",48687.06
"30-06-2012",54295.37
"31-07-2012",34338.31
"31-08-2012",47352.59
"30-09-2012",31470.67
"31-10-2012",47781.2
"30-11-2012",60890.15
"31-12-2012",73394.6
"31-01-2013",69095.19
"28-02-2013",77368.05
"31-03-2013",83499.37
"30-04-2013",69615.33
"31-05-2013",60165.67
"30-06-2013",62587.52
"31-07-2013",62631.76
"31-08-2013",34050.27
"30-09-2013",34226.73
"31-10-2013",45157.63
"30-11-2013",48198.03
"31-12-2013",77835.69
"31-01-2014",72284
"28-02-2014",73479.93
"31-03-2014",72762.49
"30-04-2014",85095.7
"31-05-2014",61721.91
"30-06-2014",64043.44
"31-07-2014",64210.59
"31-08-2014",43037.23
"30-09-2014",39059.08
"31-10-2014",41402.61
"30-11-2014",43934.66
"31-12-2014",76830.4
"31-01-2015",74575.08
"28-02-2015",69331.1
"31-03-2015",71585.3
"30-04-2015",74703.76
"31-05-2015",71493.03
"30-06-2015",74089.9
"31-07-2015",80730.99
"31-08-2015",47924.99
"30-09-2015",35499.8
"31-10-2015",39812.42
"30-11-2015",34152.55
"31-12-2015",37555.81
"31-01-2016",71961.87
"29-02-2016",73502.3
"31-03-2016",73872.26
"30-04-2016",76424.67
"31-05-2016",71949.29
"30-06-2016",70207.28
"31-07-2016",67997.32
"31-08-2016",74994
"30-09-2016",38808.19
"31-10-2016",26410.3
"30-11-2016",31961.18
"31-12-2016",33059.69
"31-01-2017",71996.46
"28-02-2017",68398.03
"31-03-2017",72834.68
"30-04-2017",84342.73
"31-05-2017",74375.86
"30-06-2017",69306.83
"31-07-2017",67022.72
"31-08-2017",71231.22
"30-09-2017",42011.32
"31-10-2017",33179.17
"30-11-2017",34169.39
"31-12-2017",41963.08
"31-01-2018",76063.75
"28-02-2018",68223.8
"31-03-2018",75774.88
"30-04-2018",85259.62
"31-05-2018",71922.42
"30-06-2018",59573.71
"31-07-2018",61637.39
"31-08-2018",60086.21
"30-09-2018",51822.51
"31-10-2018",48859.95
"30-11-2018",48121.19
"31-12-2018",53943.94
"31-01-2019",79095.42
"28-02-2019",66795.57
"31-03-2019",76017.99
"30-04-2019",85695.38
"31-05-2019",70077.85
"30-06-2019",65280.54
"31-07-2019",68979.03
"31-08-2019",67430.38
"30-09-2019",64857.48
"31-10-2019",64084.89
"30-11-2019",66174.07
"31-12-2019",67184.26
"31-01-2020",87676.63
"29-02-2020",70253.56
"31-03-2020",31076.7
"30-04-2020",8434.69
"31-05-2020",2475.36
"30-06-2020",2354.99
"31-07-2020",3289.05
"31-08-2020",4122.35
"30-09-2020",1621.84
"31-10-2020",4969.77
"30-11-2020",5040.87
"31-12-2020",18719.41
"31-01-2021",16378.82
"28-02-2021",9921.29
"31-03-2021",11415.48
"30-04-2021",6776.78
"31-05-2021",13362.44
"30-06-2021",16787.43
"31-07-2021",17418.27
"31-08-2021",16274.53
"30-09-2021",15343.7
"31-10-2021",17127.35
"30-11-2021",25542.65
"31-12-2021",36747.63
"31-01-2022",31035.48
"28-02-2022",50182.4
"31-03-2022",37176.11
"30-04-2022",54929.99
"31-05-2022",51660.94
"30-06-2022",51729.51
"31-07-2022",55011.58
"31-08-2022",62175.66
"30-09-2022",58425.71
"31-10-2022",67373.57
"30-11-2022",66697.09
"31-12-2022",73312.59
"31-01-2023",68225.42
"28-02-2023",52770.89
"31-03-2023",52794.9
"30-04-2023",70505.36
"31-05-2023",60882.41
"30-06-2023",68472.54
"31-07-2023",91465.79
"31-08-2023",78028.8
"30-09-2023",79720.9
"31-10-2023",67838.68
"30-11-2023",77405.41
"31-12-2023",117134.65
"31-01-2024",90208.28
"29-02-2024",67994.48
"31-03-2024",82708.64
"30-04-2024",72945.66
"31-05-2024",85304.76
"30-06-2024",77949.09
"31-07-2024",102047.93
"31-08-2024",99085.31
