"Fecha","Valor"
"31-08-2009",920764.2
"30-09-2009",971571.9
"31-10-2009",1002388.7
"30-11-2009",926707.3
"31-12-2009",1526894
"31-01-2010",940736.83
"28-02-2010",1174012.03
"31-03-2010",1058732.07
"30-04-2010",1012151.88
"31-05-2010",894503.01
"30-06-2010",1132094.62
"31-07-2010",941305.78
"31-08-2010",919981.32
"30-09-2010",1157715.99
"31-10-2010",1134848.37
"30-11-2010",1021300.37
"31-12-2010",1604263.8
"31-01-2011",1147535
"28-02-2011",1237184.03
"31-03-2011",1061243.06
"30-04-2011",1048026.1
"31-05-2011",2217135.99
"30-06-2011",1368285.53
"31-07-2011",1418618.95
"31-08-2011",1679566.79
"30-09-2011",1447148.34
"31-10-2011",1368273.47
"30-11-2011",1823598.69
"31-12-2011",1530126.85
"31-01-2012",1366986.84
"29-02-2012",2135941.06
"31-03-2012",1469680.17
"30-04-2012",1212880.93
"31-05-2012",1254382.63
"30-06-2012",1327749.89
"31-07-2012",1382221.5
"31-08-2012",1306528.77
"30-09-2012",1217826.85
"31-10-2012",2255886.5
"30-11-2012",1483668.25
"31-12-2012",2063827.24
"31-01-2013",1540317.86
"28-02-2013",1332723.98
"31-03-2013",1243402.83
"30-04-2013",1433912.39
"31-05-2013",1477333.27
"30-06-2013",1206884.18
"31-07-2013",1721329.44
"31-08-2013",1714044.55
"30-09-2013",1245761.81
"31-10-2013",1680352.11
"30-11-2013",1708177.4
"31-12-2013",1630726.31
"31-01-2014",1627164.22
"28-02-2014",2017450.03
"31-03-2014",1114607.03
"30-04-2014",1620340.25
"31-05-2014",1347974.19
"30-06-2014",1121989.94
"31-07-2014",1779812.56
"31-08-2014",1148603.48
"30-09-2014",1216423.7
"31-10-2014",2079433.81
"30-11-2014",1277793.22
"31-12-2014",1956012.92
"31-01-2015",1553003.44
"28-02-2015",1221324.55
"31-03-2015",1384049.14
"30-04-2015",1029785.17
"31-05-2015",1453592.72
"30-06-2015",1692980.83
"31-07-2015",1809653.26
"31-08-2015",1319602.48
"30-09-2015",1669049.89
"31-10-2015",1332536.69
"30-11-2015",2024941.87
"31-12-2015",1919356.71
"31-01-2016",1587177.81
"29-02-2016",1469607.1
"31-03-2016",1467328.99
"30-04-2016",1206533.55
"31-05-2016",1587937.46
"30-06-2016",1576921.47
"31-07-2016",1517330.04
"31-08-2016",1235548.44
"30-09-2016",1290989.69
"31-10-2016",1261948.12
"30-11-2016",1846970.29
"31-12-2016",1776233.81
"31-01-2017",1362638.51
"28-02-2017",1630221.33
"31-03-2017",1871137.67
"30-04-2017",1143052.69
"31-05-2017",1849447.42
"30-06-2017",1674605.63
"31-07-2017",1594699.55
"31-08-2017",1487569.87
"30-09-2017",1312480.83
"31-10-2017",1366067.57
"30-11-2017",1529940.18
"31-12-2017",2026799.37
"31-01-2018",1589720.78
"28-02-2018",1209766.36
"31-03-2018",1208659.11
"30-04-2018",1315172.87
"31-05-2018",1789619.54
"30-06-2018",1420593.87
"31-07-2018",1469723.88
"31-08-2018",1431506.78
"30-09-2018",1107345.32
"31-10-2018",1384820.87
"30-11-2018",1435210.06
"31-12-2018",1872391.3
"31-01-2019",1244342.99
"28-02-2019",1277587.47
"31-03-2019",1601584.37
"30-04-2019",1572352.64
"31-05-2019",2283863.56
"30-06-2019",1990811.54
"31-07-2019",1732226.43
"31-08-2019",1607749.97
"30-09-2019",1101699.4
"31-10-2019",1397402.9
"30-11-2019",1582883.21
"31-12-2019",1955471.25
"31-01-2020",1163033.96
"29-02-2020",1002930.94
"31-03-2020",1542042.84
"30-04-2020",1001118.77
"31-05-2020",1036352.93
"30-06-2020",922118.25
"31-07-2020",1283704.36
"31-08-2020",1020194.7
"30-09-2020",1251536.1
"31-10-2020",1557353.15
"30-11-2020",1148513.41
"31-12-2020",1462755.56
"31-01-2021",1340355.02
"28-02-2021",991472.31
"31-03-2021",1428645.22
"30-04-2021",1790925.97
"31-05-2021",1117456.51
"30-06-2021",1163650.59
"31-07-2021",1705656.78
"31-08-2021",1117876.78
"30-09-2021",1290833.6
"31-10-2021",1624497.67
"30-11-2021",1618350.03
"31-12-2021",1975619.14
"31-01-2022",1338907.87
"28-02-2022",2197981.66
"31-03-2022",2074370.87
"30-04-2022",1623697.15
"31-05-2022",1921265.26
"30-06-2022",1880151.06
"31-07-2022",2221019.5
"31-08-2022",2237823.86
"30-09-2022",1943498.3
"31-10-2022",2069051.26
"30-11-2022",1897598.97
"31-12-2022",2086940.11
"31-01-2023",1848619.19
"28-02-2023",1723763.95
"31-03-2023",2096096.37
"30-04-2023",1655390.3
"31-05-2023",2218550.72
"30-06-2023",1991790.55
"31-07-2023",2004095.99
"31-08-2023",1885103.31
"30-09-2023",1923258.89
"31-10-2023",1816460.32
"30-11-2023",1931567.27
"31-12-2023",2460914.81
"31-01-2024",2214045.36
"29-02-2024",1985448.54
"31-03-2024",1873973.51
"30-04-2024",2131372.47
"31-05-2024",2152687.44
"30-06-2024",2786261.02
"31-07-2024",2274570.32
"31-08-2024",2223363.4
