"Fecha","Valor"
"31-08-2009",371142.9
"30-09-2009",356581.3
"31-10-2009",397165.3
"30-11-2009",390073.4
"31-12-2009",334831.1
"31-01-2010",430675.06
"28-02-2010",455432.33
"31-03-2010",488462.6
"30-04-2010",525264.92
"31-05-2010",507506.15
"30-06-2010",486182.36
"31-07-2010",457243.51
"31-08-2010",430450.7
"30-09-2010",378471.62
"31-10-2010",380509.81
"30-11-2010",412580.56
"31-12-2010",537904.81
"31-01-2011",555203.85
"28-02-2011",600127.65
"31-03-2011",720578.96
"30-04-2011",613769.13
"31-05-2011",570193.1
"30-06-2011",581154.41
"31-07-2011",509076.61
"31-08-2011",481369.11
"30-09-2011",474616.54
"31-10-2011",418448.89
"30-11-2011",446733.44
"31-12-2011",604843.42
"31-01-2012",503689.37
"29-02-2012",604821.21
"31-03-2012",558391.63
"30-04-2012",699265.18
"31-05-2012",610080.24
"30-06-2012",546321.18
"31-07-2012",521519.03
"31-08-2012",516328.56
"30-09-2012",488058.65
"31-10-2012",476194.18
"30-11-2012",483945.03
"31-12-2012",552406.86
"31-01-2013",530148.68
"28-02-2013",627846.79
"31-03-2013",615394.45
"30-04-2013",616996.19
"31-05-2013",654269.68
"30-06-2013",503970.29
"31-07-2013",553476.53
"31-08-2013",460086.04
"30-09-2013",438270.59
"31-10-2013",432120.84
"30-11-2013",481063.22
"31-12-2013",551232.82
"31-01-2014",543925.92
"28-02-2014",564986.64
"31-03-2014",612982.08
"30-04-2014",605970.41
"31-05-2014",626738.87
"30-06-2014",535183.5
"31-07-2014",517198.3
"31-08-2014",525994.45
"30-09-2014",499972.87
"31-10-2014",526281.24
"30-11-2014",477114.37
"31-12-2014",604112.44
"31-01-2015",559949.15
"28-02-2015",550748.55
"31-03-2015",580069.62
"30-04-2015",634775.67
"31-05-2015",574155.68
"30-06-2015",537179.19
"31-07-2015",656569.17
"31-08-2015",481623.56
"30-09-2015",463705.55
"31-10-2015",443301.55
"30-11-2015",429718.75
"31-12-2015",460891.47
"31-01-2016",551878.56
"29-02-2016",570995.55
"31-03-2016",651013.71
"30-04-2016",561960.66
"31-05-2016",577212.73
"30-06-2016",528541.64
"31-07-2016",439159.88
"31-08-2016",523205.67
"30-09-2016",474598.49
"31-10-2016",437602.71
"30-11-2016",488451.84
"31-12-2016",617080.24
"31-01-2017",667253.11
"28-02-2017",690216.4
"31-03-2017",786596.9
"30-04-2017",656466.69
"31-05-2017",672798.62
"30-06-2017",545586.17
"31-07-2017",575633.88
"31-08-2017",580500.44
"30-09-2017",454181.19
"31-10-2017",489505.27
"30-11-2017",516410.19
"31-12-2017",494817.4
"31-01-2018",662131.44
"28-02-2018",659560.7
"31-03-2018",704817.36
"30-04-2018",652263.19
"31-05-2018",654208.72
"30-06-2018",562900.38
"31-07-2018",569508.63
"31-08-2018",578880.96
"30-09-2018",499455.97
"31-10-2018",526988.03
"30-11-2018",540261.64
"31-12-2018",557659.83
"31-01-2019",648988.63
"28-02-2019",645802.86
"31-03-2019",699292.27
"30-04-2019",678937.34
"31-05-2019",713575.97
"30-06-2019",599406.74
"31-07-2019",647672.19
"31-08-2019",613223.65
"30-09-2019",600611.16
"31-10-2019",565578.29
"30-11-2019",590977.72
"31-12-2019",714931.56
"31-01-2020",859282.56
"29-02-2020",780108.31
"31-03-2020",819186.89
"30-04-2020",676438.55
"31-05-2020",617522.91
"30-06-2020",552565.27
"31-07-2020",666720.04
"31-08-2020",584142.38
"30-09-2020",599389.74
"31-10-2020",588077.02
"30-11-2020",573451.05
"31-12-2020",706903.7
"31-01-2021",776407.99
"28-02-2021",840812.99
"31-03-2021",940706.69
"30-04-2021",762129.33
"31-05-2021",757990.48
"30-06-2021",730065.1
"31-07-2021",764014.72
"31-08-2021",747057.58
"30-09-2021",734376.54
"31-10-2021",735987.3
"30-11-2021",745613.93
"31-12-2021",848079.68
"31-01-2022",917640.19
"28-02-2022",1000266.02
"31-03-2022",1128083.89
"30-04-2022",991187.66
"31-05-2022",927577.52
"30-06-2022",916773.81
"31-07-2022",895248.6
"31-08-2022",846626.55
"30-09-2022",763766.12
"31-10-2022",753431.77
"30-11-2022",771352.8
"31-12-2022",787994.58
"31-01-2023",911244.84
"28-02-2023",937500.96
"31-03-2023",1071195.08
"30-04-2023",911513.51
"31-05-2023",868005.53
"30-06-2023",827322.82
"31-07-2023",809148.47
"31-08-2023",788874.39
"30-09-2023",769747.61
"31-10-2023",698025.86
"30-11-2023",726231.35
"31-12-2023",791146.82
"31-01-2024",927617.91
"29-02-2024",918062.39
"31-03-2024",962270.49
"30-04-2024",946651.33
"31-05-2024",947312.26
"30-06-2024",858513.3
"31-07-2024",854469.27
"31-08-2024",832977.65
