"Fecha","Valor"
"31-08-2009",79443.31
"30-09-2009",35443.84
"31-10-2009",60237.67
"30-11-2009",56791.96
"31-12-2009",40133.91
"31-01-2010",41762.62
"28-02-2010",55160.79
"31-03-2010",114663.88
"30-04-2010",82057.01
"31-05-2010",89803.12
"30-06-2010",35495.73
"31-07-2010",68968.15
"31-08-2010",117771.06
"30-09-2010",45562.94
"31-10-2010",87764.53
"30-11-2010",63631.72
"31-12-2010",64793.96
"31-01-2011",109621.86
"28-02-2011",120646.33
"31-03-2011",91462.96
"30-04-2011",112163.39
"31-05-2011",73818.56
"30-06-2011",80790.73
"31-07-2011",55530.35
"31-08-2011",64012.83
"30-09-2011",92563.44
"31-10-2011",82426.04
"30-11-2011",110734
"31-12-2011",97151.13
"31-01-2012",121930.54
"29-02-2012",146924.17
"31-03-2012",131577.07
"30-04-2012",109143.62
"31-05-2012",125326.45
"30-06-2012",106522.31
"31-07-2012",128226.23
"31-08-2012",27289.93
"30-09-2012",66640.35
"31-10-2012",127660
"30-11-2012",74280.34
"31-12-2012",79672.94
"31-01-2013",150007.66
"28-02-2013",125638
"31-03-2013",81995.17
"30-04-2013",143470.47
"31-05-2013",107942.02
"30-06-2013",104865.54
"31-07-2013",142515.22
"31-08-2013",106609.06
"30-09-2013",102120.58
"31-10-2013",111249.33
"30-11-2013",73230.65
"31-12-2013",108572.57
"31-01-2014",104341.92
"28-02-2014",959909.62
"31-03-2014",113750.25
"30-04-2014",134823.96
"31-05-2014",107136.24
"30-06-2014",106946.75
"31-07-2014",138350.87
"31-08-2014",112077.42
"30-09-2014",98241.47
"31-10-2014",147611.89
"30-11-2014",122484.39
"31-12-2014",84250.43
"31-01-2015",112505.39
"28-02-2015",90816.41
"31-03-2015",118847.57
"30-04-2015",72837.02
"31-05-2015",123079.16
"30-06-2015",114216
"31-07-2015",136258.62
"31-08-2015",94146.25
"30-09-2015",82897.66
"31-10-2015",75319.31
"30-11-2015",64715.17
"31-12-2015",92958.73
"31-01-2016",77633.05
"29-02-2016",94341.7
"31-03-2016",100788.25
"30-04-2016",100396.04
"31-05-2016",101229.91
"30-06-2016",120800.73
"31-07-2016",92602.81
"31-08-2016",92000.98
"30-09-2016",78072.12
"31-10-2016",84285.07
"30-11-2016",90527.08
"31-12-2016",75312.28
"31-01-2017",71856.25
"28-02-2017",63600.26
"31-03-2017",113819.12
"30-04-2017",80973.28
"31-05-2017",113403.29
"30-06-2017",118684.03
"31-07-2017",88069.04
"31-08-2017",84398.52
"30-09-2017",85613.88
"31-10-2017",85917.48
"30-11-2017",78430.7
"31-12-2017",79946.13
"31-01-2018",115541.87
"28-02-2018",97394.87
"31-03-2018",91539.96
"30-04-2018",74244.19
"31-05-2018",84588.93
"30-06-2018",99183.3
"31-07-2018",86634.38
"31-08-2018",79526
"30-09-2018",74505.11
"31-10-2018",86701.53
"30-11-2018",106456.85
"31-12-2018",89651.93
"31-01-2019",120740.84
"28-02-2019",108596.19
"31-03-2019",115674.01
"30-04-2019",81270.44
"31-05-2019",89760.33
"30-06-2019",95619.81
"31-07-2019",103497.19
"31-08-2019",73957.27
"30-09-2019",92347.72
"31-10-2019",98314.12
"30-11-2019",105378.32
"31-12-2019",114097.4
"31-01-2020",116028.71
"29-02-2020",93276.65
"31-03-2020",106854.58
"30-04-2020",65210.87
"31-05-2020",68700.02
"30-06-2020",75884.31
"31-07-2020",97131.74
"31-08-2020",66534.99
"30-09-2020",122893.99
"31-10-2020",97929.84
"30-11-2020",86274.24
"31-12-2020",107292.35
"31-01-2021",85505.13
"28-02-2021",83697.54
"31-03-2021",88491.03
"30-04-2021",88320.73
"31-05-2021",81973.87
"30-06-2021",80988.67
"31-07-2021",79755.01
"31-08-2021",82558.92
"30-09-2021",83661.36
"31-10-2021",84151.9
"30-11-2021",82945.94
"31-12-2021",100652.4
"31-01-2022",94362.62
"28-02-2022",976688.72
"31-03-2022",97786.52
"30-04-2022",93565.5
"31-05-2022",99160.34
"30-06-2022",101048.29
"31-07-2022",101671.35
"31-08-2022",104965.87
"30-09-2022",74745.97
"31-10-2022",82391.79
"30-11-2022",82919.01
"31-12-2022",56740.22
"31-01-2023",174962.91
"28-02-2023",128379.41
"31-03-2023",145365.7
"30-04-2023",126381.83
"31-05-2023",128734.56
"30-06-2023",144251.06
"31-07-2023",162668.86
"31-08-2023",155834.25
"30-09-2023",144514.38
"31-10-2023",159954.94
"30-11-2023",164213.13
"31-12-2023",143051.52
"31-01-2024",157574.24
"29-02-2024",118329.09
"31-03-2024",126573.8
"30-04-2024",105693.41
"31-05-2024",128931.62
"30-06-2024",137130.33
"31-07-2024",158272.72
"31-08-2024",139695.94
