"Fecha","Valor"
"31-08-2009",16498.7
"30-09-2009",23432.6
"31-10-2009",30834.5
"30-11-2009",21196.9
"31-12-2009",29071.7
"31-01-2010",36299.43
"28-02-2010",21828.84
"31-03-2010",23679.78
"30-04-2010",20844.45
"31-05-2010",32401.18
"30-06-2010",27230.99
"31-07-2010",20161.2
"31-08-2010",22108.65
"30-09-2010",21741.04
"31-10-2010",13908.64
"30-11-2010",34437.54
"31-12-2010",31686.65
"31-01-2011",16396.97
"28-02-2011",25141.27
"31-03-2011",37721.61
"30-04-2011",16711.04
"31-05-2011",26742.56
"30-06-2011",28272.24
"31-07-2011",31278.43
"31-08-2011",27080.55
"30-09-2011",29326.43
"31-10-2011",26923.73
"30-11-2011",32878.46
"31-12-2011",38170.7
"31-01-2012",25798.45
"29-02-2012",36460.24
"31-03-2012",39461.41
"30-04-2012",20611.2
"31-05-2012",28307.11
"30-06-2012",48746.19
"31-07-2012",24809.28
"31-08-2012",27477.91
"30-09-2012",21383.94
"31-10-2012",33702.49
"30-11-2012",19763.06
"31-12-2012",38840.7
"31-01-2013",23643.54
"28-02-2013",27223.87
"31-03-2013",39007.74
"30-04-2013",26019.67
"31-05-2013",48291.46
"30-06-2013",19715.94
"31-07-2013",36177.23
"31-08-2013",26081.42
"30-09-2013",24715.7
"31-10-2013",37232.36
"30-11-2013",34696.74
"31-12-2013",48055.68
"31-01-2014",37223.15
"28-02-2014",33879.51
"31-03-2014",38534.99
"30-04-2014",36199.31
"31-05-2014",34705.38
"30-06-2014",31398.89
"31-07-2014",45011.84
"31-08-2014",34258.22
"30-09-2014",34344.92
"31-10-2014",25123.04
"30-11-2014",27424.27
"31-12-2014",42915.6
"31-01-2015",33543.35
"28-02-2015",31839.6
"31-03-2015",30912.92
"30-04-2015",30771.77
"31-05-2015",27113.68
"30-06-2015",32885.42
"31-07-2015",50560.03
"31-08-2015",30499.74
"30-09-2015",35962.66
"31-10-2015",31202.33
"30-11-2015",34506.84
"31-12-2015",49080.55
"31-01-2016",42298.06
"29-02-2016",39425.95
"31-03-2016",34240.98
"30-04-2016",41401.52
"31-05-2016",43082.93
"30-06-2016",45285.28
"31-07-2016",54429.46
"31-08-2016",47778.05
"30-09-2016",38745.1
"31-10-2016",29117.65
"30-11-2016",27911.49
"31-12-2016",52240.27
"31-01-2017",39087.15
"28-02-2017",40125.91
"31-03-2017",45182
"30-04-2017",58481.87
"31-05-2017",50411.07
"30-06-2017",47020.95
"31-07-2017",56177.24
"31-08-2017",49198.54
"30-09-2017",43972.7
"31-10-2017",46041.84
"30-11-2017",52444.11
"31-12-2017",56085.79
"31-01-2018",50591.45
"28-02-2018",37492.49
"31-03-2018",46311.48
"30-04-2018",45816.82
"31-05-2018",47407.98
"30-06-2018",50785.68
"31-07-2018",69998.72
"31-08-2018",53856.63
"30-09-2018",47014.44
"31-10-2018",62909.25
"30-11-2018",59454.93
"31-12-2018",68969.44
"31-01-2019",52143.52
"28-02-2019",48045.18
"31-03-2019",48701.03
"30-04-2019",43636.91
"31-05-2019",49649.87
"30-06-2019",49603.1
"31-07-2019",75852.61
"31-08-2019",55472.37
"30-09-2019",56160.89
"31-10-2019",61540.34
"30-11-2019",61445.78
"31-12-2019",65626.52
"31-01-2020",65888.91
"29-02-2020",53025.99
"31-03-2020",53185.81
"30-04-2020",53971.51
"31-05-2020",50823.74
"30-06-2020",51551.07
"31-07-2020",76702.07
"31-08-2020",47136.34
"30-09-2020",60812.01
"31-10-2020",63539.47
"30-11-2020",81727.62
"31-12-2020",88230.84
"31-01-2021",57972.68
"28-02-2021",59375.47
"31-03-2021",76095.75
"30-04-2021",67846.86
"31-05-2021",65224.55
"30-06-2021",59313.92
"31-07-2021",97530.4
"31-08-2021",72341.89
"30-09-2021",68501.92
"31-10-2021",71742.96
"30-11-2021",76136.68
"31-12-2021",105428.71
"31-01-2022",73730.12
"28-02-2022",83249.8
"31-03-2022",71464.79
"30-04-2022",65607.95
"31-05-2022",99837.94
"30-06-2022",81849.65
"31-07-2022",97947.23
"31-08-2022",102580.06
"30-09-2022",86599.34
"31-10-2022",83842.78
"30-11-2022",115243.79
"31-12-2022",111018.56
"31-01-2023",115068.16
"28-02-2023",92155.95
"31-03-2023",108228.15
"30-04-2023",93440.99
"31-05-2023",113020.2
"30-06-2023",102119.32
"31-07-2023",116824.57
"31-08-2023",100396.28
"30-09-2023",86534.4
"31-10-2023",96437.76
"30-11-2023",114531.9
"31-12-2023",114238.35
"31-01-2024",90054.04
"29-02-2024",87395.23
"31-03-2024",86060.76
"30-04-2024",97740.77
"31-05-2024",91007.06
"30-06-2024",84438.65
"31-07-2024",144516.61
"31-08-2024",92799.03
