"Fecha","Valor"
"31-08-2009",246798.2
"30-09-2009",50051.4
"31-10-2009",4854.6
"30-11-2009",11757.3
"31-12-2009",156984
"31-01-2010",353024.01
"28-02-2010",9760.95
"31-03-2010",20222.59
"30-04-2010",89177.08
"31-05-2010",3948.06
"30-06-2010",165211.04
"31-07-2010",17806.99
"31-08-2010",6121.3
"30-09-2010",9655.9
"31-10-2010",33610.22
"30-11-2010",43227.82
"31-12-2010",139431.52
"31-01-2011",15800.11
"28-02-2011",11960.05
"31-03-2011",9800.62
"30-04-2011",8306.17
"31-05-2011",33576.45
"30-06-2011",13593.21
"31-07-2011",20450.98
"31-08-2011",3321.06
"30-09-2011",14141.73
"31-10-2011",262490.41
"30-11-2011",13697.92
"31-12-2011",234675
"31-01-2012",5491.23
"29-02-2012",3529.51
"31-03-2012",6745
"30-04-2012",4655.8
"31-05-2012",5466.74
"30-06-2012",732346.1
"31-07-2012",5131.95
"31-08-2012",67234.15
"30-09-2012",8430.93
"31-10-2012",76359.54
"30-11-2012",7086.54
"31-12-2012",46307.34
"31-01-2013",7948.69
"28-02-2013",696101.21
"31-03-2013",7173.91
"30-04-2013",52322.3
"31-05-2013",13862.93
"30-06-2013",38552.38
"31-07-2013",7107.89
"31-08-2013",9378.85
"30-09-2013",5703.88
"31-10-2013",12029.84
"30-11-2013",217695.34
"31-12-2013",250675.05
"31-01-2014",550
"28-02-2014",5914.12
"31-03-2014",4226.7
"30-04-2014",8307.72
"31-05-2014",11915.18
"30-06-2014",15504.91
"31-07-2014",2558.8
"31-08-2014",24651.05
"30-09-2014",18599.14
"31-10-2014",11395.95
"30-11-2014",309.57
"31-12-2014",30731.68
"31-01-2015",339150
"28-02-2015",5130.97
"31-03-2015",95970.75
"30-04-2015",135325.89
"31-05-2015",1737.53
"30-06-2015",5343.51
"31-07-2015",7787.12
"31-08-2015",7268.36
"30-09-2015",1996.35
"31-10-2015",3086.09
"30-11-2015",7148.23
"31-12-2015",133632.87
"31-01-2016",76.82
"29-02-2016",1357.01
"31-03-2016",2961.85
"30-04-2016",3799.49
"31-05-2016",695964.88
"30-06-2016",4740.36
"31-07-2016",0
"31-08-2016",23071.62
"30-09-2016",50315.17
"31-10-2016",4035.88
"30-11-2016",76168.11
"31-12-2016",28532
"31-01-2017",1395.23
"28-02-2017",2508.9
"31-03-2017",315.98
"30-04-2017",0
"31-05-2017",38081.49
"30-06-2017",501729.33
"31-07-2017",873.52
"31-08-2017",16986.81
"30-09-2017",1902.14
"31-10-2017",33620.15
"30-11-2017",12508.75
"31-12-2017",33159.38
"31-01-2018",2102.07
"28-02-2018",21452.9
"31-03-2018",57.63
"30-04-2018",44646.96
"31-05-2018",863.16
"30-06-2018",2897.47
"31-07-2018",20451.56
"31-08-2018",271056.1
"30-09-2018",2174.65
"31-10-2018",7530.97
"30-11-2018",2826.97
"31-12-2018",29625.98
"31-01-2019",7963.37
"28-02-2019",27199.76
"31-03-2019",3621.58
"30-04-2019",3320
"31-05-2019",1179502.03
"30-06-2019",779.94
"31-07-2019",964.12
"31-08-2019",94.06
"30-09-2019",10094.73
"31-10-2019",3103.16
"30-11-2019",26244.14
"31-12-2019",25505.22
"31-01-2020",0
"29-02-2020",90.99
"31-03-2020",10397.68
"30-04-2020",1542904.24
"31-05-2020",0.67
"30-06-2020",9028.36
"31-07-2020",2065.6
"31-08-2020",0
"30-09-2020",641.9
"31-10-2020",126584.14
"30-11-2020",11590.15
"31-12-2020",54739.22
"31-01-2021",0
"28-02-2021",0
"31-03-2021",7188.54
"30-04-2021",37909.1
"31-05-2021",2868.48
"30-06-2021",0
"31-07-2021",188.66
"31-08-2021",591535.67
"30-09-2021",4495.85
"31-10-2021",975461.96
"30-11-2021",9800
"31-12-2021",6669.93
"31-01-2022",24.7
"28-02-2022",1264.94
"31-03-2022",1391.47
"30-04-2022",6966.51
"31-05-2022",36694.1
"30-06-2022",1685.01
"31-07-2022",526500
"31-08-2022",494245
"30-09-2022",12700
"31-10-2022",3623.81
"30-11-2022",7258.07
"31-12-2022",10318.81
"31-01-2023",37417.43
"28-02-2023",0
"31-03-2023",465.93
"30-04-2023",19194.86
"31-05-2023",7279.82
"30-06-2023",1002356.12
"31-07-2023",28009.1
"31-08-2023",26464.39
"30-09-2023",15349.13
"31-10-2023",569494.74
"30-11-2023",20358.1
"31-12-2023",10240.16
"31-01-2024",19131.89
"29-02-2024",3918.3
"31-03-2024",8066.12
"30-04-2024",954.76
"31-05-2024",7460.08
"30-06-2024",38522.98
"31-07-2024",766.32
"31-08-2024",1429612.53
