"Fecha","Valor"
"31-08-2009",841320.85
"30-09-2009",936128.05
"31-10-2009",942151.03
"30-11-2009",869915.37
"31-12-2009",1486760.05
"31-01-2010",898974.21
"28-02-2010",1118851.24
"31-03-2010",944068.19
"30-04-2010",930094.87
"31-05-2010",804699.88
"30-06-2010",1096598.89
"31-07-2010",872337.63
"31-08-2010",802210.26
"30-09-2010",1112153.06
"31-10-2010",1047083.85
"30-11-2010",957668.66
"31-12-2010",1539469.84
"31-01-2011",1037913.14
"28-02-2011",1116537.71
"31-03-2011",969780.09
"30-04-2011",935862.71
"31-05-2011",2143317.43
"30-06-2011",1287494.8
"31-07-2011",1363088.6
"31-08-2011",1615553.96
"30-09-2011",1354584.89
"31-10-2011",1285847.44
"30-11-2011",1712864.69
"31-12-2011",1432975.72
"31-01-2012",1245056.3
"29-02-2012",1989016.89
"31-03-2012",1338103.1
"30-04-2012",1103737.32
"31-05-2012",1129056.18
"30-06-2012",1221227.58
"31-07-2012",1253995.28
"31-08-2012",1279238.84
"30-09-2012",1151186.5
"31-10-2012",2128226.5
"30-11-2012",1409387.91
"31-12-2012",1984154.3
"31-01-2013",1390310.2
"28-02-2013",1207085.98
"31-03-2013",1161407.66
"30-04-2013",1290441.92
"31-05-2013",1369391.26
"30-06-2013",1102018.64
"31-07-2013",1578814.23
"31-08-2013",1607435.49
"30-09-2013",1143641.23
"31-10-2013",1569102.79
"30-11-2013",1634946.75
"31-12-2013",1522153.74
"31-01-2014",1522822.31
"28-02-2014",1057540.41
"31-03-2014",1000856.78
"30-04-2014",1485516.29
"31-05-2014",1240837.95
"30-06-2014",1015043.18
"31-07-2014",1641461.69
"31-08-2014",1036526.05
"30-09-2014",1118182.23
"31-10-2014",1931821.92
"30-11-2014",1155308.83
"31-12-2014",1871762.49
"31-01-2015",1440498.05
"28-02-2015",1130508.15
"31-03-2015",1265201.57
"30-04-2015",956948.15
"31-05-2015",1330513.56
"30-06-2015",1578764.82
"31-07-2015",1673394.63
"31-08-2015",1225456.23
"30-09-2015",1586152.22
"31-10-2015",1257217.38
"30-11-2015",1960226.7
"31-12-2015",1826397.98
"31-01-2016",1509544.76
"29-02-2016",1375265.39
"31-03-2016",1366540.74
"30-04-2016",1106137.52
"31-05-2016",1486707.55
"30-06-2016",1456120.74
"31-07-2016",1424727.23
"31-08-2016",1143547.47
"30-09-2016",1212917.57
"31-10-2016",1177663.05
"30-11-2016",1756443.2
"31-12-2016",1700921.54
"31-01-2017",1290782.26
"28-02-2017",1566621.07
"31-03-2017",1757318.55
"30-04-2017",1062079.41
"31-05-2017",1736044.13
"30-06-2017",1555921.6
"31-07-2017",1506630.51
"31-08-2017",1403171.34
"30-09-2017",1226866.95
"31-10-2017",1280150.09
"30-11-2017",1451509.48
"31-12-2017",1946853.23
"31-01-2018",1474178.91
"28-02-2018",1112371.5
"31-03-2018",1117119.14
"30-04-2018",1240928.67
"31-05-2018",1705030.61
"30-06-2018",1321410.57
"31-07-2018",1383089.5
"31-08-2018",1351980.78
"30-09-2018",1032840.21
"31-10-2018",1298119.35
"30-11-2018",1328753.21
"31-12-2018",1782739.37
"31-01-2019",1123602.15
"28-02-2019",1168991.27
"31-03-2019",1485910.36
"30-04-2019",1491082.2
"31-05-2019",2194103.23
"30-06-2019",1895191.73
"31-07-2019",1628729.24
"31-08-2019",1533792.7
"30-09-2019",1009351.68
"31-10-2019",1299088.78
"30-11-2019",1477504.88
"31-12-2019",1841373.85
"31-01-2020",1047005.25
"29-02-2020",909654.29
"31-03-2020",1435188.26
"30-04-2020",935907.9
"31-05-2020",967652.91
"30-06-2020",846233.95
"31-07-2020",1186572.62
"31-08-2020",953659.71
"30-09-2020",1128642.11
"31-10-2020",1459423.31
"30-11-2020",1062239.17
"31-12-2020",1355463.21
"31-01-2021",1254849.89
"28-02-2021",907774.78
"31-03-2021",1340154.19
"30-04-2021",1702605.24
"31-05-2021",1035482.64
"30-06-2021",1082661.91
"31-07-2021",1625901.78
"31-08-2021",1035317.86
"30-09-2021",1207172.24
"31-10-2021",1540345.77
"30-11-2021",1535404.09
"31-12-2021",1874966.74
"31-01-2022",1244545.25
"28-02-2022",1221292.94
"31-03-2022",1976584.34
"30-04-2022",1530131.65
"31-05-2022",1822104.91
"30-06-2022",1779102.76
"31-07-2022",2119348.15
"31-08-2022",2132858
"30-09-2022",1868752.32
"31-10-2022",1986659.47
"30-11-2022",1814679.96
"31-12-2022",2030199.88
"31-01-2023",1673656.28
"28-02-2023",1595384.54
"31-03-2023",1950730.67
"30-04-2023",1529008.47
"31-05-2023",2089816.17
"30-06-2023",1847539.48
"31-07-2023",1841427.14
"31-08-2023",1729269.06
"30-09-2023",1778744.51
"31-10-2023",1656505.38
"30-11-2023",1767354.14
"31-12-2023",2317863.29
"31-01-2024",2056471.12
"29-02-2024",1867119.45
"31-03-2024",1747399.71
"30-04-2024",2025679.06
"31-05-2024",2023755.82
"30-06-2024",2649130.69
"31-07-2024",2116297.6
"31-08-2024",2083667.46
