"Fecha","Valor"
"31-08-2009",364.5
"30-09-2009",39
"31-10-2009",0
"30-11-2009",3702.2
"31-12-2009",0
"31-01-2010",0
"28-02-2010",164.56
"31-03-2010",43.72
"30-04-2010",4.99
"31-05-2010",75.53
"30-06-2010",85.46
"31-07-2010",7539.32
"31-08-2010",178.11
"30-09-2010",10.61
"31-10-2010",2731.67
"30-11-2010",13.52
"31-12-2010",0
"31-01-2011",0
"28-02-2011",90.32
"31-03-2011",2266.31
"30-04-2011",116.81
"31-05-2011",123.94
"30-06-2011",128.85
"31-07-2011",135.51
"31-08-2011",1900.23
"30-09-2011",76.51
"31-10-2011",4284.13
"30-11-2011",51.51
"31-12-2011",33.39
"31-01-2012",24.56
"29-02-2012",32.05
"31-03-2012",33.12
"30-04-2012",32.49
"31-05-2012",29.78
"30-06-2012",25.99
"31-07-2012",21.28
"31-08-2012",17.24
"30-09-2012",17.04
"31-10-2012",18.35
"30-11-2012",15.95
"31-12-2012",14.7
"31-01-2013",783.26
"28-02-2013",18.17
"31-03-2013",176.58
"30-04-2013",16.65
"31-05-2013",14.26
"30-06-2013",14.42
"31-07-2013",17.18
"31-08-2013",17.43
"30-09-2013",13.83
"31-10-2013",2398.81
"30-11-2013",21.19
"31-12-2013",26.01
"31-01-2014",28.2
"28-02-2014",24.12
"31-03-2014",0
"30-04-2014",29.08
"31-05-2014",25.53
"30-06-2014",19.02
"31-07-2014",17.24
"31-08-2014",16.58
"30-09-2014",260.06
"31-10-2014",7.68
"30-11-2014",10.57
"31-12-2014",10.85
"31-01-2015",10.75
"28-02-2015",9.48
"31-03-2015",10.29
"30-04-2015",10.15
"31-05-2015",0.2
"30-06-2015",10.15
"31-07-2015",10.4
"31-08-2015",10.47
"30-09-2015",10.13
"31-10-2015",10.42
"30-11-2015",0
"31-12-2015",0
"31-01-2016",0
"29-02-2016",30.94
"31-03-2016",7.5
"30-04-2016",9.91
"31-05-2016",7.11
"30-06-2016",0
"31-07-2016",0
"31-08-2016",28.33
"30-09-2016",0
"31-10-2016",0
"30-11-2016",40.55
"31-12-2016",0
"31-01-2017",59.19
"28-02-2017",154.54
"31-03-2017",0
"30-04-2017",0
"31-05-2017",310.43
"30-06-2017",0
"31-07-2017",0
"31-08-2017",340.24
"30-09-2017",0
"31-10-2017",117.71
"30-11-2017",465.72
"31-12-2017",148.39
"31-01-2018",161.41
"28-02-2018",606.56
"31-03-2018",172.74
"30-04-2018",167.32
"31-05-2018",738.94
"30-06-2018",185.45
"31-07-2018",188.98
"31-08-2018",741.39
"30-09-2018",187.09
"31-10-2018",195.06
"30-11-2018",761.92
"31-12-2018",215.44
"31-01-2019",221.41
"28-02-2019",843.19
"31-03-2019",224.26
"30-04-2019",214.52
"31-05-2019",856.55
"30-06-2019",202.49
"31-07-2019",192.29
"31-08-2019",793.43
"30-09-2019",170.79
"31-10-2019",157.28
"30-11-2019",662.26
"31-12-2019",301.5
"31-01-2020",142.76
"29-02-2020",571.11
"31-03-2020",43.06
"30-04-2020",10.54
"31-05-2020",1229.72
"30-06-2020",5538.31
"31-07-2020",15.55
"31-08-2020",413.23
"30-09-2020",18.38
"31-10-2020",3238.07
"30-11-2020",72.4
"31-12-2020",25.33
"31-01-2021",13.38
"28-02-2021",69.53
"31-03-2021",56.92
"30-04-2021",9.78
"31-05-2021",44.83
"30-06-2021",9.71
"31-07-2021",10.09
"31-08-2021",47.17
"30-09-2021",33.41
"31-10-2021",34.69
"30-11-2021",118.74
"31-12-2021",40.69
"31-01-2022",61.18
"28-02-2022",240.45
"31-03-2022",157.83
"30-04-2022",251.85
"31-05-2022",869.49
"30-06-2022",488.43
"31-07-2022",766.51
"31-08-2022",2558.29
"30-09-2022",1096.4
"31-10-2022",1409.71
"30-11-2022",5096.17
"31-12-2022",1854.97
"31-01-2023",2060.77
"28-02-2023",7603.59
"31-03-2023",2288.95
"30-04-2023",2293.74
"31-05-2023",9027.88
"30-06-2023",3718.01
"31-07-2023",2650.27
"31-08-2023",10266.84
"30-09-2023",2553.84
"31-10-2023",2676.77
"30-11-2023",10464.63
"31-12-2023",2708.59
"31-01-2024",2647.49
"29-02-2024",10455.37
"31-03-2024",2654.45
"30-04-2024",2543.82
"31-05-2024",10290.71
"30-06-2024",2768.13
"31-07-2024",2586.65
"31-08-2024",10340.14
