"Fecha","Valor"
"31-01-2010",246.13
"28-02-2010",274.51
"31-03-2010",369.95
"30-04-2010",344.41
"31-05-2010",357.02
"30-06-2010",394.29
"31-07-2010",384.61
"31-08-2010",377.36
"30-09-2010",359.31
"31-10-2010",339.37
"30-11-2010",331.38
"31-12-2010",348.43
"31-01-2011",283.35
"28-02-2011",304.62
"31-03-2011",384.12
"30-04-2011",371.29
"31-05-2011",415.32
"30-06-2011",416.39
"31-07-2011",349.83
"31-08-2011",409.56
"30-09-2011",364.78
"31-10-2011",356.8
"30-11-2011",343.5
"31-12-2011",378.47
"31-01-2012",305.09
"29-02-2012",350.39
"31-03-2012",402.13
"30-04-2012",418.97
"31-05-2012",451.56
"30-06-2012",432.67
"31-07-2012",422.09
"31-08-2012",441.4
"30-09-2012",365.8
"31-10-2012",415.45
"30-11-2012",367.95
"31-12-2012",409.23
"31-01-2013",357.87
"28-02-2013",351.17
"31-03-2013",424.05
"30-04-2013",451.24
"31-05-2013",476.99
"30-06-2013",417.19
"31-07-2013",445.76
"31-08-2013",456.34
"30-09-2013",420.68
"31-10-2013",480.04
"30-11-2013",376.59
"31-12-2013",447.25
"31-01-2014",394.19
"28-02-2014",383.94
"31-03-2014",459.23
"30-04-2014",490.68
"31-05-2014",494.06
"30-06-2014",481.86
"31-07-2014",509.73
"31-08-2014",476.79
"30-09-2014",458.78
"31-10-2014",500.53
"30-11-2014",398.28
"31-12-2014",496.02
"31-01-2015",407.43
"28-02-2015",431.98
"31-03-2015",556.48
"30-04-2015",503.85
"31-05-2015",518.95
"30-06-2015",536.3
"31-07-2015",573.71
"31-08-2015",527.34
"30-09-2015",538.35
"31-10-2015",583.76
"30-11-2015",508.66
"31-12-2015",598.15
"31-01-2016",481.96
"29-02-2016",558.04
"31-03-2016",622.99
"30-04-2016",609.31
"31-05-2016",625.3
"30-06-2016",614.66
"31-07-2016",536.12
"31-08-2016",619.22
"30-09-2016",607.66
"31-10-2016",605.94
"30-11-2016",600.34
"31-12-2016",678.41
"31-01-2017",587.63
"28-02-2017",613.9
"31-03-2017",739.82
"30-04-2017",639.88
"31-05-2017",747.43
"30-06-2017",723.71
"31-07-2017",664.19
"31-08-2017",707.84
"30-09-2017",672.94
"31-10-2017",728.27
"30-11-2017",646.3
"31-12-2017",720.3
"31-01-2018",634.58
"28-02-2018",630.1
"31-03-2018",754.48
"30-04-2018",769.95
"31-05-2018",808.55
"30-06-2018",801.42
"31-07-2018",818.35
"31-08-2018",860.43
"30-09-2018",745.97
"31-10-2018",863.52
"30-11-2018",757.08
"31-12-2018",843.34
"31-01-2019",688.08
"28-02-2019",690.5
"31-03-2019",826.71
"30-04-2019",865.16
"31-05-2019",974.47
"30-06-2019",882.02
"31-07-2019",947.83
"31-08-2019",980.57
"30-09-2019",892.29
"31-10-2019",999.96
"30-11-2019",819.92
"31-12-2019",940.8
"31-01-2020",834.61
"29-02-2020",808.02
"31-03-2020",746.78
"30-04-2020",690.77
"31-05-2020",836.76
"30-06-2020",963.3
"31-07-2020",1078.72
"31-08-2020",1050.16
"30-09-2020",1051.25
"31-10-2020",1132.96
"30-11-2020",983.44
"31-12-2020",1163.63
"31-01-2021",906.8
"28-02-2021",942.9
"31-03-2021",1285.56
"30-04-2021",1231.69
"31-05-2021",1236.69
"30-06-2021",1362.51
"31-07-2021",1354.33
"31-08-2021",1388.59
"30-09-2021",1299.32
"31-10-2021",1418.5
"30-11-2021",1356.63
"31-12-2021",1512.16
"31-01-2022",1180.74
"28-02-2022",1262.67
"31-03-2022",1493.14
"30-04-2022",1516.1
"31-05-2022",1592.51
"30-06-2022",1666.22
"31-07-2022",1370.03
"31-08-2022",1642.65
"30-09-2022",1597.21
"31-10-2022",1622.43
"30-11-2022",1454.98
"31-12-2022",1641.63
"31-01-2023",1386.49
"28-02-2023",1381.09
"31-03-2023",1665.83
"30-04-2023",1551.37
"31-05-2023",1811.86
"30-06-2023",1861.33
"31-07-2023",1642.85
"31-08-2023",1773.35
"30-09-2023",1699.46
"31-10-2023",1650.73
"30-11-2023",1614.58
"31-12-2023",1765.04
"31-01-2024",1468.03
"29-02-2024",1527.94
"31-03-2024",1686.63
"30-04-2024",1848.06
"31-05-2024",1980.08
"30-06-2024",1760.63
"31-07-2024",1819
"31-08-2024",2020.55
"30-09-2024",1724.07
"31-10-2024",2000.41
