"Fecha","Valor"
"31-08-2009",5859.5
"30-09-2009",3619.9
"31-10-2009",13734.8
"30-11-2009",7076.3
"31-12-2009",8051.9
"31-01-2010",4500.17
"28-02-2010",4242.63
"31-03-2010",10666.55
"30-04-2010",8290.73
"31-05-2010",7036.21
"30-06-2010",7744.17
"31-07-2010",8701.75
"31-08-2010",10851.04
"30-09-2010",7809.33
"31-10-2010",6268.69
"30-11-2010",15042.92
"31-12-2010",5301.03
"31-01-2011",5119.47
"28-02-2011",6877.22
"31-03-2011",10607.84
"30-04-2011",5973.01
"31-05-2011",6368.34
"30-06-2011",8937.15
"31-07-2011",8859.58
"31-08-2011",4420.38
"30-09-2011",6678.11
"31-10-2011",6477.39
"30-11-2011",11046.84
"31-12-2011",8425.21
"31-01-2012",5343.47
"29-02-2012",4048.29
"31-03-2012",7515.51
"30-04-2012",5905.22
"31-05-2012",7025.01
"30-06-2012",8010.56
"31-07-2012",5835.83
"31-08-2012",7541.4
"30-09-2012",7208.78
"31-10-2012",9218.64
"30-11-2012",6512.24
"31-12-2012",6794.87
"31-01-2013",6992.22
"28-02-2013",6666.14
"31-03-2013",5069.07
"30-04-2013",7920.19
"31-05-2013",6597.65
"30-06-2013",4738.32
"31-07-2013",4512.23
"31-08-2013",4112.82
"30-09-2013",5450.89
"31-10-2013",3960.79
"30-11-2013",4575.29
"31-12-2013",4048.06
"31-01-2014",3702.22
"28-02-2014",3670.22
"31-03-2014",3983.21
"30-04-2014",4120.63
"31-05-2014",3615.37
"30-06-2014",3002.18
"31-07-2014",3978.02
"31-08-2014",3387.89
"30-09-2014",3213.71
"31-10-2014",4396.19
"30-11-2014",4260.74
"31-12-2014",3388.15
"31-01-2015",5028.55
"28-02-2015",4721.12
"31-03-2015",4474.78
"30-04-2015",3760.78
"31-05-2015",4675.51
"30-06-2015",3386.35
"31-07-2015",4934.86
"31-08-2015",3083.93
"30-09-2015",5673.92
"31-10-2015",4215.15
"30-11-2015",4471.59
"31-12-2015",6686.94
"31-01-2016",4660.61
"29-02-2016",3900.27
"31-03-2016",4736.91
"30-04-2016",5315.36
"31-05-2016",4212.79
"30-06-2016",7144.93
"31-07-2016",5305.18
"31-08-2016",3492
"30-09-2016",5062.11
"31-10-2016",3444.79
"30-11-2016",4857.75
"31-12-2016",6215.04
"31-01-2017",3823.68
"28-02-2017",4035.51
"31-03-2017",7419.13
"30-04-2017",5048.41
"31-05-2017",3709.1
"30-06-2017",5391.36
"31-07-2017",5026.92
"31-08-2017",5914.16
"30-09-2017",5023.81
"31-10-2017",4234.73
"30-11-2017",4105.06
"31-12-2017",4617.92
"31-01-2018",3718.78
"28-02-2018",5090.73
"31-03-2018",5211.22
"30-04-2018",5540.55
"31-05-2018",3904.83
"30-06-2018",4061.88
"31-07-2018",5013.77
"31-08-2018",4516.07
"30-09-2018",5366.46
"31-10-2018",4353.4
"30-11-2018",6545.16
"31-12-2018",4966.66
"31-01-2019",4733
"28-02-2019",3998.73
"31-03-2019",4376.61
"30-04-2019",3994.4
"31-05-2019",3488.18
"30-06-2019",4423.9
"31-07-2019",4625.55
"31-08-2019",6324.3
"30-09-2019",4362.03
"31-10-2019",5187.93
"30-11-2019",5795.36
"31-12-2019",6014.97
"31-01-2020",4973.99
"29-02-2020",4029.63
"31-03-2020",5503.02
"30-04-2020",6431.85
"31-05-2020",3216.25
"30-06-2020",3966.51
"31-07-2020",3750.72
"31-08-2020",2908.29
"30-09-2020",3972.61
"31-10-2020",4107.73
"30-11-2020",5689.81
"31-12-2020",5664.01
"31-01-2021",4496.88
"28-02-2021",4160.38
"31-03-2021",4008.88
"30-04-2021",4569.62
"31-05-2021",4508.3
"30-06-2021",4745.96
"31-07-2021",5366.91
"31-08-2021",4447.81
"30-09-2021",5230.94
"31-10-2021",5017.99
"30-11-2021",5230.23
"31-12-2021",5089.61
"31-01-2022",5886.43
"28-02-2022",4844.49
"31-03-2022",5022.04
"30-04-2022",7999
"31-05-2022",4881.59
"30-06-2022",5831.87
"31-07-2022",7455.46
"31-08-2022",12063.14
"30-09-2022",4884.2
"31-10-2022",4772.38
"30-11-2022",7683.85
"31-12-2022",6053.76
"31-01-2023",5854.79
"28-02-2023",5548.23
"31-03-2023",7502.56
"30-04-2023",7607.91
"31-05-2023",5858.16
"30-06-2023",7371.19
"31-07-2023",5258.54
"31-08-2023",6077.07
"30-09-2023",6527.81
"31-10-2023",7526.98
"30-11-2023",7324.57
"31-12-2023",8122.19
"31-01-2024",8612.95
"29-02-2024",6468.36
"31-03-2024",6637.16
"30-04-2024",12598.78
"31-05-2024",6767.61
"30-06-2024",9787.06
"31-07-2024",8020.95
"31-08-2024",7920.7
