"Fecha","Valor"
"31-08-2009",4181.7
"30-09-2009",2999.2
"31-10-2009",4526.2
"30-11-2009",5365
"31-12-2009",15529
"31-01-2010",6145.14
"28-02-2010",6771.21
"31-03-2010",7744.71
"30-04-2010",4946.99
"31-05-2010",5685.71
"30-06-2010",4699.68
"31-07-2010",10514.68
"31-08-2010",9011.29
"30-09-2010",22749.6
"31-10-2010",8570.28
"30-11-2010",3518.55
"31-12-2010",18724.1
"31-01-2011",5932.91
"28-02-2011",21165.48
"31-03-2011",6098.93
"30-04-2011",5255.08
"31-05-2011",6476.85
"30-06-2011",4391.72
"31-07-2011",4983.71
"31-08-2011",2989.66
"30-09-2011",5975.81
"31-10-2011",4516.4
"30-11-2011",6179.58
"31-12-2011",7226.31
"31-01-2012",2614.22
"29-02-2012",12714.06
"31-03-2012",2570.75
"30-04-2012",3625.45
"31-05-2012",3466.7
"30-06-2012",3996.19
"31-07-2012",9854.38
"31-08-2012",6508.56
"30-09-2012",4424.16
"31-10-2012",6366.39
"30-11-2012",6324.42
"31-12-2012",9055.2
"31-01-2013",7010.81
"28-02-2013",7161.9
"31-03-2013",4239.41
"30-04-2013",4223.25
"31-05-2013",6757.36
"30-06-2013",6811.72
"31-07-2013",6838.5
"31-08-2013",5842.03
"30-09-2013",8158.68
"31-10-2013",8836.86
"30-11-2013",4494.7
"31-12-2013",13439.03
"31-01-2014",7289.33
"28-02-2014",6867.94
"31-03-2014",4227.97
"30-04-2014",5837.79
"31-05-2014",5582.36
"30-06-2014",11347.73
"31-07-2014",4810.84
"31-08-2014",6931.32
"30-09-2014",5017.8
"31-10-2014",5585.18
"30-11-2014",9183.19
"31-12-2014",7957.41
"31-01-2015",5698.24
"28-02-2015",6941.79
"31-03-2015",5286.44
"30-04-2015",6923.86
"31-05-2015",6345.49
"30-06-2015",14871.23
"31-07-2015",9188.2
"31-08-2015",6090.77
"30-09-2015",8621.27
"31-10-2015",12000.83
"30-11-2015",7864.5
"31-12-2015",9167.39
"31-01-2016",5491.07
"29-02-2016",7917.87
"31-03-2016",6990.93
"30-04-2016",7032.34
"31-05-2016",4936.55
"30-06-2016",6783.16
"31-07-2016",16388.93
"31-08-2016",10459.95
"30-09-2016",12294.99
"31-10-2016",8922.28
"30-11-2016",8711.35
"31-12-2016",10760.66
"31-01-2017",6616.41
"28-02-2017",5681.62
"31-03-2017",32016.07
"30-04-2017",13657
"31-05-2017",7454.92
"30-06-2017",9561.03
"31-07-2017",23573.76
"31-08-2017",16649.91
"30-09-2017",9929.01
"31-10-2017",9619.09
"30-11-2017",10832.36
"31-12-2017",15825.44
"31-01-2018",7127.49
"28-02-2018",7013.68
"31-03-2018",6006.65
"30-04-2018",5315.02
"31-05-2018",7065.75
"30-06-2018",34671.92
"31-07-2018",12653.44
"31-08-2018",15285.13
"30-09-2018",10226.52
"31-10-2018",10478.12
"30-11-2018",9365.49
"31-12-2018",9406.61
"31-01-2019",8551.14
"28-02-2019",9931.2
"31-03-2019",9615.66
"30-04-2019",9772.45
"31-05-2019",8313.15
"30-06-2019",10689.65
"31-07-2019",12539.41
"31-08-2019",8085.6
"30-09-2019",8337.96
"31-10-2019",19948.08
"30-11-2019",6929.99
"31-12-2019",9198.58
"31-01-2020",7385.03
"29-02-2020",5509.99
"31-03-2020",13113.84
"30-04-2020",9689.48
"31-05-2020",11066.97
"30-06-2020",5302.02
"31-07-2020",7566.23
"31-08-2020",3855.01
"30-09-2020",11290.84
"31-10-2020",10773.83
"30-11-2020",4178.07
"31-12-2020",18604.84
"31-01-2021",20689.94
"28-02-2021",15190.4
"31-03-2021",19253.04
"30-04-2021",18697.7
"31-05-2021",13391.86
"30-06-2021",19503.52
"31-07-2021",14266.33
"31-08-2021",15236.29
"30-09-2021",16665.97
"31-10-2021",25929.73
"30-11-2021",12853.33
"31-12-2021",17634.89
"31-01-2022",17690.5
"28-02-2022",9259.27
"31-03-2022",22291.86
"30-04-2022",27685.47
"31-05-2022",15621.76
"30-06-2022",15440.7
"31-07-2022",33019.83
"31-08-2022",20787.89
"30-09-2022",16220.49
"31-10-2022",16327.36
"30-11-2022",24162.9
"31-12-2022",17972.27
"31-01-2023",20632.28
"28-02-2023",18866.58
"31-03-2023",21188.38
"30-04-2023",17701.68
"31-05-2023",18217.08
"30-06-2023",15304.4
"31-07-2023",15520.89
"31-08-2023",20916.29
"30-09-2023",19682.53
"31-10-2023",16201.25
"30-11-2023",17248.69
"31-12-2023",24780.14
"31-01-2024",32510.79
"29-02-2024",29477.47
"31-03-2024",26088.58
"30-04-2024",17897.49
"31-05-2024",18339.46
"30-06-2024",18651.65
"31-07-2024",22768.66
"31-08-2024",16014.06
