"Fecha","Valor"
"31-08-2009",370817.4
"30-09-2009",367405
"31-10-2009",362804.1
"30-11-2009",323700.4
"31-12-2009",396631.6
"31-01-2010",291720.07
"28-02-2010",311376.54
"31-03-2010",415776.38
"30-04-2010",391333.31
"31-05-2010",393764.13
"30-06-2010",439766.42
"31-07-2010",431649.11
"31-08-2010",426073.49
"30-09-2010",403728.45
"31-10-2010",392130.15
"30-11-2010",372033.06
"31-12-2010",406255.31
"31-01-2011",320791.59
"28-02-2011",357156.37
"31-03-2011",434446.49
"30-04-2011",421913.09
"31-05-2011",460830.49
"30-06-2011",455904.37
"31-07-2011",399720.73
"31-08-2011",459834.72
"30-09-2011",408140.78
"31-10-2011",401985.45
"30-11-2011",390431.53
"31-12-2011",429445.26
"31-01-2012",343491.97
"29-02-2012",398194.45
"31-03-2012",445523.35
"30-04-2012",470715.81
"31-05-2012",500645.29
"30-06-2012",474472.26
"31-07-2012",466301.27
"31-08-2012",486830.01
"30-09-2012",412709.76
"31-10-2012",467852.39
"30-11-2012",413926.04
"31-12-2012",469627.31
"31-01-2013",407168
"28-02-2013",390975.44
"31-03-2013",467004.88
"30-04-2013",499615.7
"31-05-2013",520304.08
"30-06-2013",456986.57
"31-07-2013",504362.81
"31-08-2013",502927.16
"30-09-2013",462371.66
"31-10-2013",529164.49
"30-11-2013",419670.49
"31-12-2013",497135.08
"31-01-2014",439756.25
"28-02-2014",428456.85
"31-03-2014",506253.89
"30-04-2014",533715.21
"31-05-2014",542729.48
"30-06-2014",534655.59
"31-07-2014",563046.18
"31-08-2014",518824.56
"30-09-2014",502091.59
"31-10-2014",549715.42
"30-11-2014",444590.73
"31-12-2014",553779.26
"31-01-2015",450497.88
"28-02-2015",480120.39
"31-03-2015",602443.1
"30-04-2015",553692.68
"31-05-2015",563804.21
"30-06-2015",586345.27
"31-07-2015",631748.04
"31-08-2015",573458.37
"30-09-2015",579188.17
"31-10-2015",627626.66
"30-11-2015",555509.49
"31-12-2015",659034.77
"31-01-2016",523292.45
"29-02-2016",603538.54
"31-03-2016",664434.46
"30-04-2016",651564.36
"31-05-2016",669625.97
"30-06-2016",664614.75
"31-07-2016",586273.17
"31-08-2016",664436.22
"30-09-2016",656597.21
"31-10-2016",649956.24
"30-11-2016",647295.09
"31-12-2016",731223.46
"31-01-2017",628248.3
"28-02-2017",654253.31
"31-03-2017",802819.36
"30-04-2017",696428.49
"31-05-2017",809607.77
"30-06-2017",791891.2
"31-07-2017",735252.57
"31-08-2017",772389.98
"30-09-2017",737113.18
"31-10-2017",771384.33
"30-11-2017",700789.59
"31-12-2017",774225.58
"31-01-2018",680598.13
"28-02-2018",680509.69
"31-03-2018",802473.5
"30-04-2018",820045.55
"31-05-2018",863739.28
"30-06-2018",856899.61
"31-07-2018",879060.86
"31-08-2018",929942.39
"30-09-2018",792938.44
"31-10-2018",918511.16
"30-11-2018",813326.03
"31-12-2018",908387.83
"31-01-2019",747018.2
"28-02-2019",740096.83
"31-03-2019",880030.11
"30-04-2019",916173.59
"31-05-2019",1036541.14
"30-06-2019",927362.07
"31-07-2019",1008329.94
"31-08-2019",1031614.22
"30-09-2019",940439.67
"31-10-2019",1055328.67
"30-11-2019",866482.85
"31-12-2019",999458.65
"31-01-2020",886955.7
"29-02-2020",858676.65
"31-03-2020",791567.31
"30-04-2020",727246.85
"31-05-2020",874029.15
"30-06-2020",1011369.23
"31-07-2020",1121276.39
"31-08-2020",1094007.45
"30-09-2020",1096431.26
"31-10-2020",1176648.18
"30-11-2020",1032007.32
"31-12-2020",1235794.92
"31-01-2021",962854.15
"28-02-2021",988140.24
"31-03-2021",1339658.46
"30-04-2021",1293880.46
"31-05-2021",1289489.26
"30-06-2021",1425089.56
"31-07-2021",1421030.86
"31-08-2021",1438327.72
"30-09-2021",1365929.03
"31-10-2021",1493680.03
"30-11-2021",1424839.01
"31-12-2021",1614825.47
"31-01-2022",1237670.2
"28-02-2022",1318672.22
"31-03-2022",1564785.88
"30-04-2022",1573956.87
"31-05-2022",1649656.9
"30-06-2022",1742080.48
"31-07-2022",1448660.91
"31-08-2022",1719747.04
"30-09-2022",1671706.28
"31-10-2022",1687119.37
"30-11-2022",1518105.1
"31-12-2022",1722921.75
"31-01-2023",1459863.67
"28-02-2023",1449146.03
"31-03-2023",1735154.4
"30-04-2023",1617806.17
"31-05-2023",1877206.57
"30-06-2023",1932569.49
"31-07-2023",1702164.78
"31-08-2023",1838593.94
"30-09-2023",1761107.44
"31-10-2023",1709422.22
"30-11-2023",1682616.51
"31-12-2023",1841172.31
"31-01-2024",1558900.32
"29-02-2024",1584122.15
"31-03-2024",1756813.01
"30-04-2024",1914947.16
"31-05-2024",2057932.99
"30-06-2024",1822825.46
"31-07-2024",1890266.1
"31-08-2024",2086025.1
