"Fecha","Valor"
"31-08-2009",94654.5
"30-09-2009",87769.2
"31-10-2009",95310.1
"30-11-2009",98736.9
"31-12-2009",118893.2
"31-01-2010",96297.71
"28-02-2010",99559.64
"31-03-2010",115810.11
"30-04-2010",95076.82
"31-05-2010",86148.77
"30-06-2010",56830.58
"31-07-2010",72102.59
"31-08-2010",78191.16
"30-09-2010",44517.16
"31-10-2010",60344.11
"30-11-2010",78203.63
"31-12-2010",102536.63
"31-01-2011",100060.14
"28-02-2011",101217.79
"31-03-2011",99956.86
"30-04-2011",96938.63
"31-05-2011",98521.1
"30-06-2011",63695.35
"31-07-2011",48422.87
"31-08-2011",72197.08
"30-09-2011",86092.44
"31-10-2011",40501
"30-11-2011",74011.35
"31-12-2011",90714.4
"31-01-2012",105240.12
"29-02-2012",106896.17
"31-03-2012",113794.43
"30-04-2012",113490.55
"31-05-2012",87069.7
"30-06-2012",68492.22
"31-07-2012",47162.12
"31-08-2012",75820.04
"30-09-2012",44587.45
"31-10-2012",61100.91
"30-11-2012",68056.19
"31-12-2012",95126.19
"31-01-2013",104712.04
"28-02-2013",109207.08
"31-03-2013",114459.42
"30-04-2013",135920.84
"31-05-2013",76137.53
"30-06-2013",63541.49
"31-07-2013",73471.96
"31-08-2013",68687.1
"30-09-2013",53078.36
"31-10-2013",64958.08
"30-11-2013",67575.56
"31-12-2013",88346.35
"31-01-2014",107533.32
"28-02-2014",104937.21
"31-03-2014",112400.38
"30-04-2014",150143.35
"31-05-2014",81052.67
"30-06-2014",66263.26
"31-07-2014",78647.73
"31-08-2014",74236.72
"30-09-2014",57554.48
"31-10-2014",60507.14
"30-11-2014",61706.09
"31-12-2014",84657.6
"31-01-2015",108170.67
"28-02-2015",104542.4
"31-03-2015",109096.69
"30-04-2015",135174.04
"31-05-2015",80743.98
"30-06-2015",61277.76
"31-07-2015",74547.48
"31-08-2015",72824.07
"30-09-2015",51675.96
"31-10-2015",54167.1
"30-11-2015",55742.28
"31-12-2015",83458.4
"31-01-2016",108921.5
"29-02-2016",104346.38
"31-03-2016",113966.72
"30-04-2016",112436.19
"31-05-2016",79864.9
"30-06-2016",61803.34
"31-07-2016",69737.21
"31-08-2016",69947.95
"30-09-2016",48775.75
"31-10-2016",50059.32
"30-11-2016",58395.33
"31-12-2016",80193.86
"31-01-2017",103909.97
"28-02-2017",102016.16
"31-03-2017",111083.99
"30-04-2017",115267.43
"31-05-2017",88234.7
"30-06-2017",64506.72
"31-07-2017",61252.89
"31-08-2017",72762.9
"30-09-2017",53838.37
"31-10-2017",48129.93
"30-11-2017",60957.07
"31-12-2017",87249.52
"31-01-2018",100079.89
"28-02-2018",107183.59
"31-03-2018",108948.66
"30-04-2018",128106.9
"31-05-2018",87573.25
"30-06-2018",38641.82
"31-07-2018",46605.52
"31-08-2018",79007.91
"30-09-2018",62624.55
"31-10-2018",61353.84
"30-11-2018",68394.25
"31-12-2018",97073.13
"31-01-2019",102249.42
"28-02-2019",100126.29
"31-03-2019",98714.62
"30-04-2019",125654.26
"31-05-2019",87280.69
"30-06-2019",58462.43
"31-07-2019",50461.74
"31-08-2019",68345.95
"30-09-2019",51805.58
"31-10-2019",60487.27
"30-11-2019",70487.35
"31-12-2019",84840.47
"31-01-2020",100479.4
"29-02-2020",76867.32
"31-03-2020",13811.27
"30-04-2020",5277.01
"31-05-2020",1582.77
"30-06-2020",402.26
"31-07-2020",0
"31-08-2020",0.04
"30-09-2020",567.72
"31-10-2020",3151.55
"30-11-2020",3257.41
"31-12-2020",7817.79
"31-01-2021",14975.97
"28-02-2021",7946.13
"31-03-2021",20209.52
"30-04-2021",14594.11
"31-05-2021",15086.13
"30-06-2021",21251.35
"31-07-2021",21781.93
"31-08-2021",15807.1
"30-09-2021",16931.34
"31-10-2021",22989.08
"30-11-2021",26773.92
"31-12-2021",46334.64
"31-01-2022",27027.24
"28-02-2022",32692.75
"31-03-2022",38071.52
"30-04-2022",46063.34
"31-05-2022",68639.01
"30-06-2022",61380.71
"31-07-2022",51055.85
"31-08-2022",59095.71
"30-09-2022",51951.57
"31-10-2022",61119.23
"30-11-2022",72869.06
"31-12-2022",79287.65
"31-01-2023",72709.36
"28-02-2023",65456.24
"31-03-2023",101503.81
"30-04-2023",107959.27
"31-05-2023",70306.18
"30-06-2023",88967.49
"31-07-2023",116507.88
"31-08-2023",100381.55
"30-09-2023",83362.93
"31-10-2023",60448.32
"30-11-2023",83420.21
"31-12-2023",124969.37
"31-01-2024",86961.06
"29-02-2024",78829.55
"31-03-2024",116280.34
"30-04-2024",114496.44
"31-05-2024",82485.83
"30-06-2024",85311.06
"31-07-2024",99901.5
"31-08-2024",112726.32
