"Fecha","Valor"
"30-06-2009",133.93
"30-09-2009",120.1
"31-12-2009",-96.93
"31-03-2010",328.13
"30-06-2010",275.42
"30-09-2010",-226.66
"31-12-2010",300.03
"31-03-2011",238.1
"30-06-2011",161.42
"30-09-2011",-95.58
"31-12-2011",-90.1
"31-03-2012",-56.23
"30-06-2012",697.04
"30-09-2012",-97.35
"31-12-2012",-25.68
"31-03-2013",617.71
"30-06-2013",-92.48
"30-09-2013",-517.95
"31-12-2013",730.75
"31-03-2014",-171.09
"30-06-2014",-11.61
"30-09-2014",103.76
"31-12-2014",204.81
"31-03-2015",449.25
"30-06-2015",-43.79
"30-09-2015",-165.07
"31-12-2015",264.83
"31-03-2016",-151.89
"30-06-2016",1005.29
"30-09-2016",336.04
"31-12-2016",234.54
"31-03-2017",238.72
"30-06-2017",1366.72
"30-09-2017",461.5
"31-12-2017",533.47
"31-03-2018",-6.7
"30-06-2018",272.19
"30-09-2018",350.09
"31-12-2018",372.29
"31-03-2019",-59.02
"30-06-2019",1397.37
"30-09-2019",187.96
"31-12-2019",271.87
"31-03-2020",269.09
"30-06-2020",1580.12
"30-09-2020",624.82
"31-12-2020",714.47
"31-03-2021",372.46
"30-06-2021",77.26
"30-09-2021",1133.21
"31-12-2021",1225.82
"31-03-2022",231.81
"30-06-2022",-629.01
"30-09-2022",958.43
"31-12-2022",-528.21
"31-03-2023",103.09
"30-06-2023",941.62
"30-09-2023",-789.59
"31-12-2023",652.48
"31-03-2024",-186.13
"30-06-2024",243.95
