"Fecha","Valor"
"30-06-2009",70.48
"30-09-2009",88.5
"31-12-2009",71.91
"31-03-2010",196.38
"30-06-2010",131.86
"30-09-2010",-85.76
"31-12-2010",111.92
"31-03-2011",356.45
"30-06-2011",247.94
"30-09-2011",194.15
"31-12-2011",237.68
"31-03-2012",0.4
"30-06-2012",224.29
"30-09-2012",-45.76
"31-12-2012",143.51
"31-03-2013",178.66
"30-06-2013",219.76
"30-09-2013",339.35
"31-12-2013",310.8
"31-03-2014",791.64
"30-06-2014",102.29
"30-09-2014",-103.2
"31-12-2014",50.47
"31-03-2015",453.66
"30-06-2015",299.8
"30-09-2015",-78.05
"31-12-2015",203.33
"31-03-2016",660.74
"30-06-2016",366.45
"30-09-2016",198.97
"31-12-2016",-292.43
"31-03-2017",685.97
"30-06-2017",-481.38
"30-09-2017",-364.17
"31-12-2017",381.03
"31-03-2018",-62.07
"30-06-2018",-49.49
"30-09-2018",169.41
"31-12-2018",129.5
"31-03-2019",50.1
"30-06-2019",14.43
"30-09-2019",181.54
"31-12-2019",-133.15
"31-03-2020",859.5
"30-06-2020",-86.92
"30-09-2020",411.24
"31-12-2020",-463.94
"31-03-2021",321.38
"30-06-2021",543.62
"30-09-2021",-145.21
"31-12-2021",2373.33
"31-03-2022",705.24
"30-06-2022",149.11
"30-09-2022",-66.59
"31-12-2022",596.7
"31-03-2023",381.27
"30-06-2023",902.16
"30-09-2023",1431.32
"31-12-2023",860.53
"31-03-2024",1005.8
"30-06-2024",1309.23
