"Fecha","Valor"
"30-06-2009",-818.87
"30-09-2009",-1108.92
"31-12-2009",-1228.86
"31-03-2010",-785.15
"30-06-2010",-1048.09
"30-09-2010",-1443.34
"31-12-2010",-1406
"31-03-2011",-924.92
"30-06-2011",-1401.54
"30-09-2011",-1525.55
"31-12-2011",-1487.95
"31-03-2012",-1307.16
"30-06-2012",-1599.34
"30-09-2012",-1622.65
"31-12-2012",-1899.06
"31-03-2013",-1398.61
"30-06-2013",-1635.57
"30-09-2013",-1914.87
"31-12-2013",-1799.97
"31-03-2014",-1535.65
"30-06-2014",-1679.49
"30-09-2014",-1756.45
"31-12-2014",-1810.48
"31-03-2015",-1343.25
"30-06-2015",-1410.32
"30-09-2015",-1822.97
"31-12-2015",-1862.62
"31-03-2016",-1216.91
"30-06-2016",-1494.54
"30-09-2016",-1617.43
"31-12-2016",-1748.18
"31-03-2017",-1313.92
"30-06-2017",-1451.57
"30-09-2017",-1826.88
"31-12-2017",-2199.08
"31-03-2018",-1496.69
"30-06-2018",-2053.23
"30-09-2018",-2176.04
"31-12-2018",-2258.8
"31-03-2019",-1777.43
"30-06-2019",-1936.11
"30-09-2019",-2074.78
"31-12-2019",-2178.59
"31-03-2020",-1496.74
"30-06-2020",-1230.56
"30-09-2020",-1568.88
"31-12-2020",-2018
"31-03-2021",-2012.38
"30-06-2021",-2663.77
"30-09-2021",-2879.26
"31-12-2021",-3372.19
"31-03-2022",-3092.29
"30-06-2022",-3578.81
"30-09-2022",-4003.91
"31-12-2022",-3624.66
"31-03-2023",-3007.14
"30-06-2023",-3485.2
"30-09-2023",-3925.88
"31-12-2023",-3940.91
"31-03-2024",-3610.39
"30-06-2024",-3850.7
