"Fecha","Valor"
"30-06-2009",0.13
"30-09-2009",1.03
"31-12-2009",0.97
"31-03-2010",8.47
"30-06-2010",0.58
"30-09-2010",0.66
"31-12-2010",2.61
"31-03-2011",0.61
"30-06-2011",0.6
"30-09-2011",0.68
"31-12-2011",3.09
"31-03-2012",0
"30-06-2012",0.01
"30-09-2012",0
"31-12-2012",0
"31-03-2013",2.94
"30-06-2013",10.03
"30-09-2013",2.2
"31-12-2013",13.92
"31-03-2014",0.71
"30-06-2014",0.73
"30-09-2014",0.75
"31-12-2014",0.77
"31-03-2015",0
"30-06-2015",1.27
"30-09-2015",0.32
"31-12-2015",0
"31-03-2016",0.07
"30-06-2016",0.07
"30-09-2016",0.08
"31-12-2016",0.06
"31-03-2017",0.1
"30-06-2017",0.1
"30-09-2017",0.1
"31-12-2017",0.1
"31-03-2018",0.99
"30-06-2018",0.57
"30-09-2018",1.14
"31-12-2018",0.26
"31-03-2019",0.08
"30-06-2019",0.03
"30-09-2019",0.28
"31-12-2019",0.29
"31-03-2020",0.14
"30-06-2020",0.05
"30-09-2020",0.48
"31-12-2020",0.49
"31-03-2021",0.27
"30-06-2021",0.1
"30-09-2021",0.96
"31-12-2021",0.98
"31-03-2022",0.22
"30-06-2022",0.08
"30-09-2022",0.77
"31-12-2022",0.78
"31-03-2023",0
"30-06-2023",0
"30-09-2023",0
"31-12-2023",0
"31-03-2024",0
"30-06-2024",0
