"Fecha","Valor"
"30-06-2009",308.11
"30-09-2009",-107.39
"31-12-2009",-397.29
"31-03-2010",18.73
"30-06-2010",49.45
"30-09-2010",-358.39
"31-12-2010",-476.74
"31-03-2011",-143.54
"30-06-2011",-431.56
"30-09-2011",-419.67
"31-12-2011",-585.06
"31-03-2012",-308.86
"30-06-2012",-364.26
"30-09-2012",-292.99
"31-12-2012",-880.96
"31-03-2013",-337.16
"30-06-2013",-590.14
"30-09-2013",-803.32
"31-12-2013",-508.17
"31-03-2014",-438.52
"30-06-2014",-415.5
"30-09-2014",-508.89
"31-12-2014",-546.4
"31-03-2015",-30.67
"30-06-2015",1.64
"30-09-2015",-426.26
"31-12-2015",-318.5
"31-03-2016",465.78
"30-06-2016",212.64
"30-09-2016",-27.63
"31-12-2016",-13.51
"31-03-2017",511.34
"30-06-2017",634.87
"30-09-2017",126.27
"31-12-2017",-415.4
"31-03-2018",361.94
"30-06-2018",237.74
"30-09-2018",145.13
"31-12-2018",-95.25
"31-03-2019",276.07
"30-06-2019",674.18
"30-09-2019",625.46
"31-12-2019",245.79
"31-03-2020",672.27
"30-06-2020",1070.79
"30-09-2020",1338.64
"31-12-2020",842.37
"31-03-2021",767.23
"30-06-2021",695.73
"30-09-2021",622.19
"31-12-2021",-211.74
"31-03-2022",250.97
"30-06-2022",414.54
"30-09-2022",183.29
"31-12-2022",348.33
"31-03-2023",987.43
"30-06-2023",1203.9
"30-09-2023",697.33
"31-12-2023",343.26
"31-03-2024",509.57
"30-06-2024",1190.18
