"Fecha","Valor"
"30-06-2009",140.14
"30-09-2009",-68.12
"31-12-2009",-333.63
"31-03-2010",-219.13
"30-06-2010",-316.32
"30-09-2010",-204.06
"31-12-2010",-458.68
"31-03-2011",-180.6
"30-06-2011",-786.52
"30-09-2011",-660.07
"31-12-2011",-339.68
"31-03-2012",-394.65
"30-06-2012",-964.44
"30-09-2012",-227.16
"31-12-2012",-407.45
"31-03-2013",-810.76
"30-06-2013",-337.43
"30-09-2013",-121.86
"31-12-2013",-1365.74
"31-03-2014",165.98
"30-06-2014",-413.4
"30-09-2014",-708.8
"31-12-2014",-946.8
"31-03-2015",230.37
"30-06-2015",-391.76
"30-09-2015",-617.36
"31-12-2015",-838.83
"31-03-2016",627.15
"30-06-2016",-354.5
"30-09-2016",-40.53
"31-12-2016",-1289.73
"31-03-2017",469.18
"30-06-2017",-1423.23
"30-09-2017",-774.34
"31-12-2017",-466.14
"31-03-2018",372.84
"30-06-2018",-411.57
"30-09-2018",-156.93
"31-12-2018",-407.93
"31-03-2019",683.77
"30-06-2019",-987.1
"30-09-2019",38.37
"31-12-2019",-135.93
"31-03-2020",169.61
"30-06-2020",-666.91
"30-09-2020",729.54
"31-12-2020",-160.46
"31-03-2021",612.28
"30-06-2021",220.26
"30-09-2021",-741.55
"31-12-2021",-1536.31
"31-03-2022",-69.61
"30-06-2022",816.63
"30-09-2022",-760.31
"31-12-2022",499.18
"31-03-2023",743.93
"30-06-2023",59.65
"30-09-2023",1292.05
"31-12-2023",-471.76
"31-03-2024",485.82
"30-06-2024",744.89
