"Fecha","Valor"
"30-06-2009",-34.17
"30-09-2009",158.35
"31-12-2009",-34.24
"31-03-2010",81.8
"30-06-2010",-90.93
"30-09-2010",-73
"31-12-2010",315.48
"31-03-2011",200.43
"30-06-2011",-194.14
"30-09-2011",-336.67
"31-12-2011",152.17
"31-03-2012",-142.02
"30-06-2012",96.85
"30-09-2012",-31.53
"31-12-2012",447.84
"31-03-2013",141.17
"30-06-2013",150.2
"30-09-2013",161.31
"31-12-2013",-140.75
"31-03-2014",432.7
"30-06-2014",-10.25
"30-09-2014",-96.89
"31-12-2014",-196.36
"31-03-2015",710.3
"30-06-2015",-438.47
"30-09-2015",-356.49
"31-12-2015",-255.5
"31-03-2016",9.42
"30-06-2016",438.08
"30-09-2016",323.07
"31-12-2016",-1041.75
"31-03-2017",196.46
"30-06-2017",-691.48
"30-09-2017",-439.21
"31-12-2017",482.62
"31-03-2018",3.21
"30-06-2018",-377.7
"30-09-2018",46.89
"31-12-2018",59.36
"31-03-2019",348.6
"30-06-2019",-263.95
"30-09-2019",-399.41
"31-12-2019",-110.13
"31-03-2020",-233.71
"30-06-2020",-157.63
"30-09-2020",15.23
"31-12-2020",-288.85
"31-03-2021",217.24
"30-06-2021",-398.31
"30-09-2021",-231.49
"31-12-2021",-99.73
"31-03-2022",-88.99
"30-06-2022",-226.99
"30-09-2022",14.06
"31-12-2022",-378.14
"31-03-2023",-140.41
"30-06-2023",-202.63
"30-09-2023",-194.88
"31-12-2023",-162.54
"31-03-2024",-209.88
"30-06-2024",-201.34
