"Fecha","Valor"
"30-06-2009",1583.86
"30-09-2009",1460.53
"31-12-2009",1518.39
"31-03-2010",1855.76
"30-06-2010",1890.07
"30-09-2010",1584.18
"31-12-2010",1865.6
"31-03-2011",2375.48
"30-06-2011",2336.09
"30-09-2011",2113.41
"31-12-2011",2143.72
"31-03-2012",2316.41
"30-06-2012",2216.09
"30-09-2012",2027.25
"31-12-2012",2019.88
"31-03-2013",2290.29
"30-06-2013",2307.83
"30-09-2013",2005.88
"31-12-2013",2059.1
"31-03-2014",2312.77
"30-06-2014",2432.93
"30-09-2014",2324.74
"31-12-2014",2304.89
"31-03-2015",2382.87
"30-06-2015",2421.23
"30-09-2015",2222.61
"31-12-2015",2058.17
"31-03-2016",2239.02
"30-06-2016",2335.49
"30-09-2016",2173.66
"31-12-2016",2224.36
"31-03-2017",2576.73
"30-06-2017",2494.62
"30-09-2017",2280.24
"31-12-2017",2298.95
"31-03-2018",2525.05
"30-06-2018",2496.28
"30-09-2018",2317.34
"31-12-2018",2305.42
"31-03-2019",2498.38
"30-06-2019",2496.79
"30-09-2019",2424.61
"31-12-2019",2498.75
"31-03-2020",2794.41
"30-06-2020",2263.04
"30-09-2020",2442.98
"31-12-2020",2626.2
"31-03-2021",2994.41
"30-06-2021",3000.22
"30-09-2021",3140.6
"31-12-2021",3226.24
"31-03-2022",3703.51
"30-06-2022",3779.03
"30-09-2022",3452.84
"31-12-2022",3318.84
"31-03-2023",3596.35
"30-06-2023",3366.87
"30-09-2023",3085.06
"31-12-2023",2974.57
"31-03-2024",3333.28
"30-06-2024",3539.85
