"Fecha","Valor"
"30-06-2009",-171.38
"30-09-2009",-177.15
"31-12-2009",-252.66
"31-03-2010",-268.95
"30-06-2010",-235.58
"30-09-2010",-246.27
"31-12-2010",-282.89
"31-03-2011",-373.46
"30-06-2011",-295.51
"30-09-2011",-257.03
"31-12-2011",-377.35
"31-03-2012",-288.94
"30-06-2012",-230.75
"30-09-2012",-186.81
"31-12-2012",-318.48
"31-03-2013",-353.72
"30-06-2013",-391.46
"30-09-2013",-364.15
"31-12-2013",-126.67
"31-03-2014",-379.68
"30-06-2014",-389.46
"30-09-2014",-388.26
"31-12-2014",-359.57
"31-03-2015",-317.6
"30-06-2015",-339.63
"30-09-2015",-464.33
"31-12-2015",-364.91
"31-03-2016",-303.75
"30-06-2016",-354.47
"30-09-2016",-391.18
"31-12-2016",-375.87
"31-03-2017",-386.9
"30-06-2017",-315.68
"30-09-2017",-340.32
"31-12-2017",-458.25
"31-03-2018",-404.3
"30-06-2018",-362.35
"30-09-2018",-327.13
"31-12-2018",-408.43
"31-03-2019",-332.86
"30-06-2019",-364.22
"30-09-2019",-321.29
"31-12-2019",-385.68
"31-03-2020",-313.45
"30-06-2020",-330.99
"30-09-2020",-352.89
"31-12-2020",-406.42
"31-03-2021",-340.28
"30-06-2021",-504.18
"30-09-2021",-424.51
"31-12-2021",-867.57
"31-03-2022",-341.43
"30-06-2022",-734.83
"30-09-2022",-343.27
"31-12-2022",-577.85
"31-03-2023",-392.06
"30-06-2023",-525.21
"30-09-2023",-430.82
"31-12-2023",-538.37
"31-03-2024",-428.52
"30-06-2024",-453.46
