"Fecha","Valor"
"30-06-2009",1231.17
"30-09-2009",1195.29
"31-12-2009",1116.21
"31-03-2010",1071.29
"30-06-2010",1357.24
"30-09-2010",1348.77
"31-12-2010",1236.06
"31-03-2011",1140.52
"30-06-2011",1360.58
"30-09-2011",1337.54
"31-12-2011",1317.69
"31-03-2012",1255.62
"30-06-2012",1533.52
"30-09-2012",1464.41
"31-12-2012",1429.34
"31-03-2013",1346.79
"30-06-2013",1481.52
"30-09-2013",1436.92
"31-12-2013",1446.84
"31-03-2014",1392.91
"30-06-2014",1680.37
"30-09-2014",1627.5
"31-12-2014",1614.82
"31-03-2015",1551.07
"30-06-2015",1762.8
"30-09-2015",1852.19
"31-12-2015",1905.07
"31-03-2016",1862.95
"30-06-2016",2027.54
"30-09-2016",1957.68
"31-12-2016",2069.21
"31-03-2017",2073.54
"30-06-2017",2293.52
"30-09-2017",2217.85
"31-12-2017",2273.27
"31-03-2018",2157.14
"30-06-2018",2588.83
"30-09-2018",2583.95
"31-12-2018",2640.9
"31-03-2019",2327.21
"30-06-2019",2901.87
"30-09-2019",2994.66
"31-12-2019",2930.75
"31-03-2020",2531.8
"30-06-2020",2633.86
"30-09-2020",3290.69
"31-12-2020",3421.9
"31-03-2021",3295.3
"30-06-2021",4042.47
"30-09-2021",4235.06
"31-12-2021",4534.2
"31-03-2022",4134.7
"30-06-2022",5081.35
"30-09-2022",4851.62
"31-12-2022",4925.52
"31-03-2023",4637.58
"30-06-2023",5505.79
"30-09-2023",5358.45
"31-12-2023",5312.74
"31-03-2024",4925.88
"30-06-2024",5869.26
