"Fecha","Valor"
"30-06-2009",-10.61
"30-09-2009",8.51
"31-12-2009",-4.7
"31-03-2010",29.76
"30-06-2010",7.47
"30-09-2010",8.57
"31-12-2010",20.57
"31-03-2011",-11.25
"30-06-2011",-37.16
"30-09-2011",2.97
"31-12-2011",-11
"31-03-2012",-3.39
"30-06-2012",8.14
"30-09-2012",-6.72
"31-12-2012",0.04
"31-03-2013",4.61
"30-06-2013",2.1
"30-09-2013",-9.65
"31-12-2013",18.38
"31-03-2014",16.05
"30-06-2014",3.02
"30-09-2014",18.94
"31-12-2014",3.01
"31-03-2015",-2.25
"30-06-2015",1.12
"30-09-2015",0.56
"31-12-2015",-11.29
"31-03-2016",1.12
"30-06-2016",1.25
"30-09-2016",1.98
"31-12-2016",4.14
"31-03-2017",2.52
"30-06-2017",4.07
"30-09-2017",5.05
"31-12-2017",-17.61
"31-03-2018",-3.59
"30-06-2018",3.14
"30-09-2018",-18.3
"31-12-2018",-11.49
"31-03-2019",23.45
"30-06-2019",-1.52
"30-09-2019",1.71
"31-12-2019",-4.39
"31-03-2020",-14
"30-06-2020",-11.41
"30-09-2020",22.87
"31-12-2020",3.33
"31-03-2021",34.73
"30-06-2021",7.04
"30-09-2021",23.64
"31-12-2021",31.72
"31-03-2022",32.06
"30-06-2022",13.5
"30-09-2022",38.95
"31-12-2022",71.45
"31-03-2023",-157.91
"30-06-2023",-27.27
"30-09-2023",-11.49
"31-12-2023",36.41
"31-03-2024",-5.97
"30-06-2024",-89.14
