"Fecha","Valor"
"30-06-2009",-6.7
"30-09-2009",-5.6
"31-12-2009",0
"31-03-2010",-1.6
"30-06-2010",-3.7
"30-09-2010",-0.2
"31-12-2010",0
"31-03-2011",0
"30-06-2011",0
"30-09-2011",0
"31-12-2011",-325
"31-03-2012",0
"30-06-2012",700
"30-09-2012",0
"31-12-2012",0
"31-03-2013",671.14
"30-06-2013",0
"30-09-2013",-293.39
"31-12-2013",350
"31-03-2014",790.24
"30-06-2014",0
"30-09-2014",0
"31-12-2014",0
"31-03-2015",18.87
"30-06-2015",9.52
"30-09-2015",-9.97
"31-12-2015",3.53
"31-03-2016",-9.68
"30-06-2016",628.95
"30-09-2016",-1.63
"31-12-2016",1.29
"31-03-2017",-34.28
"30-06-2017",828.45
"30-09-2017",0.2
"31-12-2017",3.58
"31-03-2018",-125.01
"30-06-2018",0.23
"30-09-2018",0.3
"31-12-2018",0.22
"31-03-2019",-144.57
"30-06-2019",1180.51
"30-09-2019",0.04
"31-12-2019",-349.96
"31-03-2020",-12.26
"30-06-2020",1054.28
"30-09-2020",0.09
"31-12-2020",-799.92
"31-03-2021",70.18
"30-06-2021",699.46
"30-09-2021",-0.31
"31-12-2021",955.92
"31-03-2022",841.7
"30-06-2022",-847.12
"30-09-2022",329.88
"31-12-2022",148.88
"31-03-2023",-179.47
"30-06-2023",1006.08
"30-09-2023",201.12
"31-12-2023",508.43
"31-03-2024",184.66
"30-06-2024",-22.22
