"Fecha","Valor"
"30-06-2009",6.69
"30-09-2009",10.99
"31-12-2009",5.74
"31-03-2010",16.86
"30-06-2010",9.85
"30-09-2010",6.18
"31-12-2010",17.43
"31-03-2011",53.5
"30-06-2011",4.66
"30-09-2011",5.89
"31-12-2011",15.6
"31-03-2012",5.34
"30-06-2012",5.24
"30-09-2012",26.7
"31-12-2012",6.64
"31-03-2013",5.68
"30-06-2013",7.24
"30-09-2013",8.21
"31-12-2013",9.32
"31-03-2014",7.21
"30-06-2014",16.06
"30-09-2014",5.43
"31-12-2014",25.91
"31-03-2015",41.63
"30-06-2015",89.23
"30-09-2015",28.52
"31-12-2015",23.43
"31-03-2016",48.51
"30-06-2016",46.97
"30-09-2016",62.77
"31-12-2016",51.13
"31-03-2017",36.83
"30-06-2017",56.52
"30-09-2017",55.03
"31-12-2017",47.58
"31-03-2018",52.13
"30-06-2018",51.22
"30-09-2018",42.04
"31-12-2018",55.13
"31-03-2019",34.67
"30-06-2019",38.74
"30-09-2019",49.32
"31-12-2019",57.13
"31-03-2020",36.47
"30-06-2020",43.11
"30-09-2020",46.71
"31-12-2020",22.91
"31-03-2021",153.79
"30-06-2021",97.05
"30-09-2021",123.88
"31-12-2021",101.47
"31-03-2022",163.57
"30-06-2022",112.25
"30-09-2022",473.46
"31-12-2022",-25.93
"31-03-2023",139.26
"30-06-2023",154.05
"30-09-2023",200.96
"31-12-2023",170.42
"31-03-2024",152.57
"30-06-2024",156.05
