"Fecha","Valor"
"30-06-2009",125.37
"30-09-2009",127.84
"31-12-2009",138.38
"31-03-2010",171.8
"30-06-2010",148.94
"30-09-2010",176.6
"31-12-2010",160.97
"31-03-2011",380.1
"30-06-2011",323.36
"30-09-2011",233.92
"31-12-2011",281.85
"31-03-2012",397.77
"30-06-2012",338.1
"30-09-2012",240.64
"31-12-2012",293.64
"31-03-2013",408.26
"30-06-2013",393.02
"30-09-2013",360.93
"31-12-2013",317.1
"31-03-2014",386.5
"30-06-2014",358.33
"30-09-2014",352.97
"31-12-2014",344.55
"31-03-2015",307.9
"30-06-2015",213.69
"30-09-2015",264.93
"31-12-2015",444.37
"31-03-2016",270.44
"30-06-2016",341.21
"30-09-2016",299.89
"31-12-2016",262.83
"31-03-2017",292.64
"30-06-2017",219.04
"30-09-2017",287.2
"31-12-2017",331.14
"31-03-2018",258.68
"30-06-2018",187.25
"30-09-2018",163.89
"31-12-2018",370.83
"31-03-2019",287.63
"30-06-2019",164.68
"30-09-2019",245.67
"31-12-2019",278.17
"31-03-2020",300.85
"30-06-2020",164.33
"30-09-2020",242.85
"31-12-2020",226.84
"31-03-2021",259.72
"30-06-2021",233.85
"30-09-2021",342.44
"31-12-2021",2625.77
"31-03-2022",312.94
"30-06-2022",433.88
"30-09-2022",350.57
"31-12-2022",344.72
"31-03-2023",405.46
"30-06-2023",372.45
"30-09-2023",397.9
"31-12-2023",410.11
"31-03-2024",407.25
"30-06-2024",395.85
