"Fecha","Valor"
"30-06-2009",63.76
"30-09-2009",56.53
"31-12-2009",60.84
"31-03-2010",94.86
"30-06-2010",69.91
"30-09-2010",86.24
"31-12-2010",86.43
"31-03-2011",72.46
"30-06-2011",68.11
"30-09-2011",111.54
"31-12-2011",98.67
"31-03-2012",81.44
"30-06-2012",84.09
"30-09-2012",137.37
"31-12-2012",101.33
"31-03-2013",116.77
"30-06-2013",102.23
"30-09-2013",126.61
"31-12-2013",113.71
"31-03-2014",123.59
"30-06-2014",117.17
"30-09-2014",151.28
"31-12-2014",112.19
"31-03-2015",108.4
"30-06-2015",108.52
"30-09-2015",147.7
"31-12-2015",119.26
"31-03-2016",134.98
"30-06-2016",123.06
"30-09-2016",165.3
"31-12-2016",109.31
"31-03-2017",154.94
"30-06-2017",157.4
"30-09-2017",171.82
"31-12-2017",138.86
"31-03-2018",154.61
"30-06-2018",144.06
"30-09-2018",174.55
"31-12-2018",150.62
"31-03-2019",165.84
"30-06-2019",160.96
"30-09-2019",153.69
"31-12-2019",142.43
"31-03-2020",131.28
"30-06-2020",103.08
"30-09-2020",117.09
"31-12-2020",120.75
"31-03-2021",135.47
"30-06-2021",119.85
"30-09-2021",141.11
"31-12-2021",104.62
"31-03-2022",146.75
"30-06-2022",156.68
"30-09-2022",151.71
"31-12-2022",134.45
"31-03-2023",130.49
"30-06-2023",133.82
"30-09-2023",155.03
"31-12-2023",119.57
"31-03-2024",125.82
"30-06-2024",132.73
