"Fecha","Valor"
"30-06-2009",74.41
"30-09-2009",69
"31-12-2009",70.87
"31-03-2010",149.75
"30-06-2010",114.53
"30-09-2010",-100.51
"31-12-2010",73.93
"31-03-2011",314.19
"30-06-2011",280.43
"30-09-2011",185.29
"31-12-2011",233.07
"31-03-2012",-1.54
"30-06-2012",210.91
"30-09-2012",-65.74
"31-12-2012",136.83
"31-03-2013",168.37
"30-06-2013",210.42
"30-09-2013",340.78
"31-12-2013",283.11
"31-03-2014",768.37
"30-06-2014",83.22
"30-09-2014",-127.57
"31-12-2014",21.55
"31-03-2015",414.29
"30-06-2015",209.45
"30-09-2015",-107.13
"31-12-2015",191.19
"31-03-2016",611.11
"30-06-2016",318.23
"30-09-2016",134.22
"31-12-2016",-347.7
"31-03-2017",646.63
"30-06-2017",-541.96
"30-09-2017",-424.25
"31-12-2017",351.06
"31-03-2018",-110.61
"30-06-2018",-103.85
"30-09-2018",145.67
"31-12-2018",85.86
"31-03-2019",-8.02
"30-06-2019",-22.78
"30-09-2019",130.51
"31-12-2019",-185.89
"31-03-2020",837.03
"30-06-2020",-118.62
"30-09-2020",341.66
"31-12-2020",-490.17
"31-03-2021",132.86
"30-06-2021",439.53
"30-09-2021",-292.74
"31-12-2021",2240.15
"31-03-2022",509.61
"30-06-2022",23.36
"30-09-2022",-579
"31-12-2022",551.18
"31-03-2023",399.93
"30-06-2023",775.38
"30-09-2023",1241.86
"31-12-2023",653.7
"31-03-2024",859.2
"30-06-2024",1242.31
