"Fecha","Valor"
"30-06-2009",-188.33
"30-09-2009",34.38
"31-12-2009",267.16
"31-03-2010",245.31
"30-06-2010",302.94
"30-09-2010",-58.1
"31-12-2010",409.63
"31-03-2011",156.95
"30-06-2011",711.1
"30-09-2011",620.3
"31-12-2011",620.51
"31-03-2012",-2.72
"30-06-2012",150.63
"30-09-2012",-59.24
"31-12-2012",257.32
"31-03-2013",-89.98
"30-06-2013",164.17
"30-09-2013",393.68
"31-12-2013",1009.44
"31-03-2014",-551.08
"30-06-2014",157.36
"30-09-2014",252.63
"31-12-2014",652.72
"31-03-2015",-103.48
"30-06-2015",468.35
"30-09-2015",284.34
"31-12-2015",594.26
"31-03-2016",-227.17
"30-06-2016",-249.21
"30-09-2016",-58.76
"31-12-2016",733.17
"31-03-2017",-41.56
"30-06-2017",-105.63
"30-09-2017",122.77
"31-12-2017",512.46
"31-03-2018",-568.57
"30-06-2018",174.61
"30-09-2018",162.15
"31-12-2018",166.38
"31-03-2019",-776.72
"30-06-2019",-343.66
"30-09-2019",-102.54
"31-12-2019",74.57
"31-03-2020",401.3
"30-06-2020",-638.63
"30-09-2020",-561.24
"31-12-2020",269.6
"31-03-2021",-620.8
"30-06-2021",-609.96
"30-09-2021",254.21
"31-12-2021",327.96
"31-03-2022",-379.78
"30-06-2022",-254.28
"30-09-2022",13.26
"31-12-2022",-396.08
"31-03-2023",-588.64
"30-06-2023",-536.02
"30-09-2023",-459.75
"31-12-2023",413.75
"31-03-2024",-71.93
"30-06-2024",190.7
