"Fecha","Valor"
"30-06-2009",0.09
"30-09-2009",0.04
"31-12-2009",0.04
"31-03-2010",0.11
"30-06-2010",0.07
"30-09-2010",0.06
"31-12-2010",0.03
"31-03-2011",0.14
"30-06-2011",0.1
"30-09-2011",0.05
"31-12-2011",0.05
"31-03-2012",0.18
"30-06-2012",0.09
"30-09-2012",0.08
"31-12-2012",0.04
"31-03-2013",0.25
"30-06-2013",0.14
"30-09-2013",0.33
"31-12-2013",0.08
"31-03-2014",0.26
"30-06-2014",0.19
"30-09-2014",0.39
"31-12-2014",0.11
"31-03-2015",0.37
"30-06-2015",0.19
"30-09-2015",0.21
"31-12-2015",0.09
"31-03-2016",0.34
"30-06-2016",0.19
"30-09-2016",0.23
"31-12-2016",0.07
"31-03-2017",0.36
"30-06-2017",0.18
"30-09-2017",0.27
"31-12-2017",0.04
"31-03-2018",0.37
"30-06-2018",0.18
"30-09-2018",0.25
"31-12-2018",0.03
"31-03-2019",0.33
"30-06-2019",0.17
"30-09-2019",0.28
"31-12-2019",0.04
"31-03-2020",0.32
"30-06-2020",0.14
"30-09-2020",0.16
"31-12-2020",0.17
"31-03-2021",0.27
"30-06-2021",0.16
"30-09-2021",0.31
"31-12-2021",0.06
"31-03-2022",0.31
"30-06-2022",0.18
"30-09-2022",0.26
"31-12-2022",0.05
"31-03-2023",0.31
"30-06-2023",0.16
"30-09-2023",0.23
"31-12-2023",0.03
"31-03-2024",0.31
"30-06-2024",0.2
