"Fecha","Valor"
"30-06-2009",65.85
"30-09-2009",39.49
"31-12-2009",27
"31-03-2010",-16.26
"30-06-2010",76.85
"30-09-2010",35.81
"31-12-2010",82.29
"31-03-2011",61.14
"30-06-2011",43.26
"30-09-2011",43.63
"31-12-2011",72.73
"31-03-2012",106.78
"30-06-2012",86.34
"30-09-2012",72.32
"31-12-2012",71.19
"31-03-2013",77.38
"30-06-2013",97.04
"30-09-2013",82.99
"31-12-2013",82.85
"31-03-2014",114.56
"30-06-2014",106.46
"30-09-2014",95.97
"31-12-2014",89.43
"31-03-2015",85.8
"30-06-2015",101.04
"30-09-2015",103.48
"31-12-2015",46.79
"31-03-2016",100.21
"30-06-2016",123.97
"30-09-2016",80.59
"31-12-2016",118.93
"31-03-2017",132.34
"30-06-2017",175.09
"30-09-2017",141.13
"31-12-2017",77.24
"31-03-2018",111.34
"30-06-2018",169.47
"30-09-2018",162.87
"31-12-2018",72.13
"31-03-2019",99.44
"30-06-2019",154.86
"30-09-2019",132.55
"31-12-2019",40.23
"31-03-2020",85.98
"30-06-2020",163.24
"30-09-2020",131.79
"31-12-2020",72.65
"31-03-2021",94.69
"30-06-2021",146.11
"30-09-2021",101.94
"31-12-2021",47.56
"31-03-2022",99.01
"30-06-2022",165.33
"30-09-2022",133.79
"31-12-2022",22.45
"31-03-2023",87.49
"30-06-2023",152.01
"30-09-2023",62.1
"31-12-2023",27.52
"31-03-2024",67.4
"30-06-2024",133.76
