"Fecha","Valor"
"30-06-2009",-69.66
"30-09-2009",156.62
"31-12-2009",405.54
"31-03-2010",415.5
"30-06-2010",448.18
"30-09-2010",118.3
"31-12-2010",570.6
"31-03-2011",537.05
"30-06-2011",1034.46
"30-09-2011",854.22
"31-12-2011",577.36
"31-03-2012",395.05
"30-06-2012",1188.73
"30-09-2012",181.4
"31-12-2012",550.96
"31-03-2013",989.42
"30-06-2013",557.19
"30-09-2013",461.21
"31-12-2013",1676.54
"31-03-2014",625.66
"30-06-2014",515.69
"30-09-2014",605.6
"31-12-2014",997.27
"31-03-2015",223.29
"30-06-2015",691.56
"30-09-2015",539.31
"31-12-2015",1042.16
"31-03-2016",33.59
"30-06-2016",720.95
"30-09-2016",239.5
"31-12-2016",997.29
"31-03-2017",216.8
"30-06-2017",941.86
"30-09-2017",410.17
"31-12-2017",847.18
"31-03-2018",-434.9
"30-06-2018",362.09
"30-09-2018",326.34
"31-12-2018",537.42
"31-03-2019",-633.66
"30-06-2019",1001.53
"30-09-2019",143.17
"31-12-2019",2.78
"31-03-2020",689.89
"30-06-2020",579.99
"30-09-2020",-318.29
"31-12-2020",-303.48
"31-03-2021",-290.9
"30-06-2021",323.35
"30-09-2021",596.34
"31-12-2021",3909.64
"31-03-2022",774.86
"30-06-2022",-667.52
"30-09-2022",693.71
"31-12-2022",97.52
"31-03-2023",-362.66
"30-06-2023",842.51
"30-09-2023",139.27
"31-12-2023",1332.29
"31-03-2024",519.98
"30-06-2024",564.34
