"Fecha","Valor"
"30-06-2009",8.88
"30-09-2009",7.77
"31-12-2009",8.01
"31-03-2010",26.72
"30-06-2010",13.37
"30-09-2010",9.61
"31-12-2010",14.04
"31-03-2011",36.1
"30-06-2011",20.71
"30-09-2011",10.94
"31-12-2011",9.14
"31-03-2012",29.45
"30-06-2012",14.69
"30-09-2012",9.94
"31-12-2012",9.98
"31-03-2013",36.67
"30-06-2013",18.34
"30-09-2013",11.71
"31-12-2013",11.74
"31-03-2014",35.96
"30-06-2014",20.31
"30-09-2014",9.7
"31-12-2014",13.15
"31-03-2015",32.99
"30-06-2015",17.15
"30-09-2015",10.47
"31-12-2015",10.53
"31-03-2016",42.54
"30-06-2016",15.29
"30-09-2016",12.99
"31-12-2016",13.48
"31-03-2017",42.63
"30-06-2017",15.24
"30-09-2017",13.18
"31-12-2017",13.67
"31-03-2018",52.76
"30-06-2018",16.62
"30-09-2018",14.6
"31-12-2018",20.29
"31-03-2019",50.75
"30-06-2019",15.76
"30-09-2019",14.76
"31-12-2019",19.95
"31-03-2020",46.95
"30-06-2020",20.15
"30-09-2020",24.29
"31-12-2020",5.25
"31-03-2021",56.64
"30-06-2021",32.09
"30-09-2021",27.55
"31-12-2021",8
"31-03-2022",61.44
"30-06-2022",35.87
"30-09-2022",24.12
"31-12-2022",9.04
"31-03-2023",73.18
"30-06-2023",45.34
"30-09-2023",23.69
"31-12-2023",13.22
"31-03-2024",77.3
"30-06-2024",39.72
