"Fecha","Valor"
"30-06-2009",31.42
"30-09-2009",27.42
"31-12-2009",-7.65
"31-03-2010",22.37
"30-06-2010",23.04
"30-09-2010",22.84
"31-12-2010",14.74
"31-03-2011",19.77
"30-06-2011",19.8
"30-09-2011",17.56
"31-12-2011",15.47
"31-03-2012",18.52
"30-06-2012",17.01
"30-09-2012",21.72
"31-12-2012",9.55
"31-03-2013",18.39
"30-06-2013",19.76
"30-09-2013",19.73
"31-12-2013",20.02
"31-03-2014",20.11
"30-06-2014",20.65
"30-09-2014",20.51
"31-12-2014",18.84
"31-03-2015",18.82
"30-06-2015",19.86
"30-09-2015",20.28
"31-12-2015",20.66
"31-03-2016",21.13
"30-06-2016",22.05
"30-09-2016",24.33
"31-12-2016",26.13
"31-03-2017",29.22
"30-06-2017",29.6
"30-09-2017",34.61
"31-12-2017",40.51
"31-03-2018",44.73
"30-06-2018",52.52
"30-09-2018",55.22
"31-12-2018",70.37
"31-03-2019",68.87
"30-06-2019",73.71
"30-09-2019",80.09
"31-12-2019",77.77
"31-03-2020",77.95
"30-06-2020",81.07
"30-09-2020",72.55
"31-12-2020",69.87
"31-03-2021",65.04
"30-06-2021",61.15
"30-09-2021",54.97
"31-12-2021",51.39
"31-03-2022",50.24
"30-06-2022",62.16
"30-09-2022",100.89
"31-12-2022",119.91
"31-03-2023",126.24
"30-06-2023",136.71
"30-09-2023",145.56
"31-12-2023",153.17
"31-03-2024",159.13
"30-06-2024",174.16
