"Fecha","Valor"
"30-06-2009",-27.68
"30-09-2009",-13.49
"31-12-2009",-27.73
"31-03-2010",-13.87
"30-06-2010",-30.09
"30-09-2010",-13.8
"31-12-2010",-29.87
"31-03-2011",-13.36
"30-06-2011",-36.05
"30-09-2011",-12.65
"31-12-2011",-28.54
"31-03-2012",-17.26
"30-06-2012",-20.39
"30-09-2012",-22.85
"31-12-2012",-40.13
"31-03-2013",-18.65
"30-06-2013",-41.35
"30-09-2013",-35.81
"31-12-2013",-41.05
"31-03-2014",-36.07
"30-06-2014",-58.6
"30-09-2014",-41.93
"31-12-2014",-57.42
"31-03-2015",-46.71
"30-06-2015",-60.6
"30-09-2015",-57.64
"31-12-2015",-62.09
"31-03-2016",-37
"30-06-2016",-53.87
"30-09-2016",-39.29
"31-12-2016",-68.36
"31-03-2017",-37.46
"30-06-2017",-72.92
"30-09-2017",-41.49
"31-12-2017",-84.63
"31-03-2018",-50.15
"30-06-2018",-84.96
"30-09-2018",-49.18
"31-12-2018",-85.69
"31-03-2019",-46.8
"30-06-2019",-83.86
"30-09-2019",-46.93
"31-12-2019",-103.7
"31-03-2020",-37.23
"30-06-2020",-120.31
"30-09-2020",-39.95
"31-12-2020",-117.61
"31-03-2021",-28.58
"30-06-2021",-128.03
"30-09-2021",-44.5
"31-12-2021",-142.91
"31-03-2022",-46.55
"30-06-2022",-155.39
"30-09-2022",-53.92
"31-12-2022",-139.19
"31-03-2023",-54.71
"30-06-2023",-141.2
"30-09-2023",-59.38
"31-12-2023",-169.87
"31-03-2024",-60.76
"30-06-2024",-201.95
