"Fecha","Valor"
"30-06-2009",-159.68
"30-09-2009",-159.88
"31-12-2009",-196.4
"31-03-2010",-268.29
"30-06-2010",-213.9
"30-09-2010",-225.77
"31-12-2010",-250.51
"31-03-2011",-375.68
"30-06-2011",-267.9
"30-09-2011",-226.97
"31-12-2011",-330.2
"31-03-2012",-285.96
"30-06-2012",-202.98
"30-09-2012",-158.29
"31-12-2012",-240.24
"31-03-2013",-346.24
"30-06-2013",-343.57
"30-09-2013",-318.76
"31-12-2013",-280.07
"31-03-2014",-353.86
"30-06-2014",-321.47
"30-09-2014",-330.05
"31-12-2014",-275.4
"31-03-2015",-273.21
"30-06-2015",-255.09
"30-09-2015",-377.13
"31-12-2015",-275.11
"31-03-2016",-266.08
"30-06-2016",-277.92
"30-09-2016",-331.98
"31-12-2016",-288.09
"31-03-2017",-356.64
"30-06-2017",-225.97
"30-09-2017",-280.36
"31-12-2017",-354.88
"31-03-2018",-382.04
"30-06-2018",-275.31
"30-09-2018",-274.36
"31-12-2018",-342.72
"31-03-2019",-325.52
"30-06-2019",-301.84
"30-09-2019",-292.39
"31-12-2019",-311.76
"31-03-2020",-334.03
"30-06-2020",-257.79
"30-09-2020",-353.71
"31-12-2020",-320.02
"31-03-2021",-386.56
"30-06-2021",-438.6
"30-09-2021",-429.28
"31-12-2021",-763.1
"31-03-2022",-375.33
"30-06-2022",-649.08
"30-09-2022",-371.6
"31-12-2022",-521.59
"31-03-2023",-467.68
"30-06-2023",-539.14
"30-09-2023",-492.94
"31-12-2023",-534.11
"31-03-2024",-572.14
"30-06-2024",-408.63
