"Fecha","Valor"
"30-06-2009",-24.41
"30-09-2009",-39.01
"31-12-2009",-28.93
"31-03-2010",-35.99
"30-06-2010",-28.08
"30-09-2010",-39.22
"31-12-2010",-31.33
"31-03-2011",-40.42
"30-06-2011",-32.17
"30-09-2011",-45.97
"31-12-2011",-43.27
"31-03-2012",-33.88
"30-06-2012",-39.18
"30-09-2012",-37.39
"31-12-2012",-57.68
"31-03-2013",-44.13
"30-06-2013",-44.79
"30-09-2013",-41.35
"31-12-2013",162.61
"31-03-2014",-46.08
"30-06-2014",-50.53
"30-09-2014",-46.88
"31-12-2014",-58.85
"31-03-2015",-49.86
"30-06-2015",-61.14
"30-09-2015",-60.52
"31-12-2015",-58.99
"31-03-2016",-64.68
"30-06-2016",-60.21
"30-09-2016",-57.45
"31-12-2016",-59.1
"31-03-2017",-65.02
"30-06-2017",-61.82
"30-09-2017",-66.53
"31-12-2017",-72.96
"31-03-2018",-69.96
"30-06-2018",-71.4
"30-09-2018",-73.66
"31-12-2018",-70.71
"31-03-2019",-80.5
"30-06-2019",-68.15
"30-09-2019",-77.1
"31-12-2019",-67.99
"31-03-2020",-67.41
"30-06-2020",-54.25
"30-09-2020",-56.23
"31-12-2020",-44.08
"31-03-2021",-47.1
"30-06-2021",-30.96
"30-09-2021",-33.56
"31-12-2021",-21.02
"31-03-2022",-31.53
"30-06-2022",-28.58
"30-09-2022",-43.03
"31-12-2022",-46.07
"31-03-2023",-69.4
"30-06-2023",-27.09
"30-09-2023",-47.98
"31-12-2023",-0.81
"31-03-2024",-32.36
"30-06-2024",-56.96
