"Fecha","Valor"
"30-06-2009",-157.8
"30-09-2009",-163.47
"31-12-2009",-182.52
"31-03-2010",-187.75
"30-06-2010",-200.67
"30-09-2010",-215.33
"31-12-2010",-217.73
"31-03-2011",-194.13
"30-06-2011",-212.24
"30-09-2011",-212.56
"31-12-2011",-212.98
"31-03-2012",-211.22
"30-06-2012",-220.34
"30-09-2012",-217.07
"31-12-2012",-225.21
"31-03-2013",-191.62
"30-06-2013",-219.32
"30-09-2013",-224.45
"31-12-2013",-209.55
"31-03-2014",-202.36
"30-06-2014",-210.1
"30-09-2014",-227.72
"31-12-2014",-224.28
"31-03-2015",-192.67
"30-06-2015",-209.51
"30-09-2015",-231.08
"31-12-2015",-220.62
"31-03-2016",-205.81
"30-06-2016",-217.69
"30-09-2016",-239.45
"31-12-2016",-236.1
"31-03-2017",-218.38
"30-06-2017",-218.89
"30-09-2017",-250.87
"31-12-2017",-262.61
"31-03-2018",-229.21
"30-06-2018",-251.75
"30-09-2018",-267.01
"31-12-2018",-273
"31-03-2019",-251.94
"30-06-2019",-265.41
"30-09-2019",-284.2
"31-12-2019",-292.86
"31-03-2020",-268.94
"30-06-2020",-196.29
"30-09-2020",-216.04
"31-12-2020",-279.4
"31-03-2021",-338.1
"30-06-2021",-403.34
"30-09-2021",-497.38
"31-12-2021",-597.98
"31-03-2022",-590.49
"30-06-2022",-543.07
"30-09-2022",-537.67
"31-12-2022",-451.45
"31-03-2023",-430.21
"30-06-2023",-489.2
"30-09-2023",-474.97
"31-12-2023",-479.15
"31-03-2024",-484.81
"30-06-2024",-543.42
