"Fecha","Valor"
"30-06-2009",67.19
"30-09-2009",-16.61
"31-12-2009",-31.98
"31-03-2010",1.54
"30-06-2010",-24.13
"30-09-2010",-17.54
"31-12-2010",-23.92
"31-03-2011",14.32
"30-06-2011",-95.09
"30-09-2011",25.37
"31-12-2011",-37.44
"31-03-2012",31.63
"30-06-2012",-67.69
"30-09-2012",52.05
"31-12-2012",-92.77
"31-03-2013",68.38
"30-06-2013",-44.62
"30-09-2013",38.78
"31-12-2013",-28.36
"31-03-2014",83.9
"30-06-2014",-26.92
"30-09-2014",8.32
"31-12-2014",8.84
"31-03-2015",79.11
"30-06-2015",-11.21
"30-09-2015",8.85
"31-12-2015",3.96
"31-03-2016",123.49
"30-06-2016",34.11
"30-09-2016",23.3
"31-12-2016",41.34
"31-03-2017",138.63
"30-06-2017",108.59
"30-09-2017",75.62
"31-12-2017",-31.34
"31-03-2018",105.79
"30-06-2018",64.49
"30-09-2018",64.34
"31-12-2018",-68.92
"31-03-2019",59.15
"30-06-2019",72.64
"30-09-2019",26.87
"31-12-2019",-120.7
"31-03-2020",-49.34
"30-06-2020",-1.53
"30-09-2020",-30.27
"31-12-2020",-155.1
"31-03-2021",-175.4
"30-06-2021",-178.79
"30-09-2021",-309.1
"31-12-2021",-506.18
"31-03-2022",-450
"30-06-2022",-353.18
"30-09-2022",-321.15
"31-12-2022",-374.69
"31-03-2023",-250.95
"30-06-2023",-291.47
"30-09-2023",-304.42
"31-12-2023",-490.2
"31-03-2024",-377.39
"30-06-2024",-374.92
