"Fecha","Valor"
"30-06-2009",-17.84
"30-09-2009",-18.66
"31-12-2009",-17.32
"31-03-2010",-21.6
"30-06-2010",-20
"30-09-2010",-22.47
"31-12-2010",-17.18
"31-03-2011",-27.23
"30-06-2011",-25.12
"30-09-2011",-26.76
"31-12-2011",-27.23
"31-03-2012",-27.26
"30-06-2012",-28.75
"30-09-2012",-32.86
"31-12-2012",-83.76
"31-03-2013",-20.78
"30-06-2013",-20.45
"30-09-2013",-18.17
"31-12-2013",-38.79
"31-03-2014",-49.3
"30-06-2014",-29.21
"30-09-2014",-26.59
"31-12-2014",-29.69
"31-03-2015",-23.26
"30-06-2015",-20.56
"30-09-2015",-18.63
"31-12-2015",-22.85
"31-03-2016",-22.81
"30-06-2016",-18.39
"30-09-2016",-23.82
"31-12-2016",-15.89
"31-03-2017",-27.29
"30-06-2017",-30.49
"30-09-2017",-21.47
"31-12-2017",-29.05
"31-03-2018",-29.68
"30-06-2018",-30.79
"30-09-2018",-35.1
"31-12-2018",-40.84
"31-03-2019",-32.23
"30-06-2019",-17.24
"30-09-2019",-14.24
"31-12-2019",-17.56
"31-03-2020",-21.06
"30-06-2020",-10.36
"30-09-2020",-8.55
"31-12-2020",-6.14
"31-03-2021",-15.9
"30-06-2021",-9.94
"30-09-2021",-2.19
"31-12-2021",-6.18
"31-03-2022",-26.13
"30-06-2022",-6.37
"30-09-2022",-18.96
"31-12-2022",-23.95
"31-03-2023",-24.22
"30-06-2023",-4.03
"30-09-2023",-13.68
"31-12-2023",-23.74
"31-03-2024",-25.18
"30-06-2024",-11.33
