"Fecha","Valor"
"30-06-2009",-29.64
"30-09-2009",-21.34
"31-12-2009",-26.42
"31-03-2010",-25.61
"30-06-2010",-27.75
"30-09-2010",-29.53
"31-12-2010",-26.94
"31-03-2011",-33.35
"30-06-2011",-42.07
"30-09-2011",-30.76
"31-12-2011",-40.32
"31-03-2012",-44.44
"30-06-2012",-44.35
"30-09-2012",-38.86
"31-12-2012",-41.54
"31-03-2013",-49.23
"30-06-2013",-60.09
"30-09-2013",-50.86
"31-12-2013",-54.53
"31-03-2014",-48.64
"30-06-2014",-61.5
"30-09-2014",-56.16
"31-12-2014",-52.38
"31-03-2015",-46.85
"30-06-2015",-55.45
"30-09-2015",-60.87
"31-12-2015",-53.02
"31-03-2016",-46.17
"30-06-2016",-48.15
"30-09-2016",-49.02
"31-12-2016",-57.56
"31-03-2017",-51.61
"30-06-2017",-54.94
"30-09-2017",-59.82
"31-12-2017",-69.91
"31-03-2018",-50.79
"30-06-2018",-51.96
"30-09-2018",-62.61
"31-12-2018",-75.11
"31-03-2019",-52.53
"30-06-2019",-55.38
"30-09-2019",-54.94
"31-12-2019",-79.99
"31-03-2020",-55.81
"30-06-2020",-54.15
"30-09-2020",-43.52
"31-12-2020",-74.79
"31-03-2021",-67.07
"30-06-2021",-68.77
"30-09-2021",-65.9
"31-12-2021",-91.12
"31-03-2022",-90.1
"30-06-2022",-86.02
"30-09-2022",-83.78
"31-12-2022",-81.64
"31-03-2023",-104.46
"30-06-2023",-93.69
"30-09-2023",-93.81
"31-12-2023",-100.97
"31-03-2024",-112.69
"30-06-2024",-95
