"Fecha","Valor"
"30-06-2009",142.86
"30-09-2009",90.83
"31-12-2009",106.44
"31-03-2010",157.89
"30-06-2010",77.52
"30-09-2010",127.74
"31-12-2010",69.21
"31-03-2011",135.43
"30-06-2011",72.97
"30-09-2011",140.28
"31-12-2011",71.69
"31-03-2012",126.34
"30-06-2012",55.33
"30-09-2012",131.15
"31-12-2012",85.23
"31-03-2013",135.86
"30-06-2013",55.96
"30-09-2013",122.67
"31-12-2013",77.95
"31-03-2014",146.05
"30-06-2014",50.24
"30-09-2014",71.53
"31-12-2014",113.56
"31-03-2015",147.69
"30-06-2015",64.76
"30-09-2015",68.26
"31-12-2015",134.39
"31-03-2016",163.09
"30-06-2016",71.31
"30-09-2016",89.71
"31-12-2016",122.65
"31-03-2017",148.63
"30-06-2017",80.43
"30-09-2017",94.82
"31-12-2017",114.13
"31-03-2018",149.51
"30-06-2018",85.47
"30-09-2018",91.64
"31-12-2018",97.27
"31-03-2019",130.57
"30-06-2019",94.85
"30-09-2019",94.02
"31-12-2019",87.05
"31-03-2020",79.2
"30-06-2020",-7.06
"30-09-2020",-11.05
"31-12-2020",11.82
"31-03-2021",15.5
"30-06-2021",37.29
"30-09-2021",13.33
"31-12-2021",36.91
"31-03-2022",10.95
"30-06-2022",-39.73
"30-09-2022",33.76
"31-12-2022",25.45
"31-03-2023",89.97
"30-06-2023",9.62
"30-09-2023",60.9
"31-12-2023",-33.42
"31-03-2024",52.07
"30-06-2024",8.34
