"Fecha","Valor"
"30-09-2009",3.59
"31-10-2009",5.03
"30-11-2009",3.17
"31-12-2009",5.81
"31-01-2010",2.66
"28-02-2010",3.57
"31-03-2010",6.12
"30-04-2010",3.7
"31-05-2010",4.13
"30-06-2010",6.25
"31-07-2010",4.77
"31-08-2010",3.89
"30-09-2010",5.76
"31-10-2010",13.17
"30-11-2010",5.42
"31-12-2010",4.32
"31-01-2011",4.96
"28-02-2011",3.69
"31-03-2011",5.31
"30-04-2011",4.86
"31-05-2011",4.28
"30-06-2011",3.98
"31-07-2011",4.38
"31-08-2011",5.17
"30-09-2011",7.02
"31-10-2011",7.29
"30-11-2011",10.95
"31-12-2011",7.54
"31-01-2012",5.74
"29-02-2012",5.94
"31-03-2012",6.13
"30-04-2012",4.91
"31-05-2012",4.96
"30-06-2012",5.87
"31-07-2012",3.71
"31-08-2012",4.96
"30-09-2012",5.41
"31-10-2012",13.96
"30-11-2012",9.08
"31-12-2012",5.84
"31-01-2013",6.13
"28-02-2013",4.4
"31-03-2013",4.89
"30-04-2013",5.32
"31-05-2013",5.61
"30-06-2013",5.09
"31-07-2013",4.67
"31-08-2013",4.68
"30-09-2013",6.2
"31-10-2013",9.63
"30-11-2013",6.39
"31-12-2013",7.27
"31-01-2014",3.98
"28-02-2014",3.76
"31-03-2014",5.79
"30-04-2014",7.08
"31-05-2014",7.39
"30-06-2014",5.29
"31-07-2014",6.82
"31-08-2014",7.9
"30-09-2014",6.62
"31-10-2014",9.79
"30-11-2014",7.52
"31-12-2014",8.52
"31-01-2015",5.52
"28-02-2015",5.34
"31-03-2015",7.05
"30-04-2015",7.23
"31-05-2015",7.79
"30-06-2015",12.02
"31-07-2015",9.42
"31-08-2015",7.94
"30-09-2015",9.94
"31-10-2015",10.98
"30-11-2015",8.56
"31-12-2015",6.34
"31-01-2016",4.17
"29-02-2016",5.25
"31-03-2016",7.39
"30-04-2016",8.8
"31-05-2016",6.99
"30-06-2016",6.2
"31-07-2016",6.4
"31-08-2016",5.73
"30-09-2016",8.54
"31-10-2016",10.58
"30-11-2016",8.72
"31-12-2016",8.18
"31-01-2017",5
"28-02-2017",6.35
"31-03-2017",6.42
"30-04-2017",5.64
"31-05-2017",7.06
"30-06-2017",6.15
"31-07-2017",6.03
"31-08-2017",7.28
"30-09-2017",10.34
"31-10-2017",10.78
"30-11-2017",6.11
"31-12-2017",10.43
"31-01-2018",5.9
"28-02-2018",4.9
"31-03-2018",6.07
"30-04-2018",5.12
"31-05-2018",7.28
"30-06-2018",4.95
"31-07-2018",8.02
"31-08-2018",9.14
"30-09-2018",9.43
"31-10-2018",7.55
"30-11-2018",9.01
"31-12-2018",7.77
"31-01-2019",3.98
"28-02-2019",5.29
"31-03-2019",6.32
"30-04-2019",6.13
"31-05-2019",5.51
"30-06-2019",6.43
"31-07-2019",5.93
"31-08-2019",7.44
"30-09-2019",10.04
"31-10-2019",11.83
"30-11-2019",8.33
"31-12-2019",7.83
"31-01-2020",6.24
"29-02-2020",5.93
"31-03-2020",4.55
"30-04-2020",3
"31-05-2020",3.57
"30-06-2020",4.29
"31-07-2020",4.6
"31-08-2020",9.3
"30-09-2020",9.34
"31-10-2020",10.19
"30-11-2020",10.62
"31-12-2020",13.19
"31-01-2021",9.54
"28-02-2021",7.5
"31-03-2021",8.5
"30-04-2021",9.9
"31-05-2021",8.36
"30-06-2021",9.57
"31-07-2021",11.2
"31-08-2021",12.22
"30-09-2021",13
"31-10-2021",14.49
"30-11-2021",12.74
"31-12-2021",11.18
"31-01-2022",10.51
"28-02-2022",6.9
"31-03-2022",8.52
"30-04-2022",9.15
"31-05-2022",8.88
"30-06-2022",9.71
"31-07-2022",9.82
"31-08-2022",14.29
"30-09-2022",16.86
"31-10-2022",14.79
"30-11-2022",20.91
"31-12-2022",15.28
"31-01-2023",13.5
"28-02-2023",11.26
"31-03-2023",15.74
"30-04-2023",12.91
"31-05-2023",12.36
"30-06-2023",17.73
"31-07-2023",13.21
"31-08-2023",14.4
"30-09-2023",16.74
"31-10-2023",18.42
"30-11-2023",18.66
"31-12-2023",15.27
"31-01-2024",12.19
"29-02-2024",13.81
"31-03-2024",12.56
"30-04-2024",13.74
"31-05-2024",14.91
"30-06-2024",12.25
"31-07-2024",18.17
"31-08-2024",22.94
"30-09-2024",27.61
