"Fecha","Valor"
"30-09-2009",126.09
"31-10-2009",135.43
"30-11-2009",113.4
"31-12-2009",135.98
"31-01-2010",111.19
"28-02-2010",126.9
"31-03-2010",138.03
"30-04-2010",148.89
"31-05-2010",137.78
"30-06-2010",170.79
"31-07-2010",183.57
"31-08-2010",166.64
"30-09-2010",162.74
"31-10-2010",184.03
"30-11-2010",196.16
"31-12-2010",171.33
"31-01-2011",144.59
"28-02-2011",153.43
"31-03-2011",194.02
"30-04-2011",176.13
"31-05-2011",179.55
"30-06-2011",199.46
"31-07-2011",181.47
"31-08-2011",195.12
"30-09-2011",213.3
"31-10-2011",232.49
"30-11-2011",221.35
"31-12-2011",186
"31-01-2012",185.63
"29-02-2012",181.39
"31-03-2012",165.78
"30-04-2012",166.13
"31-05-2012",198.71
"30-06-2012",196.02
"31-07-2012",194.56
"31-08-2012",203.27
"30-09-2012",194.45
"31-10-2012",236.84
"30-11-2012",211.76
"31-12-2012",179.89
"31-01-2013",214.72
"28-02-2013",183.21
"31-03-2013",183.03
"30-04-2013",256.87
"31-05-2013",211.24
"30-06-2013",208.01
"31-07-2013",243.2
"31-08-2013",245.59
"30-09-2013",222.89
"31-10-2013",233.88
"30-11-2013",225.86
"31-12-2013",183.74
"31-01-2014",204.59
"28-02-2014",198.02
"31-03-2014",193.85
"30-04-2014",222.21
"31-05-2014",257.69
"30-06-2014",194.15
"31-07-2014",231.03
"31-08-2014",219.66
"30-09-2014",216.39
"31-10-2014",217.81
"30-11-2014",283.88
"31-12-2014",212.54
"31-01-2015",210.84
"28-02-2015",175.01
"31-03-2015",207.12
"30-04-2015",203.08
"31-05-2015",193.77
"30-06-2015",197.23
"31-07-2015",245.99
"31-08-2015",237.62
"30-09-2015",270.78
"31-10-2015",263.78
"30-11-2015",232.23
"31-12-2015",225.99
"31-01-2016",199.37
"29-02-2016",181.23
"31-03-2016",205.52
"30-04-2016",218.8
"31-05-2016",209.03
"30-06-2016",210.46
"31-07-2016",198.43
"31-08-2016",199.69
"30-09-2016",194.23
"31-10-2016",205.57
"30-11-2016",245.23
"31-12-2016",211.26
"31-01-2017",213.85
"28-02-2017",191.1
"31-03-2017",206.21
"30-04-2017",163.84
"31-05-2017",210.56
"30-06-2017",201.31
"31-07-2017",205.35
"31-08-2017",206.45
"30-09-2017",210.63
"31-10-2017",268.66
"30-11-2017",285.48
"31-12-2017",254.3
"31-01-2018",225.66
"28-02-2018",202.09
"31-03-2018",178.2
"30-04-2018",225.07
"31-05-2018",237.2
"30-06-2018",207.59
"31-07-2018",224.48
"31-08-2018",225.23
"30-09-2018",204.04
"31-10-2018",246.99
"30-11-2018",253.94
"31-12-2018",206.29
"31-01-2019",225.7
"28-02-2019",186.63
"31-03-2019",219.25
"30-04-2019",198.99
"31-05-2019",224.11
"30-06-2019",216.03
"31-07-2019",250.39
"31-08-2019",248.76
"30-09-2019",240.02
"31-10-2019",283.86
"30-11-2019",272.75
"31-12-2019",232.2
"31-01-2020",262.94
"29-02-2020",204.09
"31-03-2020",194.24
"30-04-2020",184.48
"31-05-2020",154.86
"30-06-2020",167.51
"31-07-2020",228.16
"31-08-2020",231.05
"30-09-2020",269.3
"31-10-2020",270.42
"30-11-2020",266.49
"31-12-2020",253.07
"31-01-2021",263.5
"28-02-2021",277.57
"31-03-2021",310.42
"30-04-2021",289.75
"31-05-2021",265.48
"30-06-2021",276.87
"31-07-2021",306.85
"31-08-2021",302.18
"30-09-2021",302.76
"31-10-2021",310.4
"30-11-2021",337.24
"31-12-2021",306.02
"31-01-2022",321.96
"28-02-2022",325.81
"31-03-2022",384.68
"30-04-2022",349.43
"31-05-2022",354.13
"30-06-2022",330.47
"31-07-2022",314.81
"31-08-2022",359.4
"30-09-2022",344.02
"31-10-2022",375.74
"30-11-2022",372.09
"31-12-2022",317.22
"31-01-2023",362.21
"28-02-2023",351.04
"31-03-2023",352.71
"30-04-2023",307.99
"31-05-2023",368.66
"30-06-2023",378.17
"31-07-2023",367.15
"31-08-2023",378.11
"30-09-2023",373.66
"31-10-2023",352.41
"30-11-2023",384.25
"31-12-2023",331.91
"31-01-2024",431.69
"29-02-2024",364.42
"31-03-2024",322.31
"30-04-2024",406.72
"31-05-2024",396.61
"30-06-2024",350.24
"31-07-2024",425.11
"31-08-2024",386.15
"30-09-2024",396.25
