"Fecha","Valor"
"30-09-2009",20.65
"31-10-2009",22.96
"30-11-2009",23.72
"31-12-2009",28.59
"31-01-2010",22.21
"28-02-2010",19.13
"31-03-2010",33.07
"30-04-2010",23.56
"31-05-2010",26.75
"30-06-2010",30.36
"31-07-2010",28.73
"31-08-2010",35.7
"30-09-2010",37.1
"31-10-2010",35.74
"30-11-2010",35.97
"31-12-2010",37.44
"31-01-2011",24.23
"28-02-2011",30.94
"31-03-2011",36.92
"30-04-2011",28.15
"31-05-2011",26.6
"30-06-2011",29.46
"31-07-2011",29.7
"31-08-2011",40.22
"30-09-2011",35.39
"31-10-2011",36.62
"30-11-2011",39.23
"31-12-2011",36.42
"31-01-2012",26.26
"29-02-2012",29.19
"31-03-2012",34.02
"30-04-2012",47.77
"31-05-2012",48.58
"30-06-2012",80.83
"31-07-2012",43.67
"31-08-2012",43.23
"30-09-2012",37.93
"31-10-2012",42.88
"30-11-2012",52.03
"31-12-2012",73.7
"31-01-2013",30.88
"28-02-2013",31.23
"31-03-2013",28.93
"30-04-2013",33.79
"31-05-2013",38.68
"30-06-2013",29.92
"31-07-2013",34.31
"31-08-2013",35.81
"30-09-2013",34.92
"31-10-2013",56.86
"30-11-2013",43.52
"31-12-2013",42.43
"31-01-2014",44.51
"28-02-2014",37.88
"31-03-2014",33.81
"30-04-2014",44.52
"31-05-2014",35.91
"30-06-2014",28.47
"31-07-2014",38.07
"31-08-2014",37.06
"30-09-2014",32.43
"31-10-2014",52.14
"30-11-2014",37.82
"31-12-2014",47.79
"31-01-2015",36.97
"28-02-2015",37.49
"31-03-2015",42.16
"30-04-2015",40.5
"31-05-2015",41.68
"30-06-2015",40.32
"31-07-2015",44.08
"31-08-2015",50.16
"30-09-2015",45.57
"31-10-2015",48.3
"30-11-2015",41.74
"31-12-2015",43.97
"31-01-2016",35.6
"29-02-2016",30.98
"31-03-2016",39.04
"30-04-2016",46.53
"31-05-2016",41.23
"30-06-2016",43.4
"31-07-2016",37.91
"31-08-2016",48.35
"30-09-2016",46.13
"31-10-2016",42.51
"30-11-2016",47.5
"31-12-2016",53.63
"31-01-2017",34.58
"28-02-2017",41.38
"31-03-2017",60.63
"30-04-2017",39.38
"31-05-2017",52.56
"30-06-2017",101.13
"31-07-2017",69.34
"31-08-2017",88.97
"30-09-2017",63.68
"31-10-2017",53.18
"30-11-2017",43.41
"31-12-2017",57.08
"31-01-2018",41.95
"28-02-2018",40.45
"31-03-2018",50.82
"30-04-2018",49.02
"31-05-2018",47.53
"30-06-2018",38.66
"31-07-2018",49.28
"31-08-2018",53.78
"30-09-2018",58.86
"31-10-2018",52.01
"30-11-2018",48.02
"31-12-2018",51.43
"31-01-2019",51.8
"28-02-2019",36.56
"31-03-2019",48.24
"30-04-2019",48.75
"31-05-2019",48.1
"30-06-2019",44.34
"31-07-2019",48.95
"31-08-2019",54.59
"30-09-2019",47.77
"31-10-2019",61.43
"30-11-2019",59.17
"31-12-2019",64.7
"31-01-2020",59.3
"29-02-2020",42.2
"31-03-2020",35.56
"30-04-2020",39.08
"31-05-2020",40.23
"30-06-2020",23.02
"31-07-2020",31.43
"31-08-2020",37.1
"30-09-2020",43.63
"31-10-2020",67.99
"30-11-2020",64.26
"31-12-2020",69.95
"31-01-2021",68.16
"28-02-2021",58.42
"31-03-2021",78.02
"30-04-2021",62.99
"31-05-2021",85.14
"30-06-2021",76.43
"31-07-2021",74.79
"31-08-2021",64.72
"30-09-2021",70.34
"31-10-2021",75.19
"30-11-2021",79.66
"31-12-2021",79.51
"31-01-2022",52.57
"28-02-2022",54.9
"31-03-2022",74.64
"30-04-2022",62.85
"31-05-2022",87.57
"30-06-2022",84.5
"31-07-2022",86.42
"31-08-2022",85.81
"30-09-2022",82.87
"31-10-2022",87.06
"30-11-2022",87
"31-12-2022",119.44
"31-01-2023",87.2
"28-02-2023",66.02
"31-03-2023",94.09
"30-04-2023",86.31
"31-05-2023",115.88
"30-06-2023",105.32
"31-07-2023",99.07
"31-08-2023",102.4
"30-09-2023",80.7
"31-10-2023",88.97
"30-11-2023",112.89
"31-12-2023",80.03
"31-01-2024",109.76
"29-02-2024",78.41
"31-03-2024",82.26
"30-04-2024",112.28
"31-05-2024",120.36
"30-06-2024",89.67
"31-07-2024",104.38
"31-08-2024",100.18
"30-09-2024",117.54
