"Fecha","Valor"
"30-09-2009",918.56
"31-10-2009",1124.58
"30-11-2009",972.79
"31-12-2009",1087.99
"31-01-2010",924.31
"28-02-2010",990.04
"31-03-2010",1142.87
"30-04-2010",1168.2
"31-05-2010",1130.93
"30-06-2010",1170.71
"31-07-2010",1240.55
"31-08-2010",1189.95
"30-09-2010",1132.69
"31-10-2010",1199.04
"30-11-2010",1270.69
"31-12-2010",1278.32
"31-01-2011",1191.91
"28-02-2011",1181.45
"31-03-2011",1481.37
"30-04-2011",1397.03
"31-05-2011",1536.35
"30-06-2011",1460.92
"31-07-2011",1328.34
"31-08-2011",1503.49
"30-09-2011",1418.47
"31-10-2011",1400.73
"30-11-2011",1412.16
"31-12-2011",1300.76
"31-01-2012",1340.58
"29-02-2012",1311.52
"31-03-2012",1475.33
"30-04-2012",1323.13
"31-05-2012",1574.26
"30-06-2012",1450.02
"31-07-2012",1425.8
"31-08-2012",1439.68
"30-09-2012",1281.43
"31-10-2012",1531.72
"30-11-2012",1431.17
"31-12-2012",1409.74
"31-01-2013",1465.55
"28-02-2013",1337.52
"31-03-2013",1345.95
"30-04-2013",1610.08
"31-05-2013",1596.26
"30-06-2013",1383.01
"31-07-2013",1532.81
"31-08-2013",1387.22
"30-09-2013",1474.35
"31-10-2013",1605.38
"30-11-2013",1443.84
"31-12-2013",1335.96
"31-01-2014",1547.92
"28-02-2014",1356.29
"31-03-2014",1475.52
"30-04-2014",1521.28
"31-05-2014",1668.25
"30-06-2014",1442.7
"31-07-2014",1620.29
"31-08-2014",1462.61
"30-09-2014",1542.39
"31-10-2014",1575.24
"30-11-2014",1556.12
"31-12-2014",1513.19
"31-01-2015",1358.79
"28-02-2015",1293.75
"31-03-2015",1532.09
"30-04-2015",1430.55
"31-05-2015",1544.2
"30-06-2015",1450.03
"31-07-2015",1640.67
"31-08-2015",1454.54
"30-09-2015",1536.45
"31-10-2015",1548.27
"30-11-2015",1462.13
"31-12-2015",1389.49
"31-01-2016",1274.63
"29-02-2016",1268.97
"31-03-2016",1388.24
"30-04-2016",1442.64
"31-05-2016",1424.08
"30-06-2016",1475.33
"31-07-2016",1311.46
"31-08-2016",1516.43
"30-09-2016",1461.96
"31-10-2016",1401.32
"30-11-2016",1554.72
"31-12-2016",1482.99
"31-01-2017",1431.73
"28-02-2017",1352.39
"31-03-2017",1603.58
"30-04-2017",1346.86
"31-05-2017",1555.89
"30-06-2017",1509.96
"31-07-2017",1518.04
"31-08-2017",1600.04
"30-09-2017",1464.38
"31-10-2017",1693.73
"30-11-2017",1569.06
"31-12-2017",1744.54
"31-01-2018",1566.43
"28-02-2018",1425.59
"31-03-2018",1486.74
"30-04-2018",1657.58
"31-05-2018",1881.09
"30-06-2018",1605.18
"31-07-2018",1658.39
"31-08-2018",1751.88
"30-09-2018",1579.12
"31-10-2018",1846.12
"30-11-2018",1693.39
"31-12-2018",1522.89
"31-01-2019",1685.6
"28-02-2019",1459.45
"31-03-2019",1626.62
"30-04-2019",1622.44
"31-05-2019",1775.26
"30-06-2019",1525.32
"31-07-2019",1703.94
"31-08-2019",1737.66
"30-09-2019",1578.57
"31-10-2019",1868.74
"30-11-2019",1753.99
"31-12-2019",1544.53
"31-01-2020",1736.35
"29-02-2020",1533.22
"31-03-2020",1469.04
"30-04-2020",1362.92
"31-05-2020",1294.14
"30-06-2020",1296.26
"31-07-2020",1441.62
"31-08-2020",1443.83
"30-09-2020",1495.03
"31-10-2020",1670.87
"30-11-2020",1682.88
"31-12-2020",1780.55
"31-01-2021",1703.24
"28-02-2021",1759.95
"31-03-2021",2151.51
"30-04-2021",2079.31
"31-05-2021",2159.96
"30-06-2021",2154.82
"31-07-2021",2289.43
"31-08-2021",2317.39
"30-09-2021",2276.11
"31-10-2021",2508.21
"30-11-2021",2658.29
"31-12-2021",2549.69
"31-01-2022",2518.63
"28-02-2022",2381.34
"31-03-2022",2865.88
"30-04-2022",2701.84
"31-05-2022",2810.39
"30-06-2022",2845.76
"31-07-2022",2729.72
"31-08-2022",2929.53
"30-09-2022",2678.32
"31-10-2022",2611.21
"30-11-2022",2631.27
"31-12-2022",2419.84
"31-01-2023",2568.47
"28-02-2023",2191.55
"31-03-2023",2579.51
"30-04-2023",2269.12
"31-05-2023",2716.98
"30-06-2023",2618.35
"31-07-2023",2548.62
"31-08-2023",2695.16
"30-09-2023",2496.96
"31-10-2023",2502.32
"30-11-2023",2714.77
"31-12-2023",2418.36
"31-01-2024",2674.14
"29-02-2024",2556.05
"31-03-2024",2431.37
"30-04-2024",2853.49
"31-05-2024",2809.08
"30-06-2024",2513.67
"31-07-2024",2808.34
"31-08-2024",2744.33
"30-09-2024",2698.71
