"Fecha","Valor"
"30-09-2009",142.61
"31-10-2009",300.35
"30-11-2009",202.27
"31-12-2009",232.02
"31-01-2010",175.97
"28-02-2010",211.58
"31-03-2010",186.98
"30-04-2010",269.94
"31-05-2010",208.77
"30-06-2010",203.6
"31-07-2010",195.82
"31-08-2010",194.68
"30-09-2010",137.82
"31-10-2010",188.86
"30-11-2010",221.14
"31-12-2010",280.41
"31-01-2011",258.91
"28-02-2011",236.59
"31-03-2011",284.34
"30-04-2011",337.05
"31-05-2011",352.42
"30-06-2011",289.69
"31-07-2011",236.33
"31-08-2011",321.4
"30-09-2011",261.47
"31-10-2011",212.82
"30-11-2011",234.26
"31-12-2011",259.03
"31-01-2012",284.92
"29-02-2012",248.28
"31-03-2012",370.5
"30-04-2012",243.27
"31-05-2012",340.4
"30-06-2012",282.09
"31-07-2012",230.13
"31-08-2012",263.7
"30-09-2012",238.19
"31-10-2012",255.18
"30-11-2012",237.52
"31-12-2012",313.41
"31-01-2013",302.04
"28-02-2013",285.85
"31-03-2013",292.05
"30-04-2013",283.75
"31-05-2013",328.04
"30-06-2013",255.05
"31-07-2013",262.25
"31-08-2013",201.77
"30-09-2013",324.69
"31-10-2013",251.78
"30-11-2013",259.64
"31-12-2013",263.38
"31-01-2014",382.38
"28-02-2014",282.65
"31-03-2014",336.87
"30-04-2014",274.81
"31-05-2014",343.75
"30-06-2014",282.89
"31-07-2014",281.19
"31-08-2014",290.71
"30-09-2014",265.89
"31-10-2014",268.43
"30-11-2014",255.11
"31-12-2014",269.69
"31-01-2015",194.32
"28-02-2015",193.33
"31-03-2015",238.64
"30-04-2015",236.25
"31-05-2015",254.29
"30-06-2015",217.68
"31-07-2015",246.59
"31-08-2015",171.14
"30-09-2015",198.47
"31-10-2015",190.16
"30-11-2015",204.45
"31-12-2015",137.8
"31-01-2016",152.68
"29-02-2016",150.25
"31-03-2016",210.28
"30-04-2016",173.16
"31-05-2016",193.58
"30-06-2016",231.21
"31-07-2016",124.77
"31-08-2016",189.29
"30-09-2016",226.13
"31-10-2016",195.06
"30-11-2016",197.55
"31-12-2016",246.22
"31-01-2017",235.53
"28-02-2017",200.18
"31-03-2017",287.76
"30-04-2017",250.8
"31-05-2017",202.54
"30-06-2017",206.06
"31-07-2017",201.66
"31-08-2017",199.9
"30-09-2017",224.91
"31-10-2017",241.52
"30-11-2017",228.37
"31-12-2017",314.42
"31-01-2018",248.38
"28-02-2018",222.2
"31-03-2018",270.82
"30-04-2018",285.05
"31-05-2018",334.17
"30-06-2018",285.92
"31-07-2018",223.14
"31-08-2018",318.97
"30-09-2018",262.92
"31-10-2018",348.73
"30-11-2018",224.49
"31-12-2018",213.18
"31-01-2019",229.05
"28-02-2019",263.01
"31-03-2019",308.91
"30-04-2019",327.98
"31-05-2019",292.88
"30-06-2019",258.77
"31-07-2019",267.41
"31-08-2019",280.94
"30-09-2019",212.38
"31-10-2019",282.37
"30-11-2019",271.55
"31-12-2019",240.48
"31-01-2020",236.4
"29-02-2020",237.42
"31-03-2020",215.93
"30-04-2020",106.22
"31-05-2020",128.95
"30-06-2020",138.7
"31-07-2020",129.56
"31-08-2020",166.48
"30-09-2020",149.48
"31-10-2020",193.28
"30-11-2020",206.95
"31-12-2020",215.81
"31-01-2021",245
"28-02-2021",228.31
"31-03-2021",361.51
"30-04-2021",290.66
"31-05-2021",326.67
"30-06-2021",318.23
"31-07-2021",348.03
"31-08-2021",332.85
"30-09-2021",322.66
"31-10-2021",384.03
"30-11-2021",346.38
"31-12-2021",451.75
"31-01-2022",368.99
"28-02-2022",401.27
"31-03-2022",502.62
"30-04-2022",609.31
"31-05-2022",500.53
"30-06-2022",597.47
"31-07-2022",514.76
"31-08-2022",485.83
"30-09-2022",442.54
"31-10-2022",449.87
"30-11-2022",418.59
"31-12-2022",356.28
"31-01-2023",471.55
"28-02-2023",371.97
"31-03-2023",428.2
"30-04-2023",400.98
"31-05-2023",419.91
"30-06-2023",457.98
"31-07-2023",395.64
"31-08-2023",470.87
"30-09-2023",380.18
"31-10-2023",426.93
"30-11-2023",415.39
"31-12-2023",376.24
"31-01-2024",382.72
"29-02-2024",469.76
"31-03-2024",429.12
"30-04-2024",474.67
"31-05-2024",506.1
"30-06-2024",430.59
"31-07-2024",405.35
"31-08-2024",410.81
"30-09-2024",350.86
