"Fecha","Valor"
"30-09-2009",43.92
"31-10-2009",46.69
"30-11-2009",49.77
"31-12-2009",58.55
"31-01-2010",39.9
"28-02-2010",41.92
"31-03-2010",50.86
"30-04-2010",70.65
"31-05-2010",47.29
"30-06-2010",59.26
"31-07-2010",53.04
"31-08-2010",68.57
"30-09-2010",61.04
"31-10-2010",61.19
"30-11-2010",59.99
"31-12-2010",72.56
"31-01-2011",62.53
"28-02-2011",54.67
"31-03-2011",77.76
"30-04-2011",67.24
"31-05-2011",56.79
"30-06-2011",62.05
"31-07-2011",62.18
"31-08-2011",72.1
"30-09-2011",65.05
"31-10-2011",79.61
"30-11-2011",78.88
"31-12-2011",80.53
"31-01-2012",72.75
"29-02-2012",70.6
"31-03-2012",74.26
"30-04-2012",76.51
"31-05-2012",84.9
"30-06-2012",80.61
"31-07-2012",69.39
"31-08-2012",74.53
"30-09-2012",61.53
"31-10-2012",77.12
"30-11-2012",74.94
"31-12-2012",70.17
"31-01-2013",63.79
"28-02-2013",61.53
"31-03-2013",61.01
"30-04-2013",80.25
"31-05-2013",69.86
"30-06-2013",56.99
"31-07-2013",73.26
"31-08-2013",63.49
"30-09-2013",67.61
"31-10-2013",102.59
"30-11-2013",79.96
"31-12-2013",89.35
"31-01-2014",81.63
"28-02-2014",66.61
"31-03-2014",65.87
"30-04-2014",73.57
"31-05-2014",75.9
"30-06-2014",69.62
"31-07-2014",78.67
"31-08-2014",81.6
"30-09-2014",89.03
"31-10-2014",81.72
"30-11-2014",84.89
"31-12-2014",98.15
"31-01-2015",79.43
"28-02-2015",74.05
"31-03-2015",88.83
"30-04-2015",91.28
"31-05-2015",88.55
"30-06-2015",86.29
"31-07-2015",96.1
"31-08-2015",95.13
"30-09-2015",102.18
"31-10-2015",112.95
"30-11-2015",101.37
"31-12-2015",98.67
"31-01-2016",84.63
"29-02-2016",84.57
"31-03-2016",96.6
"30-04-2016",97.44
"31-05-2016",100.4
"30-06-2016",106.16
"31-07-2016",92.87
"31-08-2016",111.49
"30-09-2016",100.9
"31-10-2016",101.2
"30-11-2016",112.21
"31-12-2016",108.02
"31-01-2017",91.46
"28-02-2017",86.38
"31-03-2017",97.58
"30-04-2017",81.23
"31-05-2017",98.77
"30-06-2017",102
"31-07-2017",99.49
"31-08-2017",114.25
"30-09-2017",103.55
"31-10-2017",117.59
"30-11-2017",103.32
"31-12-2017",128.8
"31-01-2018",98.06
"28-02-2018",87.32
"31-03-2018",94.06
"30-04-2018",108.29
"31-05-2018",104.33
"30-06-2018",96.05
"31-07-2018",96.98
"31-08-2018",102.85
"30-09-2018",89.36
"31-10-2018",120.3
"30-11-2018",115.83
"31-12-2018",97.44
"31-01-2019",96.27
"28-02-2019",83.23
"31-03-2019",101.77
"30-04-2019",98.13
"31-05-2019",107.49
"30-06-2019",90.95
"31-07-2019",108.43
"31-08-2019",96.68
"30-09-2019",96.77
"31-10-2019",121.94
"30-11-2019",132.46
"31-12-2019",110.21
"31-01-2020",105.24
"29-02-2020",96.93
"31-03-2020",85.95
"30-04-2020",79.28
"31-05-2020",69.24
"30-06-2020",45.08
"31-07-2020",66
"31-08-2020",67.54
"30-09-2020",78.08
"31-10-2020",94.53
"30-11-2020",110.42
"31-12-2020",121.22
"31-01-2021",108.75
"28-02-2021",117.64
"31-03-2021",134.09
"30-04-2021",124.99
"31-05-2021",138.57
"30-06-2021",140.13
"31-07-2021",136.86
"31-08-2021",145.72
"30-09-2021",132.48
"31-10-2021",154.74
"30-11-2021",138.77
"31-12-2021",148.65
"31-01-2022",138.91
"28-02-2022",126.36
"31-03-2022",163.19
"30-04-2022",125.81
"31-05-2022",160.72
"30-06-2022",144.2
"31-07-2022",145.13
"31-08-2022",158.49
"30-09-2022",157.41
"31-10-2022",154.51
"30-11-2022",185.92
"31-12-2022",159.41
"31-01-2023",156.3
"28-02-2023",131.07
"31-03-2023",177.76
"30-04-2023",176.97
"31-05-2023",182.57
"30-06-2023",190.41
"31-07-2023",176.72
"31-08-2023",179.88
"30-09-2023",192.09
"31-10-2023",171.41
"30-11-2023",217.99
"31-12-2023",203.59
"31-01-2024",173.06
"29-02-2024",170.06
"31-03-2024",160.12
"30-04-2024",213.87
"31-05-2024",189.87
"30-06-2024",181.19
"31-07-2024",187.54
"31-08-2024",224.35
"30-09-2024",201.87
