"Fecha","Valor"
"30-09-2009",159.54
"31-10-2009",169.43
"30-11-2009",161.99
"31-12-2009",178
"31-01-2010",151.06
"28-02-2010",176.45
"31-03-2010",210.96
"30-04-2010",178.31
"31-05-2010",189.2
"30-06-2010",178.15
"31-07-2010",203.12
"31-08-2010",181.36
"30-09-2010",194.75
"31-10-2010",182.05
"30-11-2010",209.06
"31-12-2010",188.39
"31-01-2011",192.04
"28-02-2011",186.84
"31-03-2011",241.67
"30-04-2011",188.56
"31-05-2011",234.95
"30-06-2011",204.79
"31-07-2011",218.14
"31-08-2011",226.69
"30-09-2011",240.94
"31-10-2011",208.45
"30-11-2011",239.44
"31-12-2011",199.5
"31-01-2012",197.12
"29-02-2012",215.49
"31-03-2012",231.19
"30-04-2012",200.07
"31-05-2012",249.34
"30-06-2012",203.72
"31-07-2012",248.01
"31-08-2012",237.44
"30-09-2012",211.36
"31-10-2012",251.67
"30-11-2012",233.1
"31-12-2012",233.54
"31-01-2013",220.04
"28-02-2013",219.79
"31-03-2013",229.23
"30-04-2013",258.38
"31-05-2013",250.99
"30-06-2013",243.05
"31-07-2013",255.6
"31-08-2013",240.93
"30-09-2013",238.59
"31-10-2013",267.91
"30-11-2013",241.26
"31-12-2013",220.12
"31-01-2014",223.72
"28-02-2014",230.74
"31-03-2014",240.95
"30-04-2014",266.44
"31-05-2014",264.87
"30-06-2014",238.6
"31-07-2014",283.78
"31-08-2014",234.5
"30-09-2014",269.14
"31-10-2014",253.82
"30-11-2014",252.41
"31-12-2014",267.82
"31-01-2015",231.5
"28-02-2015",226.3
"31-03-2015",283.75
"30-04-2015",250.42
"31-05-2015",270.56
"30-06-2015",245.9
"31-07-2015",293.44
"31-08-2015",265.13
"30-09-2015",262.78
"31-10-2015",275.57
"30-11-2015",273.99
"31-12-2015",260.54
"31-01-2016",222.46
"29-02-2016",260.88
"31-03-2016",253.8
"30-04-2016",283.98
"31-05-2016",267.72
"30-06-2016",273.26
"31-07-2016",263.93
"31-08-2016",296.31
"30-09-2016",265.34
"31-10-2016",258.41
"30-11-2016",292.99
"31-12-2016",262.86
"31-01-2017",242.6
"28-02-2017",255.86
"31-03-2017",279.44
"30-04-2017",239.27
"31-05-2017",294.65
"30-06-2017",263.35
"31-07-2017",261.83
"31-08-2017",299.21
"30-09-2017",260.68
"31-10-2017",297.13
"30-11-2017",273.88
"31-12-2017",305.34
"31-01-2018",287.84
"28-02-2018",244
"31-03-2018",272.2
"30-04-2018",284.15
"31-05-2018",315.73
"30-06-2018",285.94
"31-07-2018",303.45
"31-08-2018",314.34
"30-09-2018",276.92
"31-10-2018",327.26
"30-11-2018",317.81
"31-12-2018",303.68
"31-01-2019",298.05
"28-02-2019",270.89
"31-03-2019",290.12
"30-04-2019",284.46
"31-05-2019",334.87
"30-06-2019",290.43
"31-07-2019",316.9
"31-08-2019",325.37
"30-09-2019",306.93
"31-10-2019",341.89
"30-11-2019",340.33
"31-12-2019",281.75
"31-01-2020",317.61
"29-02-2020",289.46
"31-03-2020",321.02
"30-04-2020",299.52
"31-05-2020",279.24
"30-06-2020",291.74
"31-07-2020",337.72
"31-08-2020",313.34
"30-09-2020",321.77
"31-10-2020",328.56
"30-11-2020",341.67
"31-12-2020",338.82
"31-01-2021",303.52
"28-02-2021",319.78
"31-03-2021",408.45
"30-04-2021",373.68
"31-05-2021",374.71
"30-06-2021",378.59
"31-07-2021",402.1
"31-08-2021",444.13
"30-09-2021",436.84
"31-10-2021",452.67
"30-11-2021",488.14
"31-12-2021",429.53
"31-01-2022",423.12
"28-02-2022",445.62
"31-03-2022",494.99
"30-04-2022",419.63
"31-05-2022",436.25
"30-06-2022",471.87
"31-07-2022",502.22
"31-08-2022",536.54
"30-09-2022",585.76
"31-10-2022",487.05
"30-11-2022",502.05
"31-12-2022",448.15
"31-01-2023",472.5
"28-02-2023",413.28
"31-03-2023",492.33
"30-04-2023",413.27
"31-05-2023",528.85
"30-06-2023",476.77
"31-07-2023",506.38
"31-08-2023",530.01
"30-09-2023",484.06
"31-10-2023",482.12
"30-11-2023",535.55
"31-12-2023",459.73
"31-01-2024",534.11
"29-02-2024",491.69
"31-03-2024",474.14
"30-04-2024",526.7
"31-05-2024",532.37
"30-06-2024",498
"31-07-2024",575.77
"31-08-2024",556.11
"30-09-2024",536.33
