"Fecha","Valor"
"30-09-2009",70.45
"31-10-2009",80.85
"30-11-2009",75.22
"31-12-2009",71.62
"31-01-2010",56.15
"28-02-2010",58.3
"31-03-2010",72.12
"30-04-2010",65.82
"31-05-2010",67.95
"30-06-2010",74.44
"31-07-2010",81.94
"31-08-2010",82.68
"30-09-2010",88.72
"31-10-2010",96.54
"30-11-2010",98.06
"31-12-2010",82.01
"31-01-2011",68.53
"28-02-2011",75.52
"31-03-2011",78.04
"30-04-2011",72.76
"31-05-2011",83.93
"30-06-2011",83.5
"31-07-2011",86.35
"31-08-2011",98.1
"30-09-2011",94.15
"31-10-2011",103.01
"30-11-2011",112.18
"31-12-2011",90.88
"31-01-2012",82.8
"29-02-2012",87.76
"31-03-2012",85.76
"30-04-2012",85.88
"31-05-2012",97
"30-06-2012",84.44
"31-07-2012",90.57
"31-08-2012",102.87
"30-09-2012",99.2
"31-10-2012",116.61
"30-11-2012",118.19
"31-12-2012",94.12
"31-01-2013",89.56
"28-02-2013",84.94
"31-03-2013",86.33
"30-04-2013",104.63
"31-05-2013",91.91
"30-06-2013",87.2
"31-07-2013",102.85
"31-08-2013",98.82
"30-09-2013",98.14
"31-10-2013",125.79
"30-11-2013",114.01
"31-12-2013",97.82
"31-01-2014",93.88
"28-02-2014",94.06
"31-03-2014",91.01
"30-04-2014",89.15
"31-05-2014",99.16
"30-06-2014",88.92
"31-07-2014",115.53
"31-08-2014",100.17
"30-09-2014",108.89
"31-10-2014",122.46
"30-11-2014",121.38
"31-12-2014",109.37
"31-01-2015",91.11
"28-02-2015",96.28
"31-03-2015",107.91
"30-04-2015",95.21
"31-05-2015",104.9
"30-06-2015",110.25
"31-07-2015",121.26
"31-08-2015",117.33
"30-09-2015",130.22
"31-10-2015",133.12
"30-11-2015",132.41
"31-12-2015",130.85
"31-01-2016",100.27
"29-02-2016",107.27
"31-03-2016",100.64
"30-04-2016",104.14
"31-05-2016",103.52
"30-06-2016",106.63
"31-07-2016",105.57
"31-08-2016",136.17
"30-09-2016",123.22
"31-10-2016",122.25
"30-11-2016",145.51
"31-12-2016",125.35
"31-01-2017",104.69
"28-02-2017",106.98
"31-03-2017",107.19
"30-04-2017",88.74
"31-05-2017",117.25
"30-06-2017",108.13
"31-07-2017",118.12
"31-08-2017",134.49
"30-09-2017",121.49
"31-10-2017",141.91
"30-11-2017",136.53
"31-12-2017",136.52
"31-01-2018",111.02
"28-02-2018",112.71
"31-03-2018",101
"30-04-2018",105.33
"31-05-2018",113.74
"30-06-2018",106.03
"31-07-2018",125.52
"31-08-2018",131.86
"30-09-2018",118.96
"31-10-2018",149.93
"30-11-2018",157.86
"31-12-2018",123.28
"31-01-2019",128.31
"28-02-2019",105.86
"31-03-2019",113.05
"30-04-2019",101.28
"31-05-2019",125.94
"30-06-2019",107.73
"31-07-2019",128.99
"31-08-2019",129.83
"30-09-2019",130.43
"31-10-2019",148.72
"30-11-2019",145.51
"31-12-2019",122.89
"31-01-2020",125.8
"29-02-2020",115.27
"31-03-2020",95.4
"30-04-2020",73.58
"31-05-2020",64.9
"30-06-2020",65.92
"31-07-2020",88.96
"31-08-2020",99.41
"30-09-2020",113.66
"31-10-2020",130.33
"30-11-2020",146.9
"31-12-2020",151.59
"31-01-2021",119.21
"28-02-2021",142.61
"31-03-2021",155.39
"30-04-2021",143.16
"31-05-2021",145.83
"30-06-2021",142.64
"31-07-2021",168.43
"31-08-2021",168.61
"30-09-2021",169.14
"31-10-2021",188.33
"30-11-2021",202.24
"31-12-2021",191.23
"31-01-2022",167.83
"28-02-2022",146
"31-03-2022",169.68
"30-04-2022",145.97
"31-05-2022",166.98
"30-06-2022",166.09
"31-07-2022",176.64
"31-08-2022",217.46
"30-09-2022",190.52
"31-10-2022",200.69
"30-11-2022",219.25
"31-12-2022",196.74
"31-01-2023",153.1
"28-02-2023",157.7
"31-03-2023",172.54
"30-04-2023",144.83
"31-05-2023",175.16
"30-06-2023",180.78
"31-07-2023",174.23
"31-08-2023",201.5
"30-09-2023",191.87
"31-10-2023",184.02
"30-11-2023",223.44
"31-12-2023",209.67
"31-01-2024",186.22
"29-02-2024",174.94
"31-03-2024",170.32
"30-04-2024",194.28
"31-05-2024",175.16
"30-06-2024",167.28
"31-07-2024",200.2
"31-08-2024",201.35
"30-09-2024",207.54
