"Fecha","Valor"
"30-09-2009",25.05
"31-10-2009",21.88
"30-11-2009",19.87
"31-12-2009",20.76
"31-01-2010",22.18
"28-02-2010",20.51
"31-03-2010",25.6
"30-04-2010",22.55
"31-05-2010",25.67
"30-06-2010",26.97
"31-07-2010",29.15
"31-08-2010",26.96
"30-09-2010",29.56
"31-10-2010",27.31
"30-11-2010",29.62
"31-12-2010",32.98
"31-01-2011",25.82
"28-02-2011",27.92
"31-03-2011",34.97
"30-04-2011",26.98
"31-05-2011",33.15
"30-06-2011",36.55
"31-07-2011",31.88
"31-08-2011",37.4
"30-09-2011",36.12
"31-10-2011",34
"30-11-2011",32.81
"31-12-2011",29.44
"31-01-2012",29.36
"29-02-2012",37.87
"31-03-2012",35.39
"30-04-2012",30.95
"31-05-2012",39.06
"30-06-2012",32.07
"31-07-2012",37.15
"31-08-2012",36.84
"30-09-2012",34.56
"31-10-2012",37.97
"30-11-2012",33.64
"31-12-2012",31.59
"31-01-2013",32.35
"28-02-2013",33.84
"31-03-2013",27.43
"30-04-2013",34.34
"31-05-2013",35.51
"30-06-2013",33.3
"31-07-2013",37.52
"31-08-2013",34.56
"30-09-2013",31.27
"31-10-2013",40.41
"30-11-2013",34.31
"31-12-2013",32.08
"31-01-2014",33.74
"28-02-2014",30.84
"31-03-2014",35.96
"30-04-2014",41.21
"31-05-2014",39.95
"30-06-2014",35.42
"31-07-2014",42.35
"31-08-2014",36.38
"30-09-2014",42.46
"31-10-2014",46.05
"30-11-2014",30.1
"31-12-2014",34.28
"31-01-2015",37.6
"28-02-2015",31.54
"31-03-2015",40.08
"30-04-2015",33.39
"31-05-2015",40.19
"30-06-2015",50.84
"31-07-2015",43.56
"31-08-2015",38.92
"30-09-2015",37.26
"31-10-2015",35
"30-11-2015",29.77
"31-12-2015",32.17
"31-01-2016",33.37
"29-02-2016",39.76
"31-03-2016",37.36
"30-04-2016",39.6
"31-05-2016",39.06
"30-06-2016",36.34
"31-07-2016",32.39
"31-08-2016",43.95
"30-09-2016",36.91
"31-10-2016",30.75
"30-11-2016",35.64
"31-12-2016",29.8
"31-01-2017",37.25
"28-02-2017",32.88
"31-03-2017",36.8
"30-04-2017",29.99
"31-05-2017",38.22
"30-06-2017",36.54
"31-07-2017",36.16
"31-08-2017",37.66
"30-09-2017",33.12
"31-10-2017",38.39
"30-11-2017",33.26
"31-12-2017",42.46
"31-01-2018",38.54
"28-02-2018",31.98
"31-03-2018",34.27
"30-04-2018",41.42
"31-05-2018",42.01
"30-06-2018",38.75
"31-07-2018",43.64
"31-08-2018",41.82
"30-09-2018",39.83
"31-10-2018",42.69
"30-11-2018",44.14
"31-12-2018",38.14
"31-01-2019",54.04
"28-02-2019",38.47
"31-03-2019",34.66
"30-04-2019",37.39
"31-05-2019",46.6
"30-06-2019",44.95
"31-07-2019",44.3
"31-08-2019",42.57
"30-09-2019",41.28
"31-10-2019",44.06
"30-11-2019",40.69
"31-12-2019",41.69
"31-01-2020",50.01
"29-02-2020",43.89
"31-03-2020",38.48
"30-04-2020",35.04
"31-05-2020",35.62
"30-06-2020",36.61
"31-07-2020",37.49
"31-08-2020",42.62
"30-09-2020",40.71
"31-10-2020",43.26
"30-11-2020",44.74
"31-12-2020",52.13
"31-01-2021",48.55
"28-02-2021",58.29
"31-03-2021",56.9
"30-04-2021",59.42
"31-05-2021",59.79
"30-06-2021",62.99
"31-07-2021",72.42
"31-08-2021",68.53
"30-09-2021",69.36
"31-10-2021",70.15
"30-11-2021",72.47
"31-12-2021",68.11
"31-01-2022",70.66
"28-02-2022",68.1
"31-03-2022",77.44
"30-04-2022",67.99
"31-05-2022",73.95
"30-06-2022",80.79
"31-07-2022",72.27
"31-08-2022",77.83
"30-09-2022",70.68
"31-10-2022",64.07
"30-11-2022",73.89
"31-12-2022",70.63
"31-01-2023",71.72
"28-02-2023",73.96
"31-03-2023",69.85
"30-04-2023",67.53
"31-05-2023",74.55
"30-06-2023",72.87
"31-07-2023",79.58
"31-08-2023",74.8
"30-09-2023",70.59
"31-10-2023",59.46
"30-11-2023",81.37
"31-12-2023",74.4
"31-01-2024",85.28
"29-02-2024",65.78
"31-03-2024",65.94
"30-04-2024",79.05
"31-05-2024",79.2
"30-06-2024",74.8
"31-07-2024",82.04
"31-08-2024",79.52
"30-09-2024",85.86
