"Fecha","Valor"
"30-09-2009",18.56
"31-10-2009",26.64
"30-11-2009",20.69
"31-12-2009",23.05
"31-01-2010",33.12
"28-02-2010",20.31
"31-03-2010",51.44
"30-04-2010",48.48
"31-05-2010",62.49
"30-06-2010",28.56
"31-07-2010",45.27
"31-08-2010",27.47
"30-09-2010",33.08
"31-10-2010",48.56
"30-11-2010",33.62
"31-12-2010",22.06
"31-01-2011",33.94
"28-02-2011",34.27
"31-03-2011",54.74
"30-04-2011",59.99
"31-05-2011",43.74
"30-06-2011",96.12
"31-07-2011",59.79
"31-08-2011",33.39
"30-09-2011",41.43
"31-10-2011",38.61
"30-11-2011",29.6
"31-12-2011",30.29
"31-01-2012",45.51
"29-02-2012",19.14
"31-03-2012",64.25
"30-04-2012",59.29
"31-05-2012",74.75
"30-06-2012",73.83
"31-07-2012",80.24
"31-08-2012",61.56
"30-09-2012",35.05
"31-10-2012",40.16
"30-11-2012",45.75
"31-12-2012",32.73
"31-01-2013",60.46
"28-02-2013",40.56
"31-03-2013",52.35
"30-04-2013",73.65
"31-05-2013",86.67
"30-06-2013",52.68
"31-07-2013",48.18
"31-08-2013",45.42
"30-09-2013",40.77
"31-10-2013",59.25
"30-11-2013",29.71
"31-12-2013",47.23
"31-01-2014",29.34
"28-02-2014",43.22
"31-03-2014",47
"30-04-2014",54.92
"31-05-2014",65.4
"30-06-2014",75.81
"31-07-2014",56.74
"31-08-2014",64.69
"30-09-2014",36.34
"31-10-2014",67.21
"30-11-2014",63.29
"31-12-2014",35
"31-01-2015",50.09
"28-02-2015",49.3
"31-03-2015",69.86
"30-04-2015",34.28
"31-05-2015",75.9
"30-06-2015",56.9
"31-07-2015",51.7
"31-08-2015",45.6
"30-09-2015",35.18
"31-10-2015",40.68
"30-11-2015",41.47
"31-12-2015",52.79
"31-01-2016",21.81
"29-02-2016",36.87
"31-03-2016",48.98
"30-04-2016",35.07
"31-05-2016",39.42
"30-06-2016",53.54
"31-07-2016",43.91
"31-08-2016",48.03
"30-09-2016",49.22
"31-10-2016",31.09
"30-11-2016",31.87
"31-12-2016",46.71
"31-01-2017",29.43
"28-02-2017",38.56
"31-03-2017",46.29
"30-04-2017",56.32
"31-05-2017",58.84
"30-06-2017",52.4
"31-07-2017",63.26
"31-08-2017",53.64
"30-09-2017",22.05
"31-10-2017",44.92
"30-11-2017",31.61
"31-12-2017",28.89
"31-01-2018",45.51
"28-02-2018",40.56
"31-03-2018",59.66
"30-04-2018",49.5
"31-05-2018",75.02
"30-06-2018",77.27
"31-07-2018",41.99
"31-08-2018",58.97
"30-09-2018",47.24
"31-10-2018",29.88
"30-11-2018",24.69
"31-12-2018",46.29
"31-01-2019",57.49
"28-02-2019",33.88
"31-03-2019",49.3
"30-04-2019",57.29
"31-05-2019",69.93
"30-06-2019",39.11
"31-07-2019",42.06
"31-08-2019",72.95
"30-09-2019",41.83
"31-10-2019",32.35
"30-11-2019",40.06
"31-12-2019",48.75
"31-01-2020",47.05
"29-02-2020",41.15
"31-03-2020",46.03
"30-04-2020",76.14
"31-05-2020",53.53
"30-06-2020",70.02
"31-07-2020",58.99
"31-08-2020",56.82
"30-09-2020",56.21
"31-10-2020",46.75
"30-11-2020",38.3
"31-12-2020",52.86
"31-01-2021",39.1
"28-02-2021",42.84
"31-03-2021",73.12
"30-04-2021",75.8
"31-05-2021",99.06
"30-06-2021",90.76
"31-07-2021",76.78
"31-08-2021",64.75
"30-09-2021",64.39
"31-10-2021",85.76
"30-11-2021",81.82
"31-12-2021",49.5
"31-01-2022",56.66
"28-02-2022",51.05
"31-03-2022",130.53
"30-04-2022",133.26
"31-05-2022",90.89
"30-06-2022",143.04
"31-07-2022",105.38
"31-08-2022",105.39
"30-09-2022",55.65
"31-10-2022",90.27
"30-11-2022",52.16
"31-12-2022",72.63
"31-01-2023",64.94
"28-02-2023",66.2
"31-03-2023",71.48
"30-04-2023",103.21
"31-05-2023",106.77
"30-06-2023",59.28
"31-07-2023",81.79
"31-08-2023",73.54
"30-09-2023",49.68
"31-10-2023",74.11
"30-11-2023",48.93
"31-12-2023",67.25
"31-01-2024",66.43
"29-02-2024",87.82
"31-03-2024",61.51
"30-04-2024",106.83
"31-05-2024",76.19
"30-06-2024",56.93
"31-07-2024",81.08
"31-08-2024",70.06
"30-09-2024",66.6
