"Fecha","Valor"
"30-09-2009",308.09
"31-10-2009",315.31
"30-11-2009",302.67
"31-12-2009",333.62
"31-01-2010",309.81
"28-02-2010",311.3
"31-03-2010",367.64
"30-04-2010",336.26
"31-05-2010",360.85
"30-06-2010",392.3
"31-07-2010",415.1
"31-08-2010",401.98
"30-09-2010",382.08
"31-10-2010",361.56
"30-11-2010",381.63
"31-12-2010",386.72
"31-01-2011",376.33
"28-02-2011",377.55
"31-03-2011",473.56
"30-04-2011",435.29
"31-05-2011",520.81
"30-06-2011",455.27
"31-07-2011",418.1
"31-08-2011",473.83
"30-09-2011",423.55
"31-10-2011",447.8
"30-11-2011",413.42
"31-12-2011",381.11
"31-01-2012",410.45
"29-02-2012",415.84
"31-03-2012",408.01
"30-04-2012",408.32
"31-05-2012",436.51
"30-06-2012",410.51
"31-07-2012",428.37
"31-08-2012",411.25
"30-09-2012",363.64
"31-10-2012",459.31
"30-11-2012",415.09
"31-12-2012",374.73
"31-01-2013",445.54
"28-02-2013",392.15
"31-03-2013",380.68
"30-04-2013",479.08
"31-05-2013",477.74
"30-06-2013",411.72
"31-07-2013",470.94
"31-08-2013",416.14
"30-09-2013",409.24
"31-10-2013",457.25
"30-11-2013",409.17
"31-12-2013",352.52
"31-01-2014",450.09
"28-02-2014",368.46
"31-03-2014",424.41
"30-04-2014",447.34
"31-05-2014",478.17
"30-06-2014",423.49
"31-07-2014",486.08
"31-08-2014",389.91
"30-09-2014",475.08
"31-10-2014",455.76
"30-11-2014",419.7
"31-12-2014",430.03
"31-01-2015",421.35
"28-02-2015",404.07
"31-03-2015",446.56
"30-04-2015",438.85
"31-05-2015",466.48
"30-06-2015",432.56
"31-07-2015",488.51
"31-08-2015",425.53
"30-09-2015",444.04
"31-10-2015",437.71
"30-11-2015",396.12
"31-12-2015",400.35
"31-01-2016",420.23
"29-02-2016",371.87
"31-03-2016",388.62
"30-04-2016",435.08
"31-05-2016",423.05
"30-06-2016",408.12
"31-07-2016",405.24
"31-08-2016",437.3
"30-09-2016",411.31
"31-10-2016",403.83
"30-11-2016",437.47
"31-12-2016",390.93
"31-01-2017",437.31
"28-02-2017",392.69
"31-03-2017",475.22
"30-04-2017",391.61
"31-05-2017",475.41
"30-06-2017",432.85
"31-07-2017",453.3
"31-08-2017",458.14
"30-09-2017",413.86
"31-10-2017",479.59
"30-11-2017",427.03
"31-12-2017",466.29
"31-01-2018",463.54
"28-02-2018",439.28
"31-03-2018",419.6
"30-04-2018",504.61
"31-05-2018",569.83
"30-06-2018",463.98
"31-07-2018",541.83
"31-08-2018",494.87
"30-09-2018",471.53
"31-10-2018",520.74
"30-11-2018",497.53
"31-12-2018",435.37
"31-01-2019",540.81
"28-02-2019",435.61
"31-03-2019",454.94
"30-04-2019",462
"31-05-2019",519.78
"30-06-2019",426.51
"31-07-2019",490.54
"31-08-2019",478.49
"30-09-2019",451.02
"31-10-2019",540.26
"30-11-2019",443.11
"31-12-2019",394
"31-01-2020",525.74
"29-02-2020",456.83
"31-03-2020",431.81
"30-04-2020",466.52
"31-05-2020",464
"30-06-2020",453.35
"31-07-2020",458.66
"31-08-2020",420.14
"30-09-2020",412.81
"31-10-2020",485.47
"30-11-2020",452.51
"31-12-2020",511.86
"31-01-2021",497.9
"28-02-2021",506.97
"31-03-2021",565.07
"30-04-2021",648.94
"31-05-2021",656.3
"30-06-2021",658.57
"31-07-2021",691.91
"31-08-2021",713.63
"30-09-2021",695.1
"31-10-2021",772.41
"30-11-2021",834.87
"31-12-2021",814.14
"31-01-2022",862.64
"28-02-2022",755.3
"31-03-2022",859.52
"30-04-2022",778.4
"31-05-2022",930.46
"30-06-2022",817.54
"31-07-2022",802.19
"31-08-2022",888.38
"30-09-2022",731.96
"31-10-2022",687.08
"30-11-2022",699.36
"31-12-2022",664.03
"31-01-2023",715.35
"28-02-2023",549.05
"31-03-2023",704.81
"30-04-2023",555.01
"31-05-2023",732.18
"30-06-2023",678.91
"31-07-2023",654.82
"31-08-2023",669.6
"30-09-2023",657.36
"31-10-2023",644.43
"30-11-2023",676.22
"31-12-2023",600.23
"31-01-2024",692.6
"29-02-2024",639.28
"31-03-2024",653.05
"30-04-2024",725.25
"31-05-2024",718.23
"30-06-2024",652.52
"31-07-2024",728.67
"31-08-2024",691.79
"30-09-2024",708.15
